grant_fiscal_year,funding_program,grant_number,project_year,organization_name,upin,description,ali,contract_number,allocationamount,encumbered_amount,expendedamount,activebalance,closedoutbalance,project_status,project_closed_by,project_closed_date,project_closed_time,ntd_id,itp_id,name_NTD_Airtable,doing_business_as,reporter_acronym,organization_type,reporter_type,city,county,mobility_services_operated,merge_status,vehicle_purchase,operating_assistance,mobility_management,hardware_software_purchase,communications,facilities_eqp,surveillance,subsidy,project_categories
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Amador Transit,BCG0001035,Operating Assistance,300901,64AO18-00677,30144.0,30144.0,30144.0,0.0,0,Open,,,,9R02-91000,11.0,Amador Regional Transit System,,ARTS,Independent Public Agency or Authority of Transit Service,Rural Reporter,Jackson,Amador,"Amador Transit,Amador Transit Dial-A-Ride","Manual Match, NTD",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Angel View Inc,BCG0000324,Operating Assistance,300901,64AO18-00770,125000.0,125000.0,125000.0,0.0,0,Open,,,,,,Angel View Inc,,,Non-Profit Organization,,Cathedral City,Riverside,Angel View,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,ARC Imperial Valley,BCG0000988,Operating Assistance,300901,64AO18-00630,193211.0,193211.0,193211.0,0.0,0,Open,,,,,398.0,ARC Imperial Valley,,,Non-Profit Organization,,El Centro,Imperial,Arc Imperial Valley Transportation,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,ARC Imperial Valley,BCG0002757,Operating Assistance,300901,64AO18-00630,40000.0,40000.0,40000.0,0.0,0,Open,,,,,398.0,ARC Imperial Valley,,,Non-Profit Organization,,El Centro,Imperial,Arc Imperial Valley Transportation,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Area 1 Agency on Aging,BCG0000392,Operating Assistance,300901,64AO18-00631,146534.0,146534.0,146534.0,0.0,0,Open,,,,,399.0,Area 1 Agency on Aging,,,Non-Profit Organization,,Eureka,"Humboldt, De Norte",,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Asian Community Center of Sacramento Valley Inc DBA ACC Senior Services,BCG0001020,Operating Assistance,300901,64AO18-00771,488639.0,488639.0,488639.0,0.0,0,Open,,,,,400.0,Asian Community Center of Sacramento Valley,,,Non-Profit Organization,,Sacramento,Sacramento,ACC Rides Transportation Services,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Asian Community Center of Sacramento Valley Inc DBA ACC Senior Services,BCG0002751,Operating Assistance,300901,64AO18-00771,60000.0,60000.0,60000.0,0.0,0,Open,,,,,400.0,Asian Community Center of Sacramento Valley,,,Non-Profit Organization,,Sacramento,Sacramento,ACC Rides Transportation Services,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Asian Community Center of Sacramento Valley Inc DBA ACC Senior Services,BCG0002800,Operating Assistance,300901,64AO19-01469,75409.0,75409.0,75407.0,2.0,0,Open,,,,,400.0,Asian Community Center of Sacramento Valley,,,Non-Profit Organization,,Sacramento,Sacramento,ACC Rides Transportation Services,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Avenidas ,BCG0003010,Operating Assistance,300901,64AO18-01027,441475.0,441475.0,132408.93,309066.07,0,Open,,,,,401.0,Avenidas,,,Non-Profit Organization,,Palo Alto,Santa Clara,Avenidas Door-to-Door,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Catholic Charities of the Diocese of Stockton,BCG0000891,Operating Assistance,300901,64AO18-00772,365206.0,365206.0,365206.0,0.0,0,Open,,,,,408.0,Catholic Charities of the Diocese of Stockton,,,Non-Profit Organization,,Stockton,San Joaquin,Catholic Charities Stockton Senior Transportation,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Catholic Charities of the Diocese of Stockton,BCG0001373,Operating Assistance,300901,64AO18-00773,356780.0,356780.0,305714.87,0.0,0,In Development,,,,,408.0,Catholic Charities of the Diocese of Stockton,,,Non-Profit Organization,,Stockton,San Joaquin,Catholic Charities Stockton Senior Transportation,Name Match; Airtable,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Choice in Aging,BCG0000875,Operating Assistance,300901,64AO18-00774,15125.0,186247.0,186247.0,-171122.0,0,Open,,,,,,,,,Non-Profit Organization,,Pleasant Hill,"Contra Costa, Napa, Solano, Sacramento",,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,Choice in Aging,BCG0000875,Operating Assistance,300901,64AO18-00774,171122.0,186247.0,186247.0,-15125.0,0,Open,,,,,,,,,Non-Profit Organization,,Pleasant Hill,"Contra Costa, Napa, Solano, Sacramento",,No Match,0,1,0,0,0,0,0,0,1
2017,5310 Exp,CA-2017-169 | 0017000186-E,2017,City of Lafayette: Lamorinda Sprit Van Program,BCG0000560,Operating Assistance,300901,64AO18-00775,15125.0,186247.0,186247.0,-171122.0,0,Open,,,,,416.0,City of Lafayette,,,"City, County or Local Government Unit or Department of Transportation",,Lafayette,Contra Costa,Lamorinda Spirit Van,"Manual Match, Airtable",0,1,0,0,0,0,0,0,1
