,organization_name,ntd_id,name,doing_business_as,reporter_acronym,organization_type_x,organization_type_y,roles,reporter_type,city,itp_id,opm_id_drmt,mobility_services_operated,mpo_rtpa,merge_status
0,Angel View Inc,,Angel View Inc,,,,Non-Profit Organization,,,,,,Angel View,,Name Match; Airtable
1,ARC Imperial Valley,,ARC Imperial Valley,,,,Non-Profit Organization,,,,398.0,,Arc Imperial Valley Transportation,,Name Match; Airtable
2,Area 1 Agency on Aging,,Area 1 Agency on Aging,,,,,,,,399.0,,,,Name Match; Airtable
3,Big Valley 50 Plus,,Big Valley 50 Plus,,,,Non-Profit Organization,,,,404.0,,Big Valley 50 Plus,,Name Match; Airtable
4,Care-A-Van Transit Systems Inc,,Care-A-Van Transit Systems Inc,,,,Company,,,,407.0,,Care-A-Van Transit,,Name Match; Airtable
5,Casa Allegra Community Services,,Casa Allegra Community Services,,,,Non-Profit Organization,,,,,,Casa Allegra,,Name Match; Airtable
6,Catholic Charities of the Diocese of Stockton,,Catholic Charities of the Diocese of Stockton,,,,Non-Profit Organization,,,,408.0,,Catholic Charities Stockton Senior Transportation,,Name Match; Airtable
7,City of Fontana,,City of Fontana,,,,City/Town,,,,414.0,,City of Fontana Senior Transportation,,Name Match; Airtable
8,City of Rio Vista,9R02-91014,City of Rio Vista,Rio Vista Delta Breeze,,"City, County or Local Government Unit or Department of Transportation",City/Town,,Rural Reporter,Rio Vista,264.0,448003.0,Rio Vista Delta Breeze,Metropolitan Transportation Commission,Name Match; NTD
9,City of Roseville,90168,City of Roseville,Roseville Transit,,"City, County or Local Government Unit or Department of Transportation",City/Town,,Reduced Reporter,Roseville,271.0,331005.0,"Roseville Transit,Roseville Dial-A-Ride",Sacramento Area Council of Governments,Name Match; NTD
10,City of Santa Rosa,90017,City of Santa Rosa,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,Full Reporter,Santa Rosa,301.0,449002.0,"Santa Rosa CityBus,Santa Rosa Call Ahead Service",Metropolitan Transportation Commission,Name Match; NTD
11,City of Visalia,90091,City of Visalia,Visalia Transit,VT,"City, County or Local Government Unit or Department of Transportation",City/Town,,Full Reporter,Visalia,361.0,654006.0,"V-LINE,Visalia Transit,Visalia Dial-A-Ride",Tulare County Association of Governments,Name Match; NTD
12,City of Visalia,90091.0,City of Visalia,,,,City/Town,,,,361.0,654006.0,"V-LINE,Visalia Transit,Visalia Dial-A-Ride",Tulare County Association of Governments,Name Match; Airtable
13,Colusa County Transit Agency,9R02-91112,Colusa County Transit Agency,,CCTA,"City, County or Local Government Unit or Department of Transportation",Independent Agency,,Rural Reporter,Colusa,74.0,306002.0,Colusa County Transit,,Name Match; NTD
14,Common Ground Senior Services,,Common Ground Senior Services,,,,Non-Profit Organization,,,,419.0,,Silver Streak Transport,,Name Match; Airtable
15,Desert Access and Mobility Inc,,Desert Access and Mobility Inc,,,,,,,,,,,,Name Match; Airtable
16,Desert ARC,,Desert ARC,,,,Non-Profit Organization,,,,,,Desert ARC,,Name Match; Airtable
