Grant_Fiscal_Year,Funding_Program,Grant_Number,Project_Year,Organization_Name,UPIN,Description,ALI,Contract_Number,AllocationAmount,Encumbered_Amount,ExpendedAmount,ActiveBalance,ClosedOutBalance,Project_Status
2011,Section 5311,CA-18-X047 | 0012000083,2016,City of Chowchilla ,BCG0000228,Operating Assistance,300902,64BO17-00368,53221.0,114511.0,53221.0,0.0,0,Open
2011,Section 5311,CA-18-X047 | 0012000083,2016,Madera County,BCG0000283,Buy <30-Ft Bus For Expansion,111304,64BC17-00408,110663.0,110663.0,101352.02,9310.98,0,Open
2011,Section 5311,CA-18-X047 | 0012000083,2016,Madera County,BCG0000284,Purchase Replacement Van,111215,64BC17-00408,20643.0,44265.0,20643.0,0.0,0,Open
2012,Section 5311,CA-18-X052 | 0012000304,2016,Madera County,BCG0000284,Purchase Replacement Van,111215,64BC17-00408,23622.0,44265.0,22868.3,753.7,0,Open
2012,Section 5311,CA-18-X052 | 0012000304,2016,Madera County,BCG0000286,Purchase Expansion <30ft Bus,111304,64BC17-00480,22925.0,113319.0,22655.51,269.49,0,Open
2013,Section 5311,CA-18-X059 | 0014000020,2016,Fresno County Rural Transit Agency,BCG0000267,Operating Assistance,300902,64BO17-00399,-769951.0,1552366.0,79018.0,-769951.0,0,Open
2013,Section 5311,CA-18-X059 | 0014000020,2016,Fresno County Rural Transit Agency,BCG0000267,Operating Assistance,300902,64BO17-00399,79018.0,1552366.0,79018.0,0.0,0,Open
2013,Section 5311,CA-18-X059 | 0014000020,2016,Madera County,BCG0000285,Purchase Expansion <30ft Bus,111304,64BC17-00480,266852.0,341680.0,263715.11,3136.89,0,Open
2013,Section 5311,CA-18-X059 | 0014000020,2016,Madera County,BCG0000286,Purchase Expansion <30ft Bus,111304,64BC17-00480,90394.0,113319.0,89331.4,1062.6,0,Open
2013,Section 5311,CA-18-X059 | 0014000020,2016,Yuba-Sutter Transit Authority,BCG0000134,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00441,210544.0,526572.0,0.0,210544.0,0,Open
2013,Section 5311,CA-18-X059 | 0014000020,2018,Fresno County Rural Transit Agency,BCG0001319,Operating Assistance Sliding Scale,300902,64BO19-00855,769510.0,1522098.0,769510.0,0.0,0,Open
2014,Section 5311,CA-18-X069 | 0015000075,2016,City of Arcata,BCG0000195,Operating Assistance,300902,64BO17-00364,14000.0,140000.0,14000.0,0.0,0,In Development
2014,Section 5311,CA-18-X069 | 0015000075,2016,City of Dinuba ,BCG0000178,Operating Assistance ,300902,64BO17-00370,35602.0,268000.0,35602.0,0.0,0,Open
2014,Section 5311,CA-18-X069 | 0015000075,2016,City of Ojai,BCG0000161,Purchase Replacement < 30 Ft Bus,111204,64BC17-00378,291536.0,291536.0,291536.0,0.0,0,Open
2014,Section 5311,CA-18-X069 | 0015000075,2016,Madera County,BCG0000234,Operating Assistance,300902,64BO17-00409,325724.0,325724.0,218942.44,106781.56,0,Open
