grant_fiscal_year,funding_program,grant_number,project_year,organization_name,upin,description,ali,contract_number,allocationamount,encumbered_amount,expendedamount,activebalance,closedoutbalance,project_status,agency,city,state,legacy_ntd_id,ntd_id,organization_type,reporter_type,primary_uza_population,agency_voms,years_old:,_13_15,_16_20,_21_25,_26_30,_31_60,_60+,total_vehicles,average_age_of_fleet__in_years_,average_lifetime_miles_per_vehicle,_0_9,_10_12,vehicle_groups,name,itp_id,gtfs_schedule_status,number_services_w_complete_rt_status,#_fixed_route_services_w__static_gtfs,complete_static_gtfs_coverage_1_means_yes,complete_rt_coverage,gt_1_gtfs_for_any_service_1_means_yes,gt_1_complete_rt_set_1_means_yes
2011.0,Section 5311,CA-18-X047 | 0012000083,2016.0,City of Chowchilla ,BCG0000228,Operating Assistance,300902,64BO17-00368,53221.0,114511.0,53221.0,0.0,0.0,Open,"City of Chowchilla, dba: Chowchilla Area Transit ",Chowchilla,CA,9R02-058,9R02-91071,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.75,0.0,4.0,0.0,Vans,City of Chowchilla,65.0,needed,0.0,0.0,1.0,1.0,0.0,0.0
2013.0,Section 5311,CA-18-X059 | 0014000020,2016.0,Fresno County Rural Transit Agency,BCG0000267,Operating Assistance,300902,64BO17-00399,-769951.0,1552366.0,79018.0,-769951.0,0.0,Open,Fresno County Rural Transit Agency,Fresno,CA,9R02-025,9R02-91007,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.555555556,0.0,18.0,0.0,Vans,Fresno County Rural Transit Agency,117.0,"needed,needed,ok,ok,needed,ok,ok,needed,needed,needed,needed,needed,ok,ok,ok,needed,ok,needed,needed,needed,needed,needed",0.0,4.0,0.0,0.0,1.0,0.0
2013.0,Section 5311,CA-18-X059 | 0014000020,2016.0,Fresno County Rural Transit Agency,BCG0000267,Operating Assistance,300902,64BO17-00399,79018.0,1552366.0,79018.0,0.0,0.0,Open,Fresno County Rural Transit Agency,Fresno,CA,9R02-025,9R02-91007,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.555555556,0.0,18.0,0.0,Vans,Fresno County Rural Transit Agency,117.0,"needed,needed,ok,ok,needed,ok,ok,needed,needed,needed,needed,needed,ok,ok,ok,needed,ok,needed,needed,needed,needed,needed",0.0,4.0,0.0,0.0,1.0,0.0
2013.0,Section 5311,CA-18-X059 | 0014000020,2016.0,Yuba-Sutter Transit Authority,BCG0000134,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00441,210544.0,526572.0,0.0,210544.0,0.0,Open,Yuba-Sutter Transit Authority,Marysville,CA,9061,90061,Independent Public Agency or Authority of Transit Service,Full Reporter,116719.0,35.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,Vans,,,,,,,,,
2013.0,Section 5311,CA-18-X059 | 0014000020,2018.0,Fresno County Rural Transit Agency,BCG0001319,Operating Assistance Sliding Scale,300902,64BO19-00855,769510.0,1522098.0,769510.0,0.0,0.0,Open,Fresno County Rural Transit Agency,Fresno,CA,9R02-025,9R02-91007,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.555555556,0.0,18.0,0.0,Vans,Fresno County Rural Transit Agency,117.0,"needed,needed,ok,ok,needed,ok,ok,needed,needed,needed,needed,needed,ok,ok,ok,needed,ok,needed,needed,needed,needed,needed",0.0,4.0,0.0,0.0,1.0,0.0
2014.0,Section 5311,CA-18-X069 | 0015000075,2016.0,City of Arcata,BCG0000195,Operating Assistance,300902,64BO17-00364,14000.0,140000.0,14000.0,0.0,0.0,In Development,City of Arcata,Arcata,CA,9R02-108,9R02-91018,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,1.0,0.0,Vans,City of Arcata,18.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2014.0,Section 5311,CA-18-X069 | 0015000075,2016.0,City of Dinuba ,BCG0000178,Operating Assistance ,300902,64BO17-00370,35602.0,268000.0,35602.0,0.0,0.0,Open,City of Dinuba,Dinuba,CA,9R02-060,9R02-91040,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.266666667,0.0,14.0,1.0,Vans,City of Dinuba,93.0,"ok,needed",0.0,1.0,1.0,0.0,1.0,0.0
2014.0,Section 5311,CA-18-X069 | 0015000075,2016.0,City of Ojai,BCG0000161,Purchase Replacement < 30 Ft Bus,111204,64BC17-00378,291536.0,291536.0,291536.0,0.0,0.0,Open,City of Ojai,Ojai,CA,9R02-004,9R02-91058,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,Vans,City of Ojai,231.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2014.0,Section 5311,CA-18-X069 | 0015000075,2016.0,Modoc Transportation Agency,BCG0000082,Operating Assistance - Dial A Ride,300902,64BO17-00412,20000.0,37170.0,20000.0,0.0,0.0,Open,Modoc Transportation Agency,Alturas,CA,9R02-048,9R02-91008,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,Vans,,,,,,,,,
2014.0,Section 5311,CA-18-X069 | 0015000075,2016.0,Yuba-Sutter Transit Authority,BCG0000134,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00441,189661.0,526572.0,0.0,189661.0,0.0,Open,Yuba-Sutter Transit Authority,Marysville,CA,9061,90061,Independent Public Agency or Authority of Transit Service,Full Reporter,116719.0,35.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,Vans,,,,,,,,,
2014.0,Section 5311,CA-18-X069 | 0015000075,2017.0,San Diego Metropolitan Transit System,BCG0001128,Operating Assistance Sliding Scale ,300902,64BO17-00579,131388.0,275000.0,131388.0,0.0,0.0,Open,San Diego Metropolitan Transit System,San Diego,CA,9026,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,2956746.0,906.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,74.0,351277.0,0.0,0.0,Vans,,,,,,,,,
2015.0,Section 5311,CA-18-X077 | 0016000239,2016.0,City of Arcata,BCG0000195,Operating Assistance,300902,64BO17-00364,10650.0,140000.0,10650.0,0.0,0.0,In Development,City of Arcata,Arcata,CA,9R02-108,9R02-91018,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,1.0,0.0,Vans,City of Arcata,18.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2015.0,Section 5311,CA-18-X077 | 0016000239,2016.0,Yuba-Sutter Transit Authority,BCG0000134,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00441,126367.0,526572.0,0.0,126367.0,0.0,Open,Yuba-Sutter Transit Authority,Marysville,CA,9061,90061,Independent Public Agency or Authority of Transit Service,Full Reporter,116719.0,35.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,Vans,,,,,,,,,
2015.0,Section 5311,CA-18-X077 | 0016000239,2017.0,City of Arcata,BCG0001202,Operating Assistance Sliding Scale,300902,64BO17-00497,16868.0,150000.0,16868.0,0.0,0.0,Open,City of Arcata,Arcata,CA,9R02-108,9R02-91018,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,1.0,0.0,Vans,City of Arcata,18.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2015.0,Section 5311,CA-18-X077 | 0016000239,2017.0,Modoc Transportation Agency,BCG0001103,Operating Assistance Sliding Scale,300902,64BO17-00506,34569.0,86827.0,34569.0,0.0,0.0,Open,Modoc Transportation Agency,Alturas,CA,9R02-048,9R02-91008,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,2.0,Vans,,,,,,,,,
2015.0,Section 5311,CA-18-X077 | 0016000239,2019.0,Humboldt Transit Authority,BCG0001490,Purchase Misc Communications Equip ,116220,64BC19-00926,-278761.0,278761.0,0.0,-278761.0,0.0,Open,Humboldt Transit Authority,Eureka,CA,9R02-016,9R02-91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,Vans,Humboldt Transit Authority,135.0,"needed,ok,ok,ok",3.0,3.0,1.0,1.0,1.0,1.0
2015.0,Section 5311,CA-18-X077 | 0016000239,2019.0,Humboldt Transit Authority,BCG0001490,Purchase Misc Communications Equip ,116220,64BC19-00926,278761.0,278761.0,0.0,278761.0,0.0,Open,Humboldt Transit Authority,Eureka,CA,9R02-016,9R02-91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,Vans,Humboldt Transit Authority,135.0,"needed,ok,ok,ok",3.0,3.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Arcata,BCG0000195,Operating Assistance,300902,64BO17-00364,115350.0,140000.0,115350.0,0.0,0.0,In Development,City of Arcata,Arcata,CA,9R02-108,9R02-91018,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,1.0,0.0,Vans,City of Arcata,18.0,ok,1.0,1.0,1.0,1.0,1.0,1.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Arvin,BCG0000187,Operating Assistance Sliding Scale,300902,64BO17-00365,62188.0,62188.0,62188.0,0.0,0.0,Open,City of Arvin,Arvin,CA,9R02-056,9R02-91027,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.333333333,0.0,2.0,1.0,Vans,City of Arvin,21.0,"need long-term solution,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Auburn,BCG0000137,Operating Assistance ,300902,64BO17-00366,68989.0,68989.0,68989.0,0.0,0.0,Open,City of Auburn,Auburn,CA,9R02-143,9R02-91032,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,5.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,Vans,City of Auburn,23.0,"ok,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of California City,BCG0000188,Operating Assistance,300902,64BO17-00367,40705.0,40705.0,40705.0,0.0,0.0,Open,City of California City,California City,CA,9R02-097,9R02-91111,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,3.0,Bus,City of California City,51.0,needed,0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Chowchilla ,BCG0000228,Operating Assistance,300902,64BO17-00368,61290.0,114511.0,61290.0,0.0,0.0,Open,"City of Chowchilla, dba: Chowchilla Area Transit ",Chowchilla,CA,9R02-058,9R02-91071,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.75,0.0,4.0,0.0,Vans,City of Chowchilla,65.0,needed,0.0,0.0,1.0,1.0,0.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Dinuba ,BCG0000178,Operating Assistance ,300902,64BO17-00370,232398.0,268000.0,232398.0,0.0,0.0,Open,City of Dinuba,Dinuba,CA,9R02-060,9R02-91040,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.266666667,0.0,14.0,1.0,Vans,City of Dinuba,93.0,"ok,needed",0.0,1.0,1.0,0.0,1.0,0.0
2016.0,Section 5311,CA-2017-025 | 0017000158,2016.0,City of Escalon ,BCG0000244,Operating Assistance ,300902,64BO17-00372,39976.0,39976.0,35280.22,4695.78,0.0,Open,"City of Escalon, dba: eTrans",Escalon,CA,9R02-061,9R02-91078,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,Vans,City of Tehachapi,333.0,,0.0,0.0,1.0,1.0,0.0,0.0
