agency,ntd_id,_merge
City of Chowchilla ,,left_only
Madera County,,left_only
Fresno County Rural Transit Agency,9R02-91007,both
Yuba-Sutter Transit Authority,90061,both
City of Arcata,9R02-91018,both
City of Dinuba ,,left_only
City of Ojai,9R02-91058,both
Modoc Transportation Agency,9R02-91008,both
San Diego Metropolitan Transit System,90026,both
Humboldt Transit Authority,9R02-91036,both
Butte County Association of Governments/ Butte Regional Transit,,left_only
Calaveras County Public Works,,left_only
City of Arvin,9R02-91027,both
City of Auburn,9R02-91032,both
City of California City,9R02-91111,both
City of Dixon,,left_only
City of Escalon ,,left_only
City of Fairfield,,left_only
City of Guadalupe,9R02-91043,both
City of McFarland,9R02-91110,both
City of Needles,,left_only
City of Porterville,90198,both
City of Ridgecrest,,left_only
City of Rio Vista,,left_only
City of Shafter,,left_only
City of Solvang,9R02-91028,both
City of Taft,,left_only
City of Tehachapi,,left_only
City of Wasco,,left_only
City of Woodlake,9R02-91079,both
Colusa County Transit Agency,9R02-91112,both
County of Los Angeles - Department of Public Works,,left_only
County of Mariposa,,left_only
"County of Nevada Public Works, Transit Services Division",,left_only
County of Sacramento Department of Transportation,,left_only
County of Shasta Department of Public Works,9R02-99438,both
County of Siskiyou,,left_only
County of Tulare,,left_only
Eastern Sierra Transit Authority,9R02-91062,both
El Dorado County Transit Authority,90229,both
Eureka Transit Service,,left_only
Glenn County Transportation Commission,,left_only
Imperial County Transportation Commission,90226,both
Kern Regional Transit,9R02-91059,both
Kings County Area Public Transit Agency,90200,both
Lake Transit Authority,9R02-91053,both
Lassen Transit Service Agency,9R02-91098,both
Livermore Amador Valley Transit Authority,,left_only
Marin County Transit District,90234,both
Mendocino Transit Authority,9R02-91047,both
Monterey-Salinas Transit,90062,both
Morongo Basin Transit Authority,9R02-91090,both
Mountain Area Regional Transit Authority,,left_only
Napa Valley Transportation Authority,90088,both
North County Transit District,90030,both
Placer County Public Works (TART & PCT),,left_only
Plumas County Transportation Commission,9R02-91119,both
Redwood Coast Transit Authority,9R02-91097,both
Riverside Transit Agency,90031,both
San Benito County Local Transportation Authority,,left_only
San Joaquin Regional Transit District,90012,both
San Luis Obispo Regional Transit Authority,90206,both
San Mateo County Transit District,,left_only
Santa Clara Valley Transportation Authority,90013,both
Santa Cruz Metropolitan Transit District,90006,both
Sierra County Transportation Commission,9R02-91038,both
Sonoma County Transit,,left_only
Stanislaus County Public Works - Transit Division,,left_only
Sunline Transit Agency,,left_only
Tehama County Transit Agency,,left_only
Town of Truckee,9R02-91101,both
Transit Joint Powers Authority for Merced County,,left_only
Trinity County Department of Transportation ,,left_only
Tuolumne County Transit Agency (TCTA),,left_only
Victor Valley Transit Authority,90148,both
Yolo County Transportation District,,left_only
Alpine County Community Development,,left_only
Amador Transit,,left_only
City of Corcoran - Corcoran Area Transit,,left_only
Fresno Council of Governments,,left_only
Klamath Trinity Non-Emergency Transportation​,,left_only
Yosemite Area Regional Transportation System ,,left_only
"Greyhound Lines, Inc.",,left_only
"Full Access & Coordinated Transportation, Inc.",,left_only
County Connection (Central Contra Costa Transit Authority),,left_only
Calaveras Transit Agency ,,left_only
City of Santa Maria,,left_only
City of Visalia,,left_only
Palo Verde Valley Transit Agency,9R02-99454,both
"Los Angeles County Metropolitan Transportation Authority, dba: Metro",90154,right_only
Orange County Transportation Authority,90036,right_only
Access Services  ,90157,right_only
"City and County of San Francisco, dba: San Francisco Municipal Transportation Agency (MUNI)",90015,right_only
"California Vanpool Authority, dba: CalVans",90230,right_only
"Alameda-Contra Costa Transit District, dba: AC Transit",90014,right_only
San Diego Association of Governments,90095,right_only
San Francisco Bay Area Rapid Transit District,90003,right_only
"San Mateo County Transit District, dba: SamTrans",90009,right_only
"City of Los Angeles, dba: Los Angeles Department of Transportation",90147,right_only
"Sacramento Regional Transit District, dba: Sacramento RT",90019,right_only
Foothill Transit,90146,right_only
Omnitrans,90029,right_only
Long Beach Transit,90023,right_only
"Southern California Regional Rail Authority, dba: Metrolink",90151,right_only
"City of Santa Monica, dba: Big Blue Bus",90008,right_only
Metropolitan Transportation Commission,90094,right_only
"City of Fresno, dba: Fresno Area Express",90027,right_only
"Golden Gate Bridge, Highway and Transportation District",90016,right_only
"Central Contra Costa Transit Authority, dba: COUNTY CONNECTION",90078,right_only
"Peninsula Corridor Joint Powers Board, dba: Caltrain",90134,right_only
San Joaquin Council,99422,right_only
"Paratransit, Inc.",90223,right_only
"City of Montebello, dba: Montebello Bus Lines",90041,right_only
SunLine Transit Agency,90079,right_only
"The Eastern Contra Costa Transit Authority, dba: Tri Delta Transit",90162,right_only
Santa Barbara Metropolitan Transit District,90020,right_only
Golden Empire Transit District,90004,right_only
Antelope Valley Transit Authority,90121,right_only
"City of Santa Clarita, dba: Santa Clarita Transit",90171,right_only
"City of Torrance, dba: Torrance Transit System ",90010,right_only
Riverside County Transportation Commission,90218,right_only
Anaheim Transportation Network,90211,right_only
Gold Coast Transit District,90035,right_only
"County of Sonoma, dba: Sonoma County Transit",90089,right_only
"City of Modesto, dba: Modesto Area Express",90007,right_only
Livermore / Amador Valley Transit Authority,90144,right_only
Western Contra Costa Transit Authority,90159,right_only
San Bernardino County Transportation Authority,90302,right_only
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus",90173,right_only
"Yolo County Transportation District, dba: Yolobus",90090,right_only
"City of Gardena, dba: GTrans",90042,right_only
"City of Elk Grove, dba: e-tran",90205,right_only
"City of Culver City, dba: Culver City Municipal Bus Lines (CityBus)",90039,right_only
Ventura County Transportation Commission,90164,right_only
Butte County Association of Governments,90208,right_only
"City of Visalia , dba: Visalia Transit",90091,right_only
