County/Region,ID,Population (9),FFY25 Apportionment
MTC,,303295,2351973.00
SACOG,,148708,1153087.00
Alpine,1,1119,48000.00
Amador,2,46118,357467.00
Butte,3,136143,1055644.00
Calaveras,4,50990,395251.00
Colusa,5,27483,212945.00
Del Norte,6,33612,260478.00
El Dorado,7,100322,777840.00
Fresno,8,293930,2279339.00
Glenn,9,34561,267838.00
Humboldt,10,136463,1058125.00
Imperial,11,73583,570467.00
Inyo,12,24660,191052.00
Kern,13,279893,2170481.00
Kings,14,70815,549002.00
Lake,15,73807,572205.00
Lassen,16,38374,297409.00
Los Angeles,17,81521,632030.00
Madera,18,81335,630585.00
Mariposa,19,22775,176433.00
Mendocino,20,97245,753976.00
Merced,21,107937,836891.00
Modoc,22,14344,111047.00
Mono,23,18839,145907.00
Monterey,24,118408,918101.00
Nevada,25,107885,836493.00
Orange,26,10175,0.00
Placer,27,101499,786969.00
Plumas,28,25434,197054.00
Riverside,29,188713,1463341.00
San Benito,30,69853,541540.00
San Bernardino,31,260605,2020891.00
San Diego,32,140082,1086195.00
San Joaquin,33,88363,685088.00
San Luis Obispo,34,103213,800258.00
Santa Barbara,35,54141,419687.00
Santa Cruz,36,38045,294856.00
Shasta,37,71026,550635.00
Sierra,38,3236,48000.00
Siskiyou,39,49720,385401.00
Stanislaus,40,92312,715718.00
Tehama,41,71473,554104.00
Trinity,42,21756,168530.00
Tulare,43,161311,1250827.00
Tuolumne,44,61264,474930.00
Ventura,45,77582,601480.00
