Stop Name,Internet Label,Avail Label,Stop Number,Routes Served,GPS,City,StaRT Stop ID,Solar Light,Shelter,Shelter Type,Asset Number2,Garbage Can,Garbage Can Type,Bench,Bench Type,Frames Needed,Landmark/Notes,Shelter Possible (Y/N),Priority,Trash Can Possible (Y/N),Priority2,Bench Possible w/o shelter (Y/N),Priority3,Notes,Column1
MODESTO TRANSIT CENTER,Modesto Transit Center,MOD DT TC,1,10 21 22 23 25 26 29 29T 30 31 33 36 37 38 40 42 47 48 50 60 61,"37.63911082289473, -121.0010539087333",Modesto,,,,,,,,,,0,,,,,,,,,
I WB 7TH FS,I St & 7th St,I WB 7TH FS,2,21 26 33 36 47,"37.63714707558038, -121.00247038848869",Modesto,,,,,,,,,,2,,Y,3,Y,3,Y,3,"R6, Concrete work needed",
H WB 4TH FS,H St & 4th St,H WB 4TH FS,3,21 26 36 47,"37.6339941715156, -121.00415709878014",Modesto,,,,,,,,X ,COA,2,,Y,2,Y,2,N/A,N/A,"R6, Existing bench, concrete work needed",
H WB 2ND FS,H St & 2nd St,H WB 2ND FS,4,21 26,"37.63268837810617, -121.0058993294759",Modesto,,,,,,,,,,2,,Y,3,Y,3,Y,3,R7,
PARADISE WB WASHINGTON FS,Modesto HS - Paradise Rd & Washington St,PARA WB WASH FS,5,21 26,"37.63125887600638, -121.0077812652221",Modesto,,,x,MESH,645,x,LG,x,Mesh,1,,Y,1,Y,1,Y,1,"R34, needs concrete work",
PARADISE WB ASH FS,Paradise Rd & Ash St,PARA WB ASH FS,6,21 26,"37.62922336502125, -121.0102160935408",Modesto,,,,,,,,x,Cement,1,,Y,3,N/A,N/A,N/A,N/A,"R9, Existing bench, trash can",
SUTTER SB PARADISE FS,Sutter Ave & Paradise Rd,SUTT SB PARA FS,7,21,"37.62706424687849, -121.01183017513868",Modesto,,,x,MESH,650,x,LG,x ,Mesh,1,,Y,1,Y,1,Y,1,"R67, ready for shelter install",
SUTTER SB CHICAGO FS,Sutter Ave & Chicago Ave,SUTT SB CHIC FS,8,21,"37.625188936068724, -121.01180938801804",Modesto,,,x,MESH,651,x,LG,x ,Mesh,1,,,,,,,,,
SUTTER SB ROUSE NS,Sutter Ave & Rouse Ave,SUTT SB ROUS NS,9,21,"37.62091124489377, -121.01180472766801",Modesto,,X,X,Tolar Sunset 8,,X,Shelter,X,Tolar,1,,Y,1,Y,1,Y,1,"R25, Needs new concrete",
SUTTER SB NIAN NS,Sutter Ave & Nian Way,SUTT SB NIAN NS,10,21,"37.617494437531796, -121.01189718609324",Modesto,,,x,MESH,652,x,LG,x ,Mesh,1,,Y,,Y,,Y,,Relocated 3/2023 from Hatch Mitchell,
SUTTER SB ROBERTSON NS,Sutter Ave & Robertson Rd,SUTT SB ROB NS,11,21,"37.61454984133462, -121.01188827268446",Modesto,,,x,MESH,653,x,LG,x ,Mesh,1,,,,,,,,,
ROBERTSON WB MARSEILLE FS,Robertson Rd & Marseille Ln,ROB WB MARS FS,12,21,"37.613373388796454, -121.01590699545655",Modesto,,X,x,MESH,654,,,,SHELTER,1,Housing Authority,,,,,,,,
ROBERTSON WB HANCHOCK ACROSS,Robertson Rd & Hancock St across,ROB WB HANC X,13,21,"37.61333075196866, -121.02106698185054",Modesto,,X,x,MESH,655,X,LG,X,Mesh,1,,,,,,,,,
ROBERTSON WB MARLOW NS,Robertson Rd & Marlow St,ROB WB MARL NS,14,21,"37.61327396671315, -121.0255059139853",Modesto,,,,,,,,X,simme,1,,N,N/A,Y*,1,N,N/A,"R67, No room",
CARPENTER NB ROBERTSON FS,Carpenter Rd & Robertson Rd,CARP NB ROB FS,16,21 47,"37.61373225199372, -121.03024732582091",Modesto,,,,,,x,SM,X,simme,1,single simme seat,Y,2,Y,2,Y,2,R12,
PARADISE EB CARPENTER FS,Paradise Rd & Carpenter Rd,PARA EB CARP FS,17,21,"37.616502172921855, -121.02995647586106",Modesto,,,x,MESH,647,x,LG,X,"COA, Mesh",,,,,,,,,,
PARADISE EB VERNON FS,Paradise Rd & Vernon Ave,PARA EB VERN FS,18,21,"37.617589139046935, -121.02685256650032",Modesto,,,,,,,,,,,,,,,,,,,
PARADISE EB PINE TREE FS,Paradise Rd & Pine Tree Ln,PARA EB PINE FS,19,21,"37.62006027257247, -121.02315842604474",Modesto,,,,,,,,,,,,,,,,,,,
PARADISE EB WADE FS,Paradise Rd & Wade Ave,PARA EB WADE FS,20,21,"37.6216853094194, -121.02072489843079",Modesto,,,x,MESH,648,x,LG,x,Mesh,,,,,,,,,,
