Stop ID #,Stop Abbreviation,Stop Location,Out/In,,Lat,Long,Shelter? Y/N,Type LNI/Wood,Small sign (ID),CHK Panel,MTD sign,# of Benches,Bench Type,Trashcan,# of cans,Trashcan Type,ADA,Notes,Pole,Link
1,ModoPorO,Modoc & Portesuello,Outbound,,34.424858,-119.72607,Yes,LNI,Yes,Yes,Yes,2,Green Wabash,,,Green Wabash,Yes,,LNI Shelter,"https://www.google.com/maps/place/Modoc+%26+Portesuello/@34.4248018,-119.7260177,3a,75y,347.16h,88.43t/data=!3m7!1e1!3m5!1sxsmcJALLIHVz1V0pAorRuA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DxsmcJALLIHVz1V0pAorRuA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D318.6001%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e914f1436cfb03:0xb389a8fec0780265!8m2!3d34.424858!4d-119.72607!10e5!16s%2Fg%2F1tm12xsg?entry=ttu"
2,SaAnValN,San Andres & Valerio,Inbound,,34.420714,-119.71894,Yes,LNI,Yes,No,Yes,2,Green Wabash,,,Green Wabash,Yes,,Street lamp,"https://www.google.com/maps/place/San+Andres+%26+Valerio/@34.4208265,-119.7189687,3a,75y,178.16h,90.93t/data=!3m7!1e1!3m5!1sMef_lJx00zr_y5sczg4u8A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DMef_lJx00zr_y5sczg4u8A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D164.24359%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9146002b96403:0xaedad9c225a8fea8!2sSan+Andres+%26+Valerio!8m2!3d34.420666!4d-119.7187745!16s%2Fg%2F11c6_sr695!3m6!1s0x80e9148aa9da827f:0x1501d5c0c6318e!8m2!3d34.420714!4d-119.71894!10e5!16s%2Fg%2F11dxkdc9qj?entry=ttu"
3,CarrSaPN,Carrillo & San Pascual,Inbound,,34.415231,-119.708745,Yes,Wood,Yes,Yes (2),Yes,1,Wooden,,1,Shopping Center (Brown),Yes,,Wooden Shelter,"https://www.google.com/maps/place/Carrillo+%26+San+Pascual/@34.4152799,-119.7088959,3a,22.3y,138.19h,87.54t/data=!3m6!1e1!3m4!1sxowrWZJMJYnnwEWDjCbRfQ!2e0!7i16384!8i8192!4m7!3m6!1s0x80e914652482c0e1:0x3a8a56bb85074d55!8m2!3d34.415231!4d-119.708745!10e5!16s%2Fg%2F1tdc0yx_?entry=ttu"
4,TC,Transit Center,n/a,,34.420949,-119.7036,Yes (3),LNI,,Yes (1),Yes (4),6,Green Wabash,,5,Green Wabash,Yes,3 single benches/3 double,Galvinized Pole - Silver,"https://www.google.com/maps/place/MTD+Transit+Center/@34.4209065,-119.7036688,3a,75y,47.66h,92.49t/data=!3m7!1e1!3m5!1sPyb1U9nSw__zfbe7Nkdk0g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DPyb1U9nSw__zfbe7Nkdk0g%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D45.40067%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m16!1m8!3m7!1s0x80e914652482c0e1:0x3a8a56bb85074d55!2sCarrillo+%26+San+Pascual!8m2!3d34.415231!4d-119.708745!10e5!16s%2Fg%2F1tdc0yx_!3m6!1s0x80e9147c4007cf49:0x704573755e19f998!8m2!3d34.4210311!4d-119.7035168!10e5!16s%2Fg%2F1vgw8yby?entry=ttu"
7,MontMilN,Montecito & Milpas,Inbound,,34.424932,-119.6822,Yes,LNI,Yes,No,Yes,2,Green Wabash,,,Mixed,Yes,City and Wabash,LNI Shelter,"https://www.google.com/maps/place/Montecito+%26+Milpas/@34.4249531,-119.6822375,3a,75y,162.69h,79.35t/data=!3m6!1e1!3m4!1svLSW8R4JwbV5JzUmNujcwg!2e0!7i16384!8i8192!4m11!1m2!2m1!1sMontecito+%26+Milpas!3m7!1s0x80e9139b7bb6ada1:0x8e3bf1d579431854!8m2!3d34.424932!4d-119.6822!10e5!15sChJNb250ZWNpdG8gJiBNaWxwYXOSAQhidXNfc3RvcOABAA!16s%2Fg%2F1tmkl8nt?entry=ttu"
8,SaliMonN,Salinas & Montecito,Inbound,,34.428849,-119.67659,No,,Yes,No,Yes,1,Wooden,,,Concrete,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Salinas+%26+Montecito/@34.4289482,-119.6766808,3a,35.8y,150.94h,85.88t/data=!3m7!1e1!3m5!1s4lFPiCanhWCpCZpTaPK8Uw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D4lFPiCanhWCpCZpTaPK8Uw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D135.88567%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e9139ef0d3d91f:0x92d643238130210e!8m2!3d34.428849!4d-119.67659!10e5!16s%2Fg%2F1tph210h?entry=ttu"
9,PuGoSalO,Punta Gorda & Salinas,Outbound,,34.422963,-119.668508,Yes,LNI,Yes,Yes,Yes,1,Green Wabash,,,Green Wabash,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Punta+Gorda+%26+Salinas/@34.422981,-119.6684149,3a,75y,268.91h,74.56t/data=!3m7!1e1!3m5!1s9I-lgZvA782Ezbd3VIp2Dw!2e0!5s20190301T000000!7i16384!8i8192!4m7!3m6!1s0x80e913bcbe901995:0x190d934f66e8084d!8m2!3d34.422963!4d-119.668508!10e5!16s%2Fg%2F1vcjmkhg?entry=ttu"
10,MilpMonO,Milpas & Montecito,Outbound,,34.424216,-119.68226,Yes,LNI,Yes,Yes,Yes,2,Green Wabash,,,Green Wabash,Yes,,Green - Finial,"https://www.google.com/maps/place/Milpas+%26+Montecito/@34.424091,-119.6823895,3a,46.6y,48.54h,89.43t/data=!3m7!1e1!3m5!1sh1cULSo5zzPg52-FgdC11A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Dh1cULSo5zzPg52-FgdC11A%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D40.205116%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m11!1m2!2m1!1sMilpas+%26+Montecito!3m7!1s0x80e9139b73114c81:0xd25fbc16ac40838e!8m2!3d34.424216!4d-119.68226!10e5!15sChJNaWxwYXMgJiBNb250ZWNpdG-SAQhidXNfc3RvcOABAA!16s%2Fg%2F11b6yjtsxs?entry=ttu"
12,SaAnValO,San Andres & Valerio,Outbound,,34.420618,-119.718609,No,,Yes,No,Yes,1,Green Wabash,,,City Can (Dome),Yes,,Street lamp,"https://www.google.com/maps/place/San+Andres+%26+Valerio/@34.4205861,-119.7186706,3a,75y,69.3h,87.75t/data=!3m7!1e1!3m5!1sciwgEzjaT4EB-puI9fNM6g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DciwgEzjaT4EB-puI9fNM6g%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D59.58985%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m15!1m7!3m6!1s0x80e9146002b96403:0xaedad9c225a8fea8!2sSan+Andres+%26+Valerio!8m2!3d34.420666!4d-119.7187745!16s%2Fg%2F11c6_sr695!3m6!1s0x80e9146002af86c9:0xd1356cbbaa0b8bec!8m2!3d34.420618!4d-119.718609!10e5!16s%2Fg%2F1tj96qyk?entry=ttu"
14,TreaSamO,Treasure & Samarkand,Outbound,,34.430419,-119.7312,Yes,Wood,Yes,Yes,Yes,1,Wooden,,,Green Wabash,Yes,,Wooden Shelter,"https://www.google.com/maps/place/Treasure+%26+Samarkand/@34.4304044,-119.7312402,3a,75y,64.73h,75.36t/data=!3m7!1e1!3m5!1suqYjbYFUIjCOqOczBp_ewA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DuqYjbYFUIjCOqOczBp_ewA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D59.141804%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e914ef7f082ddb:0x562828cf5861d169!8m2!3d34.430419!4d-119.7312!10e5!16s%2Fg%2F1tknkrr4?entry=ttu"
