Stop Name,Internet Label,Avail Label,Stop Number,Routes Served,GPS,Column2,City,StaRT Stop ID,Solar Light,Shelter,Shelter Type,Asset Number2,Garbage Can,Garbage Can Type,Bench,Bench Type,Frames Needed,Landmark/Notes,Shelter Possible (Y/N),Priority,Trash Can Possible (Y/N),Priority2,Bench Possible w/o shelter (Y/N),Priority3,Notes,Column1
MAZE EB SPENCER NS,Maze Blvd & Spencer Ave,MAZE EB SPEN NS,50,26,37.63858542,-121.0176611,Modesto,,,,,,,,x,Simme,1,,N,N/A,Y,4,N,N/A,"R17,Received bid, too costly to improve ",
MAZE EB MLK BLVD NS,Maze Blvd & Martin Luther King Dr,MAZE EB MLK NS,51,26,37.63860438,-121.0119998,Modesto,,,X,MESH,680,X ,LG ,X,COA,1,,Y,1,Y,1,N,N/A,"R26, Might need concrete work, signs moved - CalTrans",
MAZE EB JEFFERSON NS,Maze Blvd & Jefferson St,MAZE EB JEFF NS,52,26,37.63857794,-121.0091019,Modesto,,,,,,,,,,1,,N,N/A,N,N/A,Y,3,"R7, No room",
L EB 7TH NS,L St & 7th St,L EB 7TH NS,53,26,37.64008794,-121.0056034,Modesto,,,,,,,,,,1,,N,N/A,N,N/A,Y,4,R1,
MCHENRY NB NORWEGIAN FS,McHenry Ave & Norwegian Ave,MCH NB NORW FS,65,"22, 23, 60",37.67150376,-120.9938828,Modesto,75,,,,,X,LG,X,COA,1,"former StaRT, RECYCLE BIN",Y,3,N/A,N/A,N/A,N/A,"R7, Existing bench & trash can",
MCHENRY NB TOKAY FS,McHenry Ave & Tokay Ave,MCH NB TOKA FS,66,"22, 23",37.67307313,-120.9939415,Modesto,,,,,,X,LG,X,COA,1,,Y,4,N/A,N/A,N/A,N/A,"R1, Existing bench & trash can",
MCHENRY NB MARK RANDY NS,McHenry Ave & Mark Randy Pl,MCH NB MARK NS,67,"22, 23",37.67516106,-120.9940283,Modesto,,,,,,X,LG,X,COA,1,RECYCLE BIN,Y,2,N/A,N/A,N/A,N/A,"R10, Existing bench & trash can",
MCHENRY NB SHEILA NS,McHenry Ave & Sheila Ct,MCH NB SHEI NS,68,"22, 23",37.67667644,-120.9940319,Modesto,,,,,,X,LG,X,COA,1,,,,,,,,,
MCHENRY NB FLOYD FS,McHenry Ave & Floyd Ave,MCH NB FLOY FS,69,22 23 37,37.67884551,-120.9940074,Modesto,76,,X,MESH,527,X,LG,X (2),COA S BENCH,1,RECYCLE BIN In-Shape City ,,,,,,,,
MCHENRY NB RUMBLE FS,McHenry Ave & Rumble Rd,MCH NB RUMB FS,70,22 23 37,37.68226385,-120.994095,Modesto,,,,,,X,LG,X,COA,2,,Y,3,N/A,N/A,N/A,N/A,"R6, Existing bench & trash can",
MCHENRY NB ROBINHOOD NS,McHenry Ave & Robinhood Dr,MCH NB ROBIN NS,71,22 23 37,37.68516764,-120.9941443,Modesto,,,,,,X,LG,X,COA,2,,,,,,,,,
MCHENRY NB SYLVAN FS,McHenry Ave & Sylvan Ave,MCH NB SYLV FS,72,23,37.68953074,-120.9942228,Modesto,77,,,,,X,LG,X,COA,1,RECYCLE BIN,Y,4,N/A,N/A,N/A,N/A,"R0, Existing bench & trash can",
MCHENRY NB WARREN FS,McHenry Ave & Warren Way,MCH NB WARR FS,73,23,37.69133637,-120.9942563,Modesto,,,,,,X,LG,X,COA,1,RECYCLE BIN,Y,4,N/A,N/A,N/A,N/A,"R1, Existing bench & trash can",
MCHENRY NB CORALWOOD NS,McHenry Ave & Coralwood Rd,MCH NB CORA NS,74,23,37.69513823,-120.9943205,Modesto,78,,X,MESH,528,X,LG,X (2),COA 1 S BENCH,1,RECYCLE BIN,,,,,,,,
MCHENRY NB GRECIAN NS,McHenry Ave & Grecian Ave,MCH NB GREC NS,75,23,37.69722114,-120.9943644,Modesto,,,X,PG,529,X,LG,X,S. BENCH,1,,,,,,,,,
MCHENRY Ave NB AUTO CENTER NS,Auto Center,MCH NB AUTO NS,76,23,37.70071401,-120.9943766,Modesto,,,,,,,,X,COA,1,,Y,4,Y,4,N/A,N/A,"R0, Existing bench",
KIERNAN EB STRATOS FS,Kiernan Ave & Stratos Way,KIER EB STRA FS,82,23,37.71102841,-120.999802,Modesto,,,,,,,,,,1,,Y,4,Y,4,Y,4,"R0, needs concrete work",
KIERNAN EB MCHENRY NS,Kiernan Ave & McHenry Ave,KIER EB MCH NS,83,23,37.71094332,-120.9962927,Modesto,,,,,,X ,LG,X,COA,1,,Y,4,Y,4,Y,4,"R0, Existing bench & trash can",
MCHENRY SB BANGS NS,McHenry Ave & Bangs Ave,MCH SB BANG NS,85,23,37.70433665,-120.9948253,Modesto,100,,,,,,,X,COA,1,,Y,4,Y,4,N/A,N/A,"R0, Existing bench",
MCHENRY SB PELANDALE NS,McHenry Ave & Pelandale Ave,MCH SB PELA NS,86,23,37.70031483,-120.9947017,Modesto,,,,,,X,LG,X,Simme,1,,Y,4,N/A,N/A,Y,4,R0,
