Stop ID,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Name (on system map),On street,At street,Bus Direction,Near or Far Side,Accessible?,Amenities,Trashcan at Location,Seat at Location,Light at Location,Latitude,Longitude
120,X,,,,,,,Fulkerth & Countryside,Fulkerth Rd,Countryside Dr,W,Near,YES,Shelter,YES,YES,None,37.5074,-120.87359
121,X,,,,,,,Countryside & Shetland,Countryside Dr,Shetland Way,N,Far,NO,Street Post,None,None,YES,37.51107491,-120.87636
122,X,,,,,,,Countryside & Tuolumne,Countryside Dr,W Tuolumne Way,N,Near,NO,Street Post,None,YES,YES,37.51488598,-120.8777817
123,X,,,,,,,Countryside & Monte Vista Crossing,Countryside Dr,Monte Vista Crossing,N,Far,YES,Shelter,YES,YES,YES,37.51948,-120.88066
124,X,,,,,,,Countryside & Monte Vista,Countryside Dr,W Monte Vista Avenue,N,Near,YES,Street Post,YES,YES,YES,37.52131986,-120.8810815
125,X,,,,,,,Monte Vista & Summer Creek,W Monte Vista Ave,Summer Creek,E,Far,NO,Street Light Pole,None,None,YES,37.5217136,-120.8746344
126,X,,,,,,,Monte Vista & Walnut,W Monte Vista Ave,N Walnut Rd,E,Far,NO,Street Post,None,None,None,37.52175146,-120.8670363
127,X,,,,,,,Monte Vista & Crowell,W Monte Vista Ave,Crowell Rd,E,Far,YES,Shelter,YES,YES,YES,37.52177,-120.86194
128,X,,,,,,,Monte Vista & Dels,W Monte Vista Ave,Dels Ln,E,Far,NO,Street Post,None,YES,YES,37.52172,-120.85758
129,X,,,,,,,Monte Vista & Niagra,W Monte Vista Ave,Niagra St,E,Near,NO,Street Post,None,YES,YES,37.52172012,-120.8514788
130,X,,,,,,,Geer & Regis,Geer Rd,Regis St,S,Far,YES,Shelter,YES,YES,YES,37.51912038,-120.8490589
131,X,,,,,,,Geer & Minnesota,Geer Rd,W Minnesota Ave,S,Far,YES,Shelter,YES,YES,YES,37.51597,-120.84904
132,X,,,,,,,Geer & Pedras,Geer Rd,Pedras Rd,S,Far,YES,Street Post,None,YES,None,37.51069,-120.84904
133,,X,,,,,,Geer & Hawkeye,Geer Rd,E Hawkeye Ave,N,Far,YES,Street Post,None,None,YES,37.50765799,-120.8487825
134,,X,,,,,,Geer & North,Geer Rd,North Ave,N,Far,NO,Street Post,None,YES,None,37.51025941,-120.8487828
135,,X,,,,,,Geer & Tuolumne,Geer Rd,E Tuolumne Rd,N,Far,YES,Shelter,YES,YES,YES,37.51512,-120.84876
136,,X,,,,,,Geer & Regis,Geer Rd,Regis St,N,Far,YES,Shelter,YES,YES,YES,37.51971,-120.84874
137,,X,,,,,,Monte Vista & Geer,W Monte Vista Ave,Geer Rd,W,Far,YES,Street Post,None,None,YES,37.52206197,-120.8493593
138,,X,,,,,,Monte Vista & Dels,W Monte Vista Ave,Dels Ln,W,Near,YES,Shelter,YES,YES,YES,37.52206,-120.85767
139,,X,,,,,,Monte Vista & Theatre,W Monte Vista Ave,Theatre Ave,W,Far,NO,Street Post,None,YES,YES,37.52204988,-120.8607116
140,,X,,,,,,Monte Vista & Walnut,W Monte Vista Ave,N Walnut Rd,W,Far,NO,Street Post,None,None,YES,37.52200953,-120.8676651
141,,X,,,,,,Monte Vista & Summer Creek,W Monte Vista Ave,Summer Creek Dr,W,N/A,NO,Street Post,None,None,None,37.52198249,-120.8739345
142,,X,,,,,,Countryside & Monte Vista Crossing,Countryside Dr,Monte Vista Crossing,S,N/A,YES,Shelter,YES,YES,YES,37.51891,-120.8807
143,,X,,,,,,Tuolumne & Pinto,W Tuolumne Rd,Pinto Way,E,Far,NO,Street Light Pole,None,None,YES,37.51447963,-120.876181
144,,X,,,,,,Tully & Tuolumne,N Tully Rd,W Tuolumne Rd,S,Far,NO,Street Post,None,None,YES,37.51400626,-120.8719049
145,,X,,,,,,Tully & Fulkerth,N Tully Rd,Fulkerth Rd,S,Near,YES,Shelter,YES,YES,YES,37.50919248,-120.8719075
146,,,X,,,,,Golden State & Tuolumne,N Golden State Blvd,W Tuolumne Rd,N,Far,YES,Street Post,None,YES,YES,37.51509482,-120.8694809
147,,,X,,,,,Golden State & Monte Vista,N Golden State Blvd,W Monte Vista Ave,N,Far,YES,Street Post,None,None,None,37.52243685,-120.8778409
