agency,stop_id,stop_name,route_type,date,shn_route,shn_route_type,x,y
Amador Regional Transit System,19031,DeMartini - Carbondale Rd.,3,8/14/2024,16,State,-120.9131531,38.45237226
Amador Regional Transit System,20479,Hwy. 16 East of Hedge Ave. (Country Side Diner),3,8/14/2024,16,State,-121.3579912,38.53504491
Amador Regional Transit System,27788,Drytown,3,8/14/2024,49,State,-120.855011,38.441387
Amador Regional Transit System,27791,Drytown,3,8/14/2024,49,State,-120.855202,38.441109
Amador Regional Transit System,27789,Shell Station,3,8/14/2024,49,State,-120.8548191,38.46669465
Amador Regional Transit System,27790,Across from Shell Station,3,8/14/2024,49,State,-120.85537,38.466667
Amador Regional Transit System,27807,Hwy 49 at Sutter Hill (laundromat),3,8/14/2024,49,State,-120.8025029,38.37908133
Amador Regional Transit System,19021,Pine Cone Pharmacy,3,8/14/2024,88,State,-120.657636,38.41302836
Amador Regional Transit System,19022,Kamps Propane,3,8/14/2024,88,State,-120.6110483,38.4150899
Amador Regional Transit System,19023,Pine Grove Town Hall,3,8/14/2024,88,State,-120.657692,38.413215
Amador Regional Transit System,19025,Red Corral,3,8/14/2024,88,State,-120.6104161,38.41522565
Amador Regional Transit System,19026,Pioneer Post Office,3,8/14/2024,88,State,-120.5775826,38.4301018
Amador Regional Transit System,19027,Buckhorn Ridge Loop (Pioneer Park),3,8/14/2024,88,State,-120.573149,38.431287
Amador Regional Transit System,19037,Amador Station,3,8/14/2024,88,State,-120.512016,38.491824
Amador Regional Transit System,27798,Pine Grove Market,3,8/14/2024,88,State,-120.666122,38.413078
Amador Regional Transit System,27800,Ranch Rd. (Ranch Home Estates),3,8/14/2024,88,State,-120.6200915,38.40805467
Amador Regional Transit System,27802,Homestead Rd.,3,8/14/2024,88,State,-120.6203065,38.40827845
Amador Regional Transit System,27804,Pine Grove East of Ridge Rd.,3,8/14/2024,88,State,-120.664413,38.413712
Amador Regional Transit System,18997,Ione Park & Ride,3,8/14/2024,104,State,-120.934877,38.352447
Amador Regional Transit System,19000,Main St. & Hwy. 104 (S. Ione St.),3,8/14/2024,104,State,-120.9323894,38.35282519
Amador Regional Transit System,27811,Hwy 124 (S. Church St.) & Main St.,3,8/14/2024,104,State,-120.933349,38.352615
Amador Regional Transit System,27811,Hwy 124 (S. Church St.) & Main St.,3,8/14/2024,124,State,-120.933349,38.352615
Anaheim Transportation Network,3023,Manchester Duo,3,8/14/2024,5,Interstate,-117.9124549,33.81196545
Orange County Transportation Authority,6895,AVD DEL PRESIDENTE-ENT CONCORDIA SCHOOL,3,8/14/2024,5,Interstate,-117.597378,33.402739
Antelope Valley Transit Authority,197,Palmdale Blvd. & 11th St. E.,3,8/14/2024,138,State,-118.1089175,34.57947118
Antelope Valley Transit Authority,198,Palmdale Blvd. & 15th St. E.,3,8/14/2024,138,State,-118.1026846,34.57952988
Antelope Valley Transit Authority,199,Palmdale Blvd. & 17th St. E.,3,8/14/2024,138,State,-118.096901,34.579554
Antelope Valley Transit Authority,200,Palmdale Blvd. & 20th St. E.,3,8/14/2024,138,State,-118.0928584,34.57986737
Antelope Valley Transit Authority,201,Palmdale Blvd. & 25th St. E.,3,8/14/2024,138,State,-118.0844148,34.58004024
Antelope Valley Transit Authority,202,Palmdale Blvd. & 22nd St. E.,3,8/14/2024,138,State,-118.08899,34.579991
Antelope Valley Transit Authority,203,Palmdale Blvd. & 27th St. E.,3,8/14/2024,138,State,-118.080875,34.580065
Antelope Valley Transit Authority,204,Palmdale Blvd. & 30th St. E.,3,8/14/2024,138,State,-118.075626,34.580074
Antelope Valley Transit Authority,205,Palmdale Blvd. & 35th St. E.,3,8/14/2024,138,State,-118.066377,34.580061
Antelope Valley Transit Authority,219,Palmdale Blvd. & 35th St. E.,3,8/14/2024,138,State,-118.068048,34.580319
Antelope Valley Transit Authority,220,Palmdale Blvd. & 30th St. E.,3,8/14/2024,138,State,-118.0757483,34.58031644
Antelope Valley Transit Authority,221,Palmdale Blvd. & 27th St. E.,3,8/14/2024,138,State,-118.0814437,34.58027433
Antelope Valley Transit Authority,222,Palmdale Blvd. & 25th St. E.,3,8/14/2024,138,State,-118.0865908,34.5802421
Antelope Valley Transit Authority,223,Palmdale Blvd. & 22nd St. E.,3,8/14/2024,138,State,-118.088955,34.580233
Antelope Valley Transit Authority,224,Palmdale Blvd. & 20th St. E.,3,8/14/2024,138,State,-118.0954631,34.57977671
Antelope Valley Transit Authority,225,Palmdale Blvd. & 17th St. E.,3,8/14/2024,138,State,-118.0988707,34.57975912
Antelope Valley Transit Authority,226,Palmdale Blvd. & 15th St. E.,3,8/14/2024,138,State,-118.1033897,34.57971802
Antelope Valley Transit Authority,227,Palmdale Blvd. & 11th St. E.,3,8/14/2024,138,State,-118.1090194,34.57967666
Antelope Valley Transit Authority,23,Palmdale Blvd. & 9th St. E.,3,8/14/2024,138,State,-118.11341,34.5796178
Antelope Valley Transit Authority,276,Palmdale Blvd. & 10th St. E.,3,8/14/2024,138,State,-118.1124,34.57944956
Antelope Valley Transit Authority,899,Palmdale Blvd. & Sierra Hwy,3,8/14/2024,138,State,-118.115402,34.57945648
Antelope Valley Transit Authority,1127,47th St. E. & Ave. R,3,8/14/2024,138,State,-118.0448281,34.57342196
Antelope Valley Transit Authority,126,Palmdale Blvd. & Division,3,8/14/2024,138,State,-118.128297,34.579708
Antelope Valley Transit Authority,129,Palmdale Blvd. & 3rd St. E.,3,8/14/2024,138,State,-118.125096,34.57973
Antelope Valley Transit Authority,132,Palmdale Blvd. & 6th St. E.,3,8/14/2024,138,State,-118.1192848,34.57944417
Antelope Valley Transit Authority,146,Palmdale Blvd. & 6th St. E.,3,8/14/2024,138,State,-118.11888,34.579674
Antelope Valley Transit Authority,150,Palmdale Blvd. & 3rd St. E.,3,8/14/2024,138,State,-118.125398,34.579972
Antelope Valley Transit Authority,151,Palmdale Blvd. & Division,3,8/14/2024,138,State,-118.128689,34.579957
Antelope Valley Transit Authority,209,47th St. E. & Ave. R,3,8/14/2024,138,State,-118.045147,34.57210112
Antelope Valley Transit Authority,210,47th St. E. & Ave. R-4,3,8/14/2024,138,State,-118.045185,34.568815
Antelope Valley Transit Authority,213,47th St. E. & Ave. R-8,3,8/14/2024,138,State,-118.0449909,34.56596358
Antelope Valley Transit Authority,214,47th St. E. & Ave. R-4,3,8/14/2024,138,State,-118.0449329,34.56964596
Antelope Valley Transit Authority,907,47th St. E. & Ave. R-8,3,8/14/2024,138,State,-118.045247,34.565053
Antelope Valley Transit Authority,183,Palmdale Blvd. & 11th St. E.,3,8/14/2024,138,State,-118.108861,34.57946
Antelope Valley Transit Authority,236,Palmdale Blvd. & 11th St. E.,3,8/14/2024,138,State,-118.1090412,34.57976962
Antelope Valley Transit Authority,1,47th St. E. & Ave. S,3,8/14/2024,138,State,-118.045473,34.557078
Antelope Valley Transit Authority,1106,Pearblossom Hwy. & 87th St. E.,3,8/14/2024,138,State,-117.9757555,34.52121158
Antelope Valley Transit Authority,1107,Pearblossom Hwy. & 82nd St. E.,3,8/14/2024,138,State,-117.9844897,34.52099308
Antelope Valley Transit Authority,1108,47th St. E. & Ave. S,3,8/14/2024,138,State,-118.045069,34.55613519
Antelope Valley Transit Authority,481,Pearblossom Hwy. & 77th St. E.,3,8/14/2024,138,State,-117.9928966,34.52115173
Antelope Valley Transit Authority,482,Pearblossom Hwy. & 72nd St. E.,3,8/14/2024,138,State,-118.0003969,34.52112653
Antelope Valley Transit Authority,483,Pearblossom Hwy. & 60th St. E.,3,8/14/2024,138,State,-118.0241073,34.53847957
Antelope Valley Transit Authority,484,Pearblossom Hwy. & Fort Tejon Rd.,3,8/14/2024,138,State,-118.0305339,34.54307796
Antelope Valley Transit Authority,61,Pearblossom Hwy. & Fort Tejon Rd.,3,8/14/2024,138,State,-118.0313054,34.54328412
Antelope Valley Transit Authority,62,Pearblossom Hwy. & 60th St. E.,3,8/14/2024,138,State,-118.023724,34.53793519
Antelope Valley Transit Authority,63,Pearblossom Hwy. & 72nd St. E.,3,8/14/2024,138,State,-118.0016102,34.52090117
Antelope Valley Transit Authority,64,Pearblossom Hwy. & 77th St. E.,3,8/14/2024,138,State,-117.9915146,34.52098261
Antelope Valley Transit Authority,8,Pearblossom Hwy. & 82th St. E.,3,8/14/2024,138,State,-117.9844739,34.5212912
Antelope Valley Transit Authority,1123,47th St. E. & Ave. R,3,8/14/2024,138,State,-118.044761,34.573433
Antelope Valley Transit Authority,212,47th St. E. & Ave. R-11,3,8/14/2024,138,State,-118.044992,34.562307
Antelope Valley Transit Authority,22,Ave. S & 47th St. E.,3,8/14/2024,138,State,-118.0450394,34.55939378
Antelope Valley Transit Authority,418,Palmdale Blvd. & 40th St. E.,3,8/14/2024,138,State,-118.057628,34.580155
Antelope Valley Transit Authority,937,Palmdale Blvd. & 40th St. E.,3,8/14/2024,138,State,-118.0578645,34.58040633
City of Arvin,2619274,La Mex (old),3,8/14/2024,223,State,-118.826892,35.209024
Kern County,769828,Bear Mountain Blvd. at Comanche Dr. (SB) (769828),3,8/14/2024,223,State,-118.8417339,35.2089157
Kern County,771439,Bear Mountain Blvd. at Comanche Dr. (NB) (771439),3,8/14/2024,223,State,-118.8412889,35.2091246
City of Arvin,2619291,Fastrip (Lamont),3,8/14/2024,184,State,-118.914279,35.25282
City of Arvin,2619294,Garcia's Market,3,8/14/2024,184,State,-118.914651,35.255915
City of Arvin,2619295,County Fair Market,3,8/14/2024,184,State,-118.914256,35.260165
City of Arvin,2619296,Dollar Tree,3,8/14/2024,184,State,-118.914572,35.262486
City of Arvin,2619297,Fiesta Market,3,8/14/2024,184,State,-118.9146,35.266087
Golden Empire Transit District,553,Morning Drive & Polaris,3,8/14/2024,184,State,-118.91409,35.374834
Golden Empire Transit District,554,Morning Drive & Pioneer,3,8/14/2024,184,State,-118.914398,35.368166
Golden Empire Transit District,555,Morning Drive & Rosewood,3,8/14/2024,184,State,-118.914093,35.372965
Golden Empire Transit District,9,Morning Drive & Rosewood,3,8/14/2024,184,State,-118.914307,35.372283
Kern County,2512206,Buena Vista Blvd. at Main St. (SB) (2512206),3,8/14/2024,184,State,-118.914591,35.23759927
Kern County,2512207,Buena Vista Blvd. at Main St. (NB) (2512207),3,8/14/2024,184,State,-118.9143709,35.237528
Kern County,4160863,Mountain View Village - Southbound (4160863),3,8/14/2024,184,State,-118.914591,35.25112804
Kern County,760763,Main St. at Hall Rd. (Chipres Plaza) (760763),3,8/14/2024,184,State,-118.9145361,35.25934776
Kern County,760771,Main St. at Hall Rd. (County Fair Market) (760771),3,8/14/2024,184,State,-118.9142451,35.26027462
Kern County,760776,Main St. at School St. (SB) (760776),3,8/14/2024,184,State,-118.9145293,35.26249261
Kern County,760787,Main St. at E Panama Rd. (SB) (760787),3,8/14/2024,184,State,-118.9145721,35.26607388
Kern County,760792,Main St. at Segrue Rd. (SB) (760792),3,8/14/2024,184,State,-118.9145483,35.25593318
Kern County,760812,Main St. at Wharton Ave. (NB) (760812),3,8/14/2024,184,State,-118.9142782,35.25348399
Kern County,760834,Weedpatch Hwy. at Bengston Ave. (SB) (760834),3,8/14/2024,184,State,-118.9143925,35.33626565
Kern County,760837,Redbank Rd. at Weedpatch Hwy. (SB) (760837),3,8/14/2024,184,State,-118.9145878,35.33975953
Kern County,760853,Weedpatch Hwy. at Sunset Blvd. (NB) (760853),3,8/14/2024,184,State,-118.9143881,35.22381289
Kern County,760873,Weedpatch Hwy. at Doney St. (760873),3,8/14/2024,184,State,-118.9143876,35.32069362
Kern County,760874,Weedpatch Hwy. at Hilltop Rd. (SB) (760874),3,8/14/2024,184,State,-118.9144621,35.29775453
Kern County,761650,Main St. at Segrue Rd. (NB) (761650),3,8/14/2024,184,State,-118.9142565,35.25585179
Kern County,761651,Main St. at School St. (NB) (761651),3,8/14/2024,184,State,-118.914271,35.262539
Kern County,761653,Main St. at Lamont Ave. (NB) (761653),3,8/14/2024,184,State,-118.91425,35.272644
Kern County,761654,Weedpatch Hwy. at Fuller Dr. (Irwin's Market) (761654),3,8/14/2024,184,State,-118.914251,35.299535
Kern County,761655,Weedpatch Hwy. at Blackburn St. (761655),3,8/14/2024,184,State,-118.914255,35.306344
Kern County,761658,Main St. at Wharton Ave. (SB) (761658),3,8/14/2024,184,State,-118.914543,35.253486
Kern County,761659,Post Office/Main St. (SB) (761659),3,8/14/2024,184,State,-118.914557,35.246157
Kern County,761660,Weedpatch Hwy. at Hilltop Rd. (NB) (761660),3,8/14/2024,184,State,-118.9142482,35.29785195
Kern County,768679,Main St. at E Panama Rd. (NB) (768679),3,8/14/2024,184,State,-118.9142566,35.267207
Kern County,769820,Weedpatch Hwy. at Bengston Ave. (NB) (769820),3,8/14/2024,184,State,-118.914127,35.33642811
Kern County,771440,Post Office/Main St. (NB) (771440),3,8/14/2024,184,State,-118.914328,35.246483
Kern County,771441,Weedpatch Hwy. at Sunset Blvd. (SB) (771441),3,8/14/2024,184,State,-118.9145933,35.22260677
Kern County,771442,Weedpatch Hwy. at Reynolds St. (NB) (771442),3,8/14/2024,184,State,-118.914297,35.288239
Kern County,771443,Weedpatch Hwy. at Reynolds St. (SB) (771443),3,8/14/2024,184,State,-118.914458,35.288233
Kern County,771444,Main St. at Lamont Ave. (SB) (771444),3,8/14/2024,184,State,-118.914544,35.272822
Kern County,771445,Weedpatch Hwy. at Muller Rd. (771445),3,8/14/2024,184,State,-118.914169,35.324108
Kern County,760875,Buena Vista Blvd. at Main St. (end of route) (760875),3,8/14/2024,184,State,-118.9147617,35.23778788
Kern County,4160864,Mountain View Village (NB) (4160864),3,8/14/2024,184,State,-118.9141016,35.25201296
City of Baldwin Park,69,Dalewood St (Kaiser Parking Lot Wb),3,8/14/2024,10,Interstate,-117.986655,34.066653
City of Baldwin Park,70,Dalewood St & Leorita St (WB),3,8/14/2024,10,Interstate,-117.988626,34.066366
City of Baldwin Park,155,Dalewood St & Leorita St (WB),3,8/14/2024,10,Interstate,-117.988626,34.066366
City of Baldwin Park,156,Dalewood St (Kaiser Parking Entrance Eb),3,8/14/2024,10,Interstate,-117.986653,34.066553
City of Santa Monica,1265,NATIONAL EB & ROBERTSON FS,3,8/14/2024,10,Interstate,-118.390725,34.03114
City of El Monte,2382620,Flair Drive & Telstar Avenue,3,8/14/2024,10,Interstate,-118.057355,34.07203347
City of El Monte,4160332,Flair @ Denny's,3,8/14/2024,10,Interstate,-118.0551392,34.07202824
City of El Monte,4160336,Flair @ Fletcher,3,8/14/2024,10,Interstate,-118.0607358,34.07196571
City of El Monte,2394777,Durfee Avenue & Exline Street,3,8/14/2024,10,Interstate,-118.0111686,34.06459745
City of Duarte,493,10 Freeway and Azusa Ave E,3,8/14/2024,10,Interstate,-117.908253,34.071995
City of Duarte,1171,El Monte Station Upper Level,3,8/14/2024,10,Interstate,-118.044371,34.072235
City of Duarte,2591,Union Station Patsaouras Bus Plaza E,3,8/14/2024,10,Interstate,-118.232893,34.054052
City of Duarte,2593,Los Angeles General Medical Center E,3,8/14/2024,10,Interstate,-118.210514,34.055461
City of Duarte,2594,Los Angeles General Medical Center W,3,8/14/2024,10,Interstate,-118.210615,34.055466
City of Duarte,2818,Union Station Patsaouras Bus Plaza W,3,8/14/2024,10,Interstate,-118.233009,34.053974
City of Duarte,896,Cal State LA E,3,8/14/2024,10,Interstate,-118.168473,34.062486
City of Duarte,897,Cal State LA W,3,8/14/2024,10,Interstate,-118.168532,34.062856
City of Duarte,496,10 Freeway and Puente Ave E,3,8/14/2024,10,Interstate,-117.960458,34.070065
City of Los Angeles,5814573,Marengo St & Soto St (Westbound) (4322),3,8/14/2024,10,Interstate,-118.203406,34.055006
City of Los Angeles,5799971,Herbert Ave & City Terrace Dr (Northbound) (4211),3,8/14/2024,10,Interstate,-118.183023,34.055956
Los Angeles County Metropolitan Transportation Authority,14915,Terminal 28 - West Lot,3,8/14/2024,10,Interstate,-118.265139,34.033504
Los Angeles County Metropolitan Transportation Authority,12404,Soto / Marengo,3,8/14/2024,10,Interstate,-118.203116,34.054442
Los Angeles County Metropolitan Transportation Authority,16535,Washington Fairfax Terminal,3,8/14/2024,10,Interstate,-118.369075,34.035276
Los Angeles County Metropolitan Transportation Authority,5148,Hoover / Santa Monica Fwy,3,8/14/2024,10,Interstate,-118.283851,34.03691
Los Angeles County Metropolitan Transportation Authority,5309,Normandie / Santa Monica Fwy,3,8/14/2024,10,Interstate,-118.30015,34.0368
Los Angeles County Metropolitan Transportation Authority,15029,La General Medical Center Station,3,8/14/2024,10,Interstate,-118.21097,34.055671
Los Angeles County Metropolitan Transportation Authority,3300,Union Station Patsaouras Bus Plaza,3,8/14/2024,10,Interstate,-118.232222,34.053972
Los Angeles County Metropolitan Transportation Authority,3301,Union Station Patsaouras Bus Plaza,3,8/14/2024,10,Interstate,-118.232454,34.053943
Los Angeles County Metropolitan Transportation Authority,5048,La General Medical Center Station,3,8/14/2024,10,Interstate,-118.21099,34.055644
Los Angeles County Metropolitan Transportation Authority,70,El Monte Busway Layover,3,8/14/2024,10,Interstate,-118.237358,34.05449
Los Angeles County Metropolitan Transportation Authority,931,Cal State LA Busway Station,3,8/14/2024,10,Interstate,-118.167989,34.062495
Los Angeles County Metropolitan Transportation Authority,9480,Cal State LA Busway Station,3,8/14/2024,10,Interstate,-118.167993,34.062839
Los Angeles County Metropolitan Transportation Authority,14257,San Pedro / 16th,3,8/14/2024,10,Interstate,-118.255942,34.029636
Los Angeles County Metropolitan Transportation Authority,6535,Terminal 28 - East Lot,3,8/14/2024,10,Interstate,-118.264573,34.033195
Los Angeles County Metropolitan Transportation Authority,17052,National / Robertson,3,8/14/2024,10,Interstate,-118.390624,34.03096
Los Angeles County Metropolitan Transportation Authority,10105,Cal State University / Eastern,3,8/14/2024,10,Interstate,-118.173613,34.061295
Los Angeles County Metropolitan Transportation Authority,3331,Alameda / Arcadia,3,8/14/2024,10,Interstate,-118.237544,34.054888
San Bernardino County Transportation Authority,115,Cal State LA Metrolink Station,2,8/14/2024,10,Interstate,-118.171646,34.062119
Alameda-Contra Costa Transit District,50200,E 14th St & 153rd Av,3,8/14/2024,185,State,-122.1263,37.703826
