Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,route_id,Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Service Type (from Services),Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category
 – ,,,,primary,,,,,,,,,,,,,,,,,,,,
AC Transit – AC Transit Alerts,AC Transit,AC Transit Alerts,GTFS Alerts,precursor,AC,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,GTFS Alerts,NA,,fixed-route,,,,,,,https://api.actransit.org/transit/gtfsrt/alerts?token={{ AC_TRANSIT_API_KEY }},1 checked out of 1,Core
AC Transit – AC Transit Schedule,AC Transit,AC Transit Schedule,GTFS Schedule,precursor,,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,GTFS Schedule,NA,,fixed-route,,,,,MTC,,https://api.actransit.org/transit/gtfs/download?token={{ AC_TRANSIT_API_KEY }},1 checked out of 1,Core
AC Transit – AC Transit TripUpdates,AC Transit,AC Transit TripUpdates,GTFS TripUpdates,precursor,,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,GTFS TripUpdates,NA,,fixed-route,,,,,,,https://api.actransit.org/transit/gtfsrt/tripupdates?token={{ AC_TRANSIT_API_KEY }},1 checked out of 1,Core
AC Transit – AC Transit VehiclePositions,AC Transit,AC Transit VehiclePositions,GTFS VehiclePositions,precursor,,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,GTFS VehiclePositions,NA,,fixed-route,,,,,,,https://api.actransit.org/transit/gtfsrt/vehicles?token={{ AC_TRANSIT_API_KEY }},1 checked out of 1,Core
AC Transit – Bay Area 511 Alerts,AC Transit,Bay Area 511 Alerts,GTFS Alerts,primary,AC,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Alerts,NA,,fixed-route,,,,,,AC Transit – Bay Area 511 Schedule,http://api.511.org/transit/servicealerts?api_key={{ MTC_511_API_KEY}},1 checked out of 1,Core
AC Transit – Bay Area 511 Schedule,AC Transit,Bay Area 511 Schedule,GTFS Schedule,primary,AC,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Provider published,fixed-route,,,,,MTC,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core
AC Transit – Bay Area 511 TripUpdates,AC Transit,Bay Area 511 TripUpdates,GTFS TripUpdates,primary,AC,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS TripUpdates,NA,,fixed-route,,,,,,AC Transit – Bay Area 511 Schedule,http://api.511.org/transit/tripupdates?api_key={{ MTC_511_API_KEY}}&agency=RG,1 checked out of 1,Core
AC Transit – Bay Area 511 VehiclePositions,AC Transit,Bay Area 511 VehiclePositions,GTFS VehiclePositions,primary,AC,,*,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Metropolitan Transportation Commission,,GTFS VehiclePositions,NA,,fixed-route,,,,,,AC Transit – Bay Area 511 Schedule,http://api.511.org/transit/vehiclepositions?api_key={{ MTC_511_API_KEY}}&agency=RG,1 checked out of 1,Core
AC Transit Tempo – AC Transit Schedule,AC Transit Tempo,AC Transit Schedule,GTFS Schedule,precursor,,,1T,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,GTFS Schedule,NA,,fixed-route,,,,,MTC,,https://api.actransit.org/transit/gtfs/download?token={{ AC_TRANSIT_API_KEY }},1 checked out of 1,Core
