Name,Organization Type,Roles,Record Creation Time,NTP ID,ITP ID,OPM_ID_DRMT,DOTId,Brand,Alias',Details,Website,Parent Organization,Administrating Organization,Mobility Services Managed,Missing Static,Funding Sources for Managed Transportation,Mobility Services Operated,GTFS Datasets Produced,Service Type (from Mobility Services Managed),Currently Operating (from Mobility Services Managed),Currently Operating (from Mobility Services Operated),Service Type (from Mobility Services Operated),Headquarters Place,funding programs,Total VOMS (NTD),Service Area Sq Miles (NTD),Service Area Population (NTD),Caltrans District,MPO/RTPA,Planning Authority,Tracking Category,Reporting Category,Assist Category,eligibility programs,gtfs datasets,GTFS Dataset (from Mobility Services Managed),Fare Systems,GTFS Schedule Status,Fares v2 Status,Flex Status,Services Needing Alerts,Services Needing TripUpdates or VehiclePositions,# of Fixed-Route Services,# Services w/ Complete RT Status,# Fixed-Route Services w/ Static GTFS,Complete static GTFS coverage (1=yes),Complete RT coverage,>=1 GTFS feed for any service (1=yes),>= 1 complete RT set (1=yes),Service Availability Category (from Mobility Services Managed),# Fixed-Route or Deviated Fixed-Route Services,# Fixed-Route or Deviated Fixed-Route Service w/ Static GTFS,# Services with Missing Static Feed For Fixed-Route or Deviated Fixed-Route,county geography,county geography 3,GTFS Static Status,GTFS Realtime Status,Service Availability,Service - Component
A-Paratransit,,,9/21/2021 7:51pm,,,,,,,,,,,,,,East Bay Paratransit,,,,1 checked out of 1,ADA paratransit,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,,0,0,0,,,Static OK,RT Incomplete,,
ABC Shuttle,Company,,10/11/2021 9:43pm,,,,,,,Airport Shuttle to/from John Wayne Airport.,http://www.abcshuttleatjohnwayne.com/,,,ABC Airport Shuttle,,private,ABC Airport Shuttle,,on-demand,1 checked out of 1,1 checked out of 1,on-demand,,,,,,,,,,,,,,,,needed,,Needed - Private,ABC Airport Shuttle,ABC Airport Shuttle,0,0,0,1,1,0,0,"Public
",0,0,0,,,Static OK,RT Incomplete,"Public
",
Able Inc.,Non-Profit Organization,,2/7/2022 11:54pm,,,,,,,Job training and skills program in the Central Valley.,https://www.ableinc.org/,,,Able Inc.,,public,Able Inc.,,on-demand,1 checked out of 1,1 checked out of 1,on-demand,Visalia,,,,,,,,,,,,,,,,,,Able Inc.,Able Inc.,0,0,0,1,1,0,0,Conditional,0,0,0,,,Static OK,RT Incomplete,Conditional,
Abrazar Inc.,Non-Profit Organization,,9/27/2021 11:08pm,,,,,,,NGO contracted to provide Senior non-emergency medical transportation.,http://www.abrazarinc.com/snemt-quick.html,,,Abrazar,,public,Abrazar,,NEMT,1 checked out of 1,1 checked out of 1,NEMT,,,,,,,,,,,,,,,,needed,,Needed - Special service,Abrazar,Abrazar,0,0,0,1,1,0,0,Conditional,0,0,0,,,Static OK,RT Incomplete,Conditional,
Access Services,,,7/17/2021 12:45am,90157,1,,,,,,https://accessla.org/,,,LA Access Services,,public,LA Access Services,,ADA paratransit,1 checked out of 1,1 checked out of 1,ADA paratransit,El Monte,,1144,1736,12150996,07 - Los Angeles,Southern California Association of Governments,Southern California Association of Governments,Active,Core,White Glove,LA Access Services Paratransit Eligibility,,,Access Services  ,needed,,Needed - Special service,LA Access Services,LA Access Services,0,0,0,1,1,0,0,Conditional,0,0,0,,,Static OK,RT Incomplete,Conditional,
ACE Parking,,,1/21/2022 1:45am,,,,,,,,,,,,,,Muir Woods Shuttle,,,,1 checked out of 1,fixed-route,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,,0,0,0,,,Static OK,RT Incomplete,,
Active Network,Company,,3/8/2022 8:52pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,,0,0,0,,,Static OK,RT Incomplete,,
AEP Ticketing,Company,,1/27/2022 4:41pm,,,,,,,"Italian Company.

AEP Ticketing Solutions is a market player in automated fare collection systems and related equipment for Public Transport.",https://www.aep-italia.it/en/,Modaxo Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,,0,0,0,,,Static OK,RT Incomplete,,
Age Well Senior Services,Non-Profit Organization,,9/27/2021 11:48pm,,,,,,,,,,,Age Well Senior Services,,public,Age Well Senior Services,,NEMT,1 checked out of 1,1 checked out of 1,NEMT,,,,,,,,,,,,,,,,needed,,Needed - Special service,Age Well Senior Services,Age Well Senior Services,0,0,0,1,1,0,0,Conditional,0,0,0,,,Static OK,RT Incomplete,Conditional,
Alameda Loop Shuttle,,,7/17/2021 12:45am,,,,,,,,,,,,,,,,,,,,,,,,,04 - Oakland,,,,,,,,,,,,,,,0,0,0,1,1,0,0,,0,0,0,,,Static OK,RT Incomplete,,
