organization_name,mobility_service,agency_id,network_id,route_id,category
A-Paratransit,nan,nan,nan,nan,primary
ACE Parking,nan,nan,nan,nan,primary
Active Network,nan,nan,nan,nan,primary
AEP Ticketing,nan,nan,nan,nan,primary
Alameda Loop Shuttle,nan,nan,nan,nan,primary
All Yellow Taxi,nan,nan,nan,nan,primary
Alpine County Local Transportation Commission,nan,nan,nan,nan,primary
Amador County,nan,nan,nan,nan,primary
Amador County Transportation Commission,nan,nan,nan,nan,primary
Ambiance Inc.,nan,nan,nan,nan,primary
"American Logistics Company, LLC",nan,nan,nan,nan,primary
AmericanEagle,nan,nan,nan,nan,primary
Ampla Health,nan,nan,nan,nan,primary
Apple,nan,nan,nan,nan,primary
Area 1 Agency on Aging,nan,nan,nan,nan,primary
ARINC,nan,nan,nan,nan,primary
Association of Monterey Bay Area Governments,nan,nan,nan,nan,primary
Avail Technologies Inc.,nan,nan,nan,nan,primary
Bakersfield Airport Valet Express,nan,nan,nan,nan,primary
Bell Cab Inc.,nan,nan,nan,nan,primary
Beverly Hills Cab,nan,nan,nan,nan,primary
Binary System,nan,nan,nan,nan,primary
Bishop Paiute Tribe,nan,nan,nan,nan,primary
Bishop Peak Technologies,nan,nan,nan,nan,primary
Black Tie Transportation Inc.,nan,nan,nan,nan,primary
BlinkTag,nan,nan,nan,nan,primary
Bombardier,nan,nan,nan,nan,primary
Brookfield Residential,nan,nan,nan,nan,primary
Butte County,nan,nan,nan,nan,primary
Bytemark Inc.,nan,nan,nan,nan,primary
Calaveras Council of Governments,nan,nan,nan,nan,primary
California Department of Transportation,nan,nan,nan,nan,primary
California Integrated Travel Project,nan,nan,nan,nan,primary
California State University San Bernardino,nan,nan,nan,nan,primary
California Vanpool Authority,nan,nan,nan,nan,primary
Castle Rock Associates ,nan,nan,nan,nan,primary
Central Coast Cab Inc.,nan,nan,nan,nan,primary
Centum Adetel,nan,nan,nan,nan,primary
Ceres Area Transit,nan,nan,nan,nan,primary
Chase Inc.,nan,nan,nan,nan,primary
Checker Cab,nan,nan,nan,nan,primary
Chemehuevi Indian Tribe,nan,nan,nan,nan,primary
CHK America,nan,nan,nan,nan,primary
Cittati,nan,nan,nan,nan,primary
City and County Association of Governments of San Mateo County,nan,nan,nan,nan,primary
City Cab Inc.,nan,nan,nan,nan,primary
City of Amador City,nan,nan,nan,nan,primary
City of Angels,nan,nan,nan,nan,primary
City of Arroyo Grande,nan,nan,nan,nan,primary
City of Atherton,nan,nan,nan,nan,primary
City of Bakersfield,nan,nan,nan,nan,primary
City of Biggs,nan,nan,nan,nan,primary
City of Bishop,nan,nan,nan,nan,primary
City of Brisbane,nan,nan,nan,nan,primary
City of Buellton,nan,nan,nan,nan,primary
City of Burlingame,nan,nan,nan,nan,primary
City of Capitola,nan,nan,nan,nan,primary
City of Carlsbad,nan,nan,nan,nan,primary
City of Carmel by the Sea,nan,nan,nan,nan,primary
City of Carpinteria,nan,nan,nan,nan,primary
City of Ceres,nan,nan,nan,nan,primary
City of Chico,nan,nan,nan,nan,primary
City of Chula Vista,nan,nan,nan,nan,primary
City of Claremont,nan,nan,nan,nan,primary
City of Coalinga,nan,nan,nan,nan,primary
City of Colma,nan,nan,nan,nan,primary
City of Coronado,nan,nan,nan,nan,primary
City of Daly City,nan,nan,nan,nan,primary
City of Del Mar,nan,nan,nan,nan,primary
City of Del Rey Oaks,nan,nan,nan,nan,primary
City of Dinuba,nan,nan,nan,nan,primary
City of El Cajon,nan,nan,nan,nan,primary
City of Elk Grove,nan,nan,nan,nan,primary
City of Encinitas,nan,nan,nan,nan,primary
City of Escalon,nan,nan,nan,nan,primary
City of Escondido,nan,nan,nan,nan,primary
City of Exeter,nan,nan,nan,nan,primary
City of Farmersville,nan,nan,nan,nan,primary
