,PREFIX
6140000,2
ACNHPI,2
ACST-ER,233
ACSTP,303
ASCTP,1
ATCMTD,6
ATF5512,2
ATP-CML,2
ATPCML,60
ATPHIPL,1
ATPHSIP,3
ATPL,584
ATPLN,1
ATPLNI,46
ATPLSB1,2
ATPNIL,1
ATPSB1,2
ATPSB1L,15
ATPSTC,1
ATPSTCML,2
ATPSTPL,5
BDGL,1
BGFL,1
BHL,2
BHLO,94
BHLOZ,9
BHLOZD,2
BHLS,258
BHLSCR,4
BHLSP,2
BHLSZ,38
BHLSZD,4
BPMP,298
BPMPL,263
BR,55
BR-,1
BR-NBISL,1
BRCMLO,7
BRHIPL,1
BRIM,4
BRL,2
BRLKS,15
BRLNS,1
BRLO,1390
BRLOZ,11
BRLOZA,2
BRLOZB,16
BRLOZE,14
BRLRT,5
BRLS,904
BRLSN,5
BRLSZ,23
BRLSZA,2
BRLSZD,87
BRLZ,13
BRNBIF,6
BRNBISL,7
BROS,1
BUILDL,5
CASB003,1
CASB05,1
CASB06,9
CASB07,1
CASB09,1
CASB10,1
CASB11,2
CASB12,8
CASB803,1
CASB902,2
CASB904,1
CASB905,1
CASBL,1
CFLBRLO,1
CMAQL,1
CMESPL,1
CMFERP,1
CMFERP16,1
CMHIPL,2
CMHPLU,1
CMHPLULN,4
CMHRL,4
CMHSIPL,4
CML,3290
CMLFSP,7
CMLFSP18,1
CMLFTA,8
CMLG,18
CMLGNI,7
CMLHPL,1
CMLN,70
CMLNGI,2
CMLNI,248
CMLSBCG,1
CMLSTBGL,2
CMRPSTPL,3
CMSTPL,45
CMSTPLN,9
CMSTPLNI,4
CMTCIFL,7
CMTCIFLN,3
CMTLSP,2
CRDL,1
CRP,11
DBF,3
DBPL02,5
DE,3
DEM03L,2
DEM04L,6
DEM05,4
DEM05L,19
DEM05LN,1
DEM05U,3
DEM05UBL,3
DEM06,3
DEM06L,4
DEM06U,4
DEM06UBL,1
DEM08L,16
DEM08S,1
DEM08STP,1
DEM09,3
DEM09L,5
DEM10A,2
DEM10L,10
DEM112L,2
DEM115L,1
DEM117,1
DEM117L,1
DEML02,3
DEMO05,2
DEMO06,4
DEMO10,1
DEMO10L,1
DEMO11,1
DEMO17,1
DEMO17L,2
DEMO5L,3
DEMO6L,4
DPC,1
DPIL,2
DPSLN,2
ER,1566
ESPL,39
ESPLCM,1
ESPLE,8
ESPLEH,1
ESPLER,3
ESPLERP,2
ESPLHP,1
ESPLN,2
ESPLSE,2
ESPLT21,1
ESPSEH,3
FBD,1
FBDLNI,1
FBP,2
FERPL,2
FERPL16,46
FERPL17,4
FERPL18,3
FERPL19,1
FERPLN16,2
FERSTP,3
FERSTPL,5
FSHRP2,5
FSHRP2L,1
FSP11,1
FSP12,1
FSP13,1
FSP14,2
FSPCML,1
FSPCMLNI,3
FTA,20
FTAATP,3
FTAATPL,17
FTACML,320
FTACML14,1
FTACMLNI,5
FTACMLST,2
FTACMSPL,3
FTACMSTPL,7
FTAFBDL,1
FTAFBP,2
FTAFBPL,4
FTAFER16,5
FTAFERPL,5
FTAMCL,1
FTASTCML,8
FTASTP,8
FTASTPCM,6
FTASTPCML,2
FTASTPL,108
FTASTPLR,2
FTCMLNI,2
FTFERPL16,5
GRNHSE,2
HICMSTPL,3
HIP,2
HIPCML,3
HIPL,18
HIPL5,1
HIPLPPSB,1
HIPSTPL,2
HISP5,1
HISPL,2
HP21CM,2
HP21IMD,1
HP21IMDL,1
HP21L,82
HP21LN,5
HP21STP,2
HPBRLS,1
HPLU,38
HPLU21LN,4
HPLUES,2
HPLUL,327
HPLULN,20
HPLUN,4
HPLUNCI,2
HPPLU,3
HRRR,2
HRRRCML,1
HRRRL,263
HSIIPL,3
HSIMG,1
HSIP,29
HSIP5,3
HSIPCML,10
HSIPHR3,5
HSIPL,3245
HSIPLN,37
HSIPRPL,3
HSIPSTP,2
HSIPSTPL,2
HSPIL,2
IM,1
IMD,1
IMDL,9
IMDLN,7
IMDTCIF,1
INFRAL,2
INFRALUL,1
INVEST,2
ISTDEM,1
ISTDEML,5
ITS01,1
ITS03,2
ITS04,1
ITS10,1
ITS13,1
ITS99,3
ITSL,3
LPPRPSB1,2
LPPSB1L,5
LPPSTPL,2
LTAP,12
NCBLN0,1
NCIIPL,42
NCIIPLN,10
NCPD,2
NCPD02,2
NCPDL0,1
NCPDLN,1
NHCBPL,5
NHCBPP,3
NHPI,2
NMPTL,3
NMTPL,18
OJTSS,1
PBICLNI,2
PLHDL05,2
PLHDL06,4
PLHDL08,4
PLHL,2
PLHL04,3
PLHL05,2
PLHL10,3
PLHL11,1
PNRS,3
PNRSCM,5
PNRSCML,5
PNRSHP,2
PNRSL,10
PNRSLN,9
PNRSTCI,8
PNRSTCIL,2
PRNSL,14
PRST-ER,1
RABA01,2
RPCML,2
RPHP21L,2
RPL,2
RPLCML,5
RPMSTP,4
RPMSTPL,1
RPSTCML,3
RPSTP,1
RPSTPL,575
RPSTPL-,1
RPSTPLE,30
RPSTPLE-,1
RPTECM,1
RSTP,4
RSTPL,19
SHRP2L,3
SNPLMA,1
SPOA,3
SPTCSP,3
SPTL,1
SR2SCM,5
SR2SCML,1
SR2SF,2
SR2SL,6
SRTS,11
SRTSL,326
SRTSL-,1
SRTSLN,1
SRTSLNI,83
SRTSNI,1
STBGL,2
STBGSB1L,1
STEAPC,1
STEPCR,3
STHIPCML,2
STIPL,1
STP,7
STPBIPL,6
STPCML,102
STPCMLNI,2
STPE,1
STPESP,4
STPHIPL,20
STPHPL,3
STPHSIP,1
STPHSIPL,1
STPIMDL,2
STPL,2763
STPLCML,3
STPLE,2
STPLEE,1
STPLEH,1
STPLER,24
STPLG,4
STPLH,15
STPLHS,4
STPLHSR,2
STPLN,105
STPLNI,71
STPLNZ,1
STPLP,4
STPLR,29
STPLUL,5
STPLV,1
STPLX,32
STPLZ,174
STPTCIF,4
STPTCIFL,12
TCEPSB1L,6
TCESB1L,3
TCIFCML,3
TCIFESP,1
TCSEL08,1
TCSP,14
TCSP02,2
TCSP03,3
TCSP05,1
TCSP06,2
TCSP08,1
TCSP10,1
TCSPCM,3
TCSPCML,2
