,ct_code,dla_name,data_origin,organization_type
0,6302,Humboldt Bay Harbor Recreation & Conservation District,DLA Locode,
1,6330,Willow Creek Community Services District,DLA Locode,
2,5036,Trinidad,DLA Locode,City/Town
3,5049,Ukiah,DLA Locode,City/Town
4,5082,Willits,DLA Locode,City/Town
5,5396,Rio Dell,DLA Locode,City/Town
6,6114,Redwood Community Action Agency,DLA Locode,
7,5175,Point Arena,DLA Locode,City/Town
8,5914,Lake County,DLA Locode,County
9,6136,Lake County/City Area Planning Council,DLA Locode,
10,5076,Lakeport,DLA Locode,City/Town
11,6241,Mendocino Transit Authority,DLA Locode,
12,5910,Mendocino County,DLA Locode,County
13,6140,Mendocino Council of Governments,DLA Locode,Council of Governments
14,5904,Humboldt County,DLA Locode,County
15,6133,Humboldt County Association of Governments,DLA Locode,
16,6113,Kiwanis Club Of Smith River,DLA Locode,
17,5088,Fort Bragg,DLA Locode,City/Town
18,5145,Fortuna,DLA Locode,City/Town
19,5021,Arcata,DLA Locode,City/Town
20,5190,Blue Lake,DLA Locode,City/Town
21,6201,Caltrans,DLA Locode,
22,5427,Clearlake,DLA Locode,City/Town
23,5013,Crescent City,DLA Locode,City/Town
24,5901,Del Norte County,DLA Locode,County
25,5017,Eureka,DLA Locode,City/Town
26,6063,Eureka Southern Railroad Company-DO NOT USE see 6242,DLA Locode,
27,5097,Ferndale,DLA Locode,City/Town
28,6372,Bear River Band of Rohnerville Rancheria,DLA Locode,
29,6400,Lake County Air Basin,DLA Locode,
30,6428,Redwood Coast Transit Authority,DLA Locode,
31,6436,Lake Transit Authority,DLA Locode,
32,6441,Mendocino Land Trust,DLA Locode,
33,6487,Humboldt County Resource Conservation,DLA Locode,
34,6500,Mendocino County Health and Human Services Agency,DLA Locode,
35,6130,Del Norte County Transportation Commission,DLA Locode,
36,6162,Humboldt Transit Authority,DLA Locode,
37,7502,Hoopa Valley Tribe,DLA Locode,Tribe
38,6301,Lassen County Department of Community Development,DLA Locode,
39,6310,Collier Interpretive and Information Center,DLA Locode,
40,6329,Bureau of Indian Affairs/Susanville Indian Rancheria,DLA Locode,
41,6346,Shasta Land Trust,DLA Locode,
42,5020,Yreka City,DLA Locode,City/Town
43,5116,Susanville,DLA Locode,City/Town
44,5148,Tehama,DLA Locode,City/Town
45,5908,Tehama County,DLA Locode,County
46,5905,Trinity County,DLA Locode,County
47,6153,Trinity County Transportation Commission,DLA Locode,
48,5280,Tulelake,DLA Locode,City/Town
49,5371,Weed,DLA Locode,City/Town
50,5906,Shasta County,DLA Locode,County
51,6093,Shasta County Regional Transportation Planning Agency,DLA Locode,
52,5474,Shasta Lake,DLA Locode,City/Town
53,5902,Siskiyou County,DLA Locode,County
54,6151,Siskiyou County Transportation Commission,DLA Locode,
55,6112,Society Of American Foresters (Wintoon Chapter),DLA Locode,
56,5068,Redding,DLA Locode,City/Town
57,5290,Portola,DLA Locode,City/Town
58,5052,Red Bluff,DLA Locode,City/Town
59,5136,Mt Shasta,DLA Locode,City/Town
60,5909,Plumas County,DLA Locode,County
61,6147,Plumas County Transportation Commission,DLA Locode,
62,5907,Lassen County,DLA Locode,County
63,5903,Modoc County,DLA Locode,County
64,6141,Modoc County Transportation Commission,DLA Locode,
65,5180,Montague,DLA Locode,City/Town
66,5040,Fort Jones,DLA Locode,City/Town
67,6202,Caltrans,DLA Locode,
68,5321,Anderson,DLA Locode,City/Town
69,5161,Corning,DLA Locode,City/Town
70,5054,Etna,DLA Locode,City/Town
71,6388,Western Shasta Resource Conservation District,DLA Locode,
72,6393,Northeast Plateau Air Basin,DLA Locode,
73,6427,Lassen Transit Service Agency,DLA Locode,
74,6477,Mohawk Valley Stewardship Council,DLA Locode,
75,6482,Feather RIvers Land Trust,DLA Locode,
76,5120,Alturas,DLA Locode,City/Town
77,5179,Dorris,DLA Locode,City/Town
78,5183,Dunsmuir,DLA Locode,City/Town
79,6496,Shasta Regional Transportation Agency,DLA Locode,
80,6137,Lassen County Transportation Commission,DLA Locode,
81,6152,Tehama County Transportation Commission,DLA Locode,
82,5260,Isleton,DLA Locode,City/Town
83,6180,Folsom Community Development,DLA Locode,
84,5288,Folsom,DLA Locode,City/Town
85,5293,Galt,DLA Locode,City/Town
86,5077,Auburn,DLA Locode,City/Town
87,5128,Biggs,DLA Locode,City/Town
88,5912,Butte County,DLA Locode,County
89,6092,Butte County Association of Governments,DLA Locode,
90,6203,Caltrans,DLA Locode,
91,6021,Camino Placerville Tahoe Railroad,DLA Locode,
92,6179,American River Land Trust,DLA Locode,
93,5037,Chico,DLA Locode,City/Town
94,5187,Colfax,DLA Locode,City/Town
95,5035,Colusa,DLA Locode,City/Town
96,5915,Colusa County,DLA Locode,County
97,6129,Colusa County Transportation Commission,DLA Locode,
98,5238,Davis,DLA Locode,City/Town
99,5925,El Dorado County,DLA Locode,County
100,6157,El Dorado County Transportation Commission,DLA Locode,
101,6131,El Dorado County Nonurbanized Area,DLA Locode,
102,6225,El Dorado County Transit Authority,DLA Locode,
103,6109,Elk Grove Community Services  Dist,DLA Locode,
104,6370,Sacramento Valley Open Space Conservancy,DLA Locode,
105,6374,Pride Industries/CTSA,DLA Locode,
106,6375,"Gold Country Telecare, Inc",DLA Locode,
107,6377,California High Speed Rail,DLA Locode,
108,6381,Sacramento Employment and Training Agency,DLA Locode,
109,6387,University of California - Davis,DLA Locode,University - Public
110,6390,Placer Land Trust,DLA Locode,
111,5482,Rancho Cordova,DLA Locode,City/Town
112,6450,Truckee Donner Land Trust,DLA Locode,
113,6452,River Partners,DLA Locode,
114,6456,Natomas Unified School District,DLA Locode,
115,6478,Tahoe Transportation District,DLA Locode,
116,5119,Loyalton,DLA Locode,City/Town
117,6483,American Rivers,DLA Locode,
118,6484,South Yuba River Citizens League,DLA Locode,
119,6491,Sacramento Tree Foundation,DLA Locode,
120,6492,Bear Yuba Land Trust,DLA Locode,
121,6498,Capital Southeast Connector,DLA Locode,
122,6501,San Juan Unified School District,DLA Locode,
123,6506,California Tahoe Conservancy,DLA Locode,
124,6304,Arcade Creek Recreation and Park District,DLA Locode,
125,6306,"California State University, Sacramento",DLA Locode,University - Public
126,6309,Bear River Recreation and Park District,DLA Locode,
127,6316,Stone Lakes National Wildlife Refuge,DLA Locode,
128,5479,Elk Grove,DLA Locode,City/Town
129,6348,Butte County Air Quality Management District,DLA Locode,
130,6359,Tahoe Metropolitan Planning Organization,DLA Locode,
131,6256,American River Conservancy,DLA Locode,
132,6258,Feather River Park District,DLA Locode,
133,6271,Golden West Community Services District,DLA Locode,
134,5475,Citrus Heights,DLA Locode,City/Town
135,6275,Lake Tahoe Air Basin,DLA Locode,
136,6279,Arden Manor Recreation and Park District,DLA Locode,
137,6293,do not use see 6309,DLA Locode,
138,5922,Yolo County,DLA Locode,County
139,6195,Yolo County Transportation District,DLA Locode,
140,6224,Yuba-Sutter Transit Authority,DLA Locode,
141,5916,Yuba County,DLA Locode,County
142,5163,Yuba City,DLA Locode,City/Town
143,5918,Sutter County,DLA Locode,County
144,6227,Tahoe City Public Utility District,DLA Locode,
145,6125,Tahoe Regional Planning Agency,DLA Locode,
146,5473,Truckee,DLA Locode,City/Town
147,5447,West Sacramento,DLA Locode,City/Town
148,5048,Wheatland,DLA Locode,City/Town
149,5246,Williams,DLA Locode,City/Town
150,5062,Willows,DLA Locode,City/Town
151,5110,Winters,DLA Locode,City/Town
152,5046,Woodland,DLA Locode,City/Town
153,6230,Sequoya Challenge,DLA Locode,
154,5913,Sierra County,DLA Locode,County
155,6150,Sierra County Transportation Commission,DLA Locode,
156,5398,South Lake Tahoe,DLA Locode,City/Town
157,6168,Southgate Recreation and Park District,DLA Locode,
158,5095,Rocklin,DLA Locode,City/Town
159,5182,Roseville,DLA Locode,City/Town
160,6236,Sacramento Metropolitan Air Quality Management District,DLA Locode,
161,6085,Sacramento Area Council of Governments,DLA Locode,Council of Governments
162,6103,Sacramento Metro Air Basin - OLD,DLA Locode,
163,6228,Sacramento Transportation Authority,DLA Locode,
164,5002,Sacramento,DLA Locode,City/Town
165,5924,Sacramento County,DLA Locode,County
166,6032,Sacramento Northern Railroad,DLA Locode,
167,6005,Sacramento Regional Transit District,DLA Locode,
168,6034,Sacramento Yolo Port District Belt Railroad,DLA Locode,
169,6074,North Highlands Park And Rec. District,DLA Locode,
170,5917,Nevada County,DLA Locode,County
171,5018,Nevada City,DLA Locode,City/Town
172,6144,Nevada County Transportation Commission,DLA Locode,
173,5185,Orland,DLA Locode,City/Town
174,5142,Oroville,DLA Locode,City/Town
175,5425,Paradise,DLA Locode,City/Town
176,5919,Placer County,DLA Locode,County
177,6146,Placer County Nonurbanized Area,DLA Locode,
178,6158,Placer County Transportation Planning Agency,DLA Locode,
179,5015,Placerville,DLA Locode,City/Town
180,5089,Lincoln,DLA Locode,City/Town
181,5297,Live Oak,DLA Locode,City/Town
182,5442,Loomis,DLA Locode,City/Town
183,5009,Marysville,DLA Locode,City/Town
184,5911,Glenn County,DLA Locode,County
185,6132,Glenn County Transportation Commission,DLA Locode,
186,5023,Grass Valley,DLA Locode,City/Town
187,5140,Gridley,DLA Locode,City/Town
188,5057,Berkeley,DLA Locode,City/Town
189,5300,Brentwood,DLA Locode,City/Town
190,5376,Brisbane,DLA Locode,City/Town
191,5171,Burlingame,DLA Locode,City/Town
192,6191,California Wildlife Foundation,DLA Locode,
193,5061,Calistoga,DLA Locode,City/Town
194,6204,Caltrans,DLA Locode,
195,5306,Campbell,DLA Locode,City/Town
196,6002,Alameda - Contra Costa Transit District,DLA Locode,
197,5014,Alameda,DLA Locode,City/Town
198,5933,Alameda County,DLA Locode,County
199,6068,Alameda County Transportation Authority,DLA Locode,
200,5178,Albany,DLA Locode,City/Town
