ntd_id_x,ntd_id_y,agency_name_ntd,name_airtable,doing_business_as,reporter_acronym,organization_type_x,organization_type_y,roles,organization_type_z,reporter_type,city,itp_id,opm_id_drmt,mobility_services_operated,mpo_rtpa,_merge,,,Left only =  NTD,Right Only = Airtable
90157,90157,Access Services  ,Access Services,,,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,El Monte,1,,LA Access Services,Southern California Association of Governments,both,,,,
90014,90014,Alameda-Contra Costa Transit District,Alameda-Contra Costa Transit District,AC Transit,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Oakland,4,401001,"AC Transit,AC Transit Transbay,AC Transit Tempo",Metropolitan Transportation Commission,both,,,,
9R02-91116,9R02-91116,Alpine County Local Transportation Commission,Alpine County Local Transportation Commission,,,"City, County or Local Government Unit or Department of Transportation",,Regional Transportation Planning Agency,,Rural Reporter,Markleeville,,,,,both,,,,
90182,90182,Altamont Corridor Express,San Joaquin Regional Rail Commission,,ACE,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Stockton,10,1039003,Altamont Corridor Express,San Joaquin Council of Governments,both,,,,
9R02-91000,9R02-91000,Amador Regional Transit System,Amador Regional Transit System,,ARTS,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Jackson,11,1003002,"Amador Transit,Amador Transit Dial-A-Ride",,both,,,,
90211,90211,Anaheim Transportation Network,Anaheim Transportation Network,,ATN,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,Anaheim,14,1230016,"Anaheim Resort Transportation,FRAN,Anaheim Transportation Network Paratransit",Southern California Association of Governments,both,,,,
90121,90121,Antelope Valley Transit Authority,Antelope Valley Transit Authority,,AVTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Lancaster,16,719002,"Antelope Valley Dial-A-Ride,Antelope Valley Transportation Authority",Southern California Association of Governments,both,,,,
99268,99268,Bishop Paiute Tribe,Bishop Paiute Tribe,,,Tribe,,,,Reduced Reporter,Bishop,40,,,,both,,,,
99292,99292,Blue Lake Rancheria,Blue Lake Rancheria,,BLRTS,Tribe,Tribe,,,Reduced Reporter,Blue Lake,42,112012,Blue Lake Rancheria,,both,,,,
90208,90208,Butte County Association of Governments,Butte County Association of Governments,,BCAG,"MPO, COG or Other Planning Agency",Joint Powers Agency,"Regional Transportation Planning Agency,Metropolitan Planning Organization,Census Affiliate Data Center,Area Wide Clearinghouse",,Full Reporter,Chico,47,304001,"B-Line,B-Line Paratransit",Butte County Association of Governments,both,,,,
9R02,9R02,California Department of Transportation,California Department of Transportation,,Caltrans,,,,,State Reporter,Sacramento,,,,,both,,,,
90230,90230,California Vanpool Authority,California Vanpool Authority,CalVans,,"City, County or Local Government Unit or Department of Transportation",,,,Full Reporter,Hanford,53,,,,both,,,,
99316,99316,Chemehuevi Indian Tribe,Chemehuevi Indian Tribe,,CTA,Tribe,,,,Reduced Reporter,Havasu Lake,64,,,,both,,,,
90015,90015,City and County of San Francisco,City and County of San Francisco,San Francisco Municipal Transportation Agency (MUNI),SFMTA,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Full Reporter,San Francisco,282,438003,"Muni Metro,SF Access Van,Muni Bus,San Francisco Cable Cars,Market Street Historic Railway",Metropolitan Transportation Commission,both,,,,
90246,90246,City of Agoura Hills,City of Agoura Hills,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Agoura Hills,2,,Agoura Hills Dial-A-Ride ,Southern California Association of Governments,both,,,,
90247,90247,City of Alhambra,City of Alhambra,,ALH,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Alhambra,6,,"Alhambra Community Transit,Alhambra Senior Ride",Southern California Association of Governments,both,,,,
