Award_Year,Award_Recipient,Implementing_Agency,Allocation_Allocation_Sheet,GGRF_Funding,Phase,Components,PTA-SB1 Allocation Amount,PPNO,Allocation_Date,Third_Party_Award_Date,Completion_Date,Phase_Completion_Date,Project_#,Project_Title,TIRCP_Award_Amount,Expended_Amount,Allocation_Amount_PROJECT,Allocated_Before_July_2020,Percent_of_Allocation_Expended,Percent_of_Award_Fully_Allocated
2015,Antelope Valley Transit Authority ,Antelope Valley Transit Authority ,24403000.0,24403000.0,CONST,Purchase 13 60-foot articulated BRT buses and 16 45-foot electric commuter buses,0.0,CP005,2015-10-22,2016-03-14,2022-03-30,2022-03-31,1.0,Regional Transit Interconnectivity & Environmental Sustability,24403000.0,21714177.53,24403000.0,1,0.889815905011679,1.0
2015,Capitol Corridor Joint Powers Authority,Capitol Corridor Joint Powers Authority,4620000.0,4620000.0,CONST,Track and curve improvements between San Jose and Martinez for faster journeys benefiting Capitol Corridor passengers,0.0,CP012,2016-05-19,2016-06-01,2019-06-01,2019-06-01,2.0,Travel Time Reduction Project,4620000.0,4619999.9,4620000.0,1,0.9999999783549784,1.0
2015,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,38494000.0,38494000.0,CONST,"Replace Blue Line signal system; install new track crossovers, new train controls at 15 locations, new LED signals and power switches, 19 turnouts, new track, overhead catenary, and a communications upgrade.",0.0,CP015,2016-06-30,2017-06-28,2021-06-30,2020-06-28,3.0,Willowbrook/Rosa Parks Station & Blue Line Light Rail Operational Improvements Project,38494000.0,38494000.0,38494000.0,1,1.0,1.0
2015,Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),Los Angeles-San Diego-San Luis Obispo Rail Corridor Agency (LOSSAN),1675000.0,1675000.0,CONST,LOSSAN and 12 transit agencies from San Luis Obispo to San Diego counties to use seamless ticketing to increase use of transit,0.0,CP007,2015-12-10,2016-06-01,2021-06-30,2021-06-30,4.0,Pacific Surfliner Transit Transfer Program,1675000.0,277840.47000000003,1675000.0,1,0.16587490746268657,1.0
2015,Monterey-Salinas Transit,Monterey-Salinas Transit,10000000.0,10000000.0,CONST,Renovation and expansion of the Monterey maintenance and operations facility.,0.0,CP013,2016-05-19,2016-11-03,2018-09-30,2019-11-03,5.0,Monterey Bay Operations and Maintenance Facility/Salinas Transit Service Project,10000000.0,0.0,10000000.0,1,0.0,1.0
2015,Orange County Transportation Authority (OCTA),Orange County Transportation Authority (OCTA),2320000.0,2320000.0,CONST,Purchase five 40-foot CNG buses for BRT Route linking SARTC to Metrolink/Amtrak,0.0,CP004,2015-10-22,2015-11-30,2018-02-11,2018-11-30,6.0,Bravo! Route 560 Rapid Buses,2320000.0,0.0,2320000.0,1,0.0,1.0
2015,Sacramento Regional Transit District,Sacramento Regional Transit District,6427000.0,6427000.0,CONST,Refurbishment of Seven UTDC Light Rail Vehicles Used Throughout the System,0.0,CP001,2015-08-27,2015-10-21,2020-06-30,2020-06-30,7.0,Sacramento Regional Transit's Refurbishment of 7 Light Rail Vehicles,6427000.0,0.0,6427000.0,1,0.0,1.0
2015,San Diego Association of Governments (SANDAG),San Diego Association of Governments (SANDAG),4000000.0,4000000.0,CONST,Bus Rapid Transit Route between Downtown San Diego and the Otay Mesa Crossing,0.0,CP003,2015-08-27,2016-01-08,2020-09-30,2019-01-08,8.0,South Bay Bus Rapid Transit,4000000.0,4000000.0,4000000.0,1,1.0,1.0
2015,San Diego Metropolitan Transit System (MTS),San Diego Metropolitan Transit System (MTS),713000.0,713000.0,PS&E,Courthouse Trolley Station (Design),0.0,CP008,2016-01-21,,2018-06-30,2018-06-30,9.0,San Diego Metropolitan Transit System Trolley Capacity Improvements,31986000.0,28176000.0,31936000.0,1,0.8822645290581163,0.9984368161070468
2015,San Diego Metropolitan Transit System (MTS),San Diego Metropolitan Transit System (MTS),3760000.0,3760000.0,CONST,Courthouse Trolley Station (Construction),0.0,CP008,2017-06-29,2017-05-30,2020-06-29,2020-06-29,9.0,San Diego Metropolitan Transit System Trolley Capacity Improvements,31986000.0,28176000.0,31936000.0,1,0.8822645290581163,0.9984368161070468
