Bus,deviceSerialNumber
3901,7805858
3902,7805811
3904,7805807
3905,7805842
3906,7805838
3908,7805862
3909,7805861
3910,7805850
3911,7805844
3912,7805822
3913,7805845
3914,7805854
3915,7805852
3916,7805825
3917,7805835
3920,7805829
4100,7805805
4502,7805848
4503,7805814
5051,7805812
5054,7805853
5055,7805806
5056,7805832
5057,7805821
5059,7805816
5102,7805839
5103,7805837
5104,7805851
5105,7805818
5106,7805824
5109,7805831
5111,7805859
5112,7805836
5113,7805846
5116,7805823
5117,7805869
5118,7805873
5119,7805870
5120,7805872
5121,7805871
