deviceSerialNumber,MODELID,Bus,PLACEID,LOCATIONNAME,SUBLOCATION,INSTALLDATE,DEINSTALLDATE,DEVICE_ID_HEX
6361101,CID1B,4412,SOL4412,SOL,NSL-SOL-TDS-001 ,5/14/2014 17:59,3/14/2018 0:00,61100D    
6361101,CID1B,5112,SOL5112,SOL,NSL-SOL-TDS-001,1/23/2019 20:44,4/30/2021 0:00,61100D    
6361142,CID1B,5012,SOL5012,SOL,NSL-SOL-TDS-001 ,5/14/2014 18:22,5/13/2015 8:00,611036
6361157,CID1B,5026,SOL5026,SOL,NSL-SOL-TDS-001 ,10/1/2014 23:11,5/14/2015 8:00,611045
6361161,CID1B     ,5112,SOL5112,SOL,NSL-SOL-TDS-001,3/30/2021 0:00,9/1/2023 0:00,611049
6361174,CID1B,3915,SOL3915,SOL,NSL-SOL-TDS-001 ,5/14/2014 18:06,9/1/2023 0:00,611056
6361337,CID1B,4503,SOL4503,SOL,NSL-SOL-TDS-001,2/10/2020 2:00,9/1/2023 0:00,6110F9    
6361385,CID1B,5021,SOL5021,SOL,NSL-SOL-TDS-001 ,5/2/2014 21:47,1/16/2018 16:55,611129
6361385,CID1B,5109,SOL5109,SOL,NSL-SOL-TDS-001,1/16/2018 16:55,9/1/2023 0:00,611129
6361430,CID1B,3902,SOL3902,SOL,NSL-SOL-TDS-001 ,10/8/2014 20:51,9/1/2023 0:00,611156
6361431,CID1B,5009,SOL5009,SOL,NSL-SOL-TDS-001 ,5/2/2014 21:30,9/1/2023 0:00,611157
6361481,CID1B,3920,SOL3920,SOL,NSL-SOL-TDS-001,7/2/2016 0:00,3/1/2019 16:51,611189
6361546,CID1B,3911,SOL3911,SOL,NSL-SOL-TDS-001 ,4/18/2014 18:28,9/1/2023 0:00,6111CA    
6361572,CID1B     ,3910,SOL3910,SOL,NSL-SOL-TDS-001,1/25/2021 0:00,9/1/2023 0:00,6.11E+07
6361682,CID1B,5057,SOL5057,SOL,NSL-SOL-TDS-001,3/20/2023 8:00,9/1/2023 0:00,611252
6361731,CID1B,3917,SOL3917,SOL,NSL-SOL-TDS-001 ,4/18/2014 18:36,12/12/2016 8:00,611283
6365303,CID1B,3919,SOL3919,SOL,NSL-SOL-TDS-001 ,4/18/2014 18:30,9/1/2023 0:00,612077
6365344,CID1B,3907,SOL3907,SOL,NSL-SOL-TDS-001,11/6/2018 0:57,9/1/2023 0:00,6120A0    
6365350,CID1B,5025,SOL5025,SOL,NSL-SOL-TDS-001 ,4/10/2014 21:15,12/27/2018 13:13,6120A6    
6365350,CID1B,5113,SOL5113,SOL,NSL-SOL-TDS-001,1/28/2019 13:31,9/1/2023 0:00,6120A6    
6365362,CID1B,3913,SOL3913,SOL,NSL-SOL-TDS-001 ,12/8/2014 18:26,9/1/2023 0:00,6120b2    
6365381,CID1B,3918,SOL3918,SOL,NSL-SOL-TDS-001 ,4/25/2014 20:08,9/1/2023 0:00,6120C5    
6365395,CID1B,5053,SOL5053,SOL,NSL-SOL-TDS-001,3/23/2022 23:38,9/1/2023 0:00,6120D3    
6365396,CID1B,5054,SOL5054,SOL,NSL-SOL-TDS-001,3/23/2022 23:39,9/1/2023 0:00,6120D4    
6365422,CID1B,3902,SOL3902,SOL,NSL-SOL-TDS-001,4/10/2014 21:05,10/8/2014 20:51,6120EE    
6365550,CID1B,5035,SOL5035,SOL,NSL-SOL-TDS-001,5/14/2014 18:03,10/30/2014 13:19,61216E    
