"route_type","_header_message_age","_vehicle_message_age"
"3",205921,205994
"3",206001,206074
"3",206601,206707
"3",206961,207067
"3",208181,208260
"3",208221,208324
"3",208221,208304
"3",223341,223423
"3",223621,223683
"3",223841,223947
"3",224941,225014
"3",225321,225400
"3",225901,225982
"3",190741,190803
"3",191061,191150
"3",191721,191800
"3",191861,191950
"3",192601,192687
"3",192921,193007
"3",194241,194321
"3",227321,227404
"3",228961,229044
"3",229081,229161
"3",229461,229523
"3",30,31
"3",25,48
"3",540,545
"3",1160,1166
"3",194661,194734
"3",194801,194874
"3",196141,196221
"3",196921,197003
"3",-6,1454
"3",216681,216761
"3",218381,218470
"3",218481,218562
"3",237581,237654
"3",238321,238427
"3",238581,238649
"3",239061,239147
"3",239881,239943
"3",240801,240873
"3",212541,212621
"3",212841,212944
"3",213201,213304
"3",215301,215366
"3",215321,215386
"3",215721,215807
"3",251621,251710
"3",262721,262824
"3",262981,263061
"3",263981,264049
"3",264041,264113
"3",264581,264661
"3",266181,266260
"3",202261,202340
"3",203001,203066
"3",204621,204707
"3",234281,234361
"3",235221,235324
"3",235781,235861
"3",235961,236044
"3",236721,236803
"3",236741,236821
"3",245401,245507
"3",246881,246960
"3",247081,247170
"3",247161,247223
"3",247821,247901
"3",247881,247954
"3",247901,247966
"3",29,2748
"3",198301,198373
"3",198441,198513
"3",198561,198641
"3",199461,199543
"3",199601,199683
"3",200001,200090
"3",256001,256080
"3",257001,257087
"3",258741,258813
"3",258801,258907
"3",259061,259141
"3",220061,220129
"3",220361,220423
"3",221421,221493
"3",221581,221670
"3",222101,222174
"3",222301,222380
"3",222461,222529
"3",222681,222760
"3",266681,266746
"3",252801,252881
"3",253401,253480
"3",253801,253887
"3",254321,254393
"3",255041,255127
"3",25,100
"3",259761,259842
"3",261961,262043
"3",262101,262181
"3",262581,262643
"3",-7,51
"3",-7,5
"3",208941,209030
"3",211181,211243
"3",212121,212189
"3",24,132
"3",273521,273594
"3",274021,274104
"3",274741,274823
"3",275241,275320
"3",275301,275373
"3",8,647
"3",241941,242044
"3",242041,242147
"3",242201,242273
"3",242481,242563
"3",242921,243001
"3",243941,244024
"3",244241,244306
"3",244661,244742
"3",17,353
"3",47,62
"3",67,74
"3",247,275
"3",1407,1438
"3",2047,2087
"3",2127,2144
"3",2727,2744
"0",6,17
