"time_of_message","_header_message_age","_vehicle_message_age","_vehicle_message_age_vs_header","median_vehicle_message_age"
"Before scheduled trip start time",-14,12,26,8038
"Before scheduled trip start time",22,33,11,8038
"Before scheduled trip start time",28,40,12,8038
"Before scheduled trip start time",22,29,7,8038
"Before scheduled trip start time",22,1789,1767,8038
"Before scheduled trip start time",-30,273,303,8038
"Before scheduled trip start time",26,29,3,8038
"Before scheduled trip start time",26,213,187,8038
"Before scheduled trip start time",29,35,6,8038
"Before scheduled trip start time",26,81,55,8038
"Before scheduled trip start time",8,39,31,8038
"Before scheduled trip start time",-16,8,24,8038
"Before scheduled trip start time",-20,20,40,8038
"Before scheduled trip start time",-22,-12,10,8038
"Before scheduled trip start time",-18,18,36,8038
"Before scheduled trip start time",8,152,144,8038
"Before scheduled trip start time",-22,9,31,8038
"Before scheduled trip start time",-28,389,417,8038
"Before scheduled trip start time",-20,-11,9,8038
"Before scheduled trip start time",-21,-10,11,8038
"Before scheduled trip start time",27,45,18,8038
"Before scheduled trip start time",27,47,20,8038
"Before scheduled trip start time",-21,54,75,8038
"Before scheduled trip start time",8,16,8,8038
"Before scheduled trip start time",19,56,37,8038
"Before scheduled trip start time",26,74,48,8038
"Before scheduled trip start time",-25,349,374,8038
"Before scheduled trip start time",21,55,34,8038
"Before scheduled trip start time",17,85,68,8038
"Before scheduled trip start time",-14,32,46,8038
"Before scheduled trip start time",19,80,61,8038
"Before scheduled trip start time",18,24,6,8038
"Before scheduled trip start time",-25,2,27,8038
"Before scheduled trip start time",16,41,25,8038
"Before scheduled trip start time",17,72,55,8038
"Before scheduled trip start time",28,56,28,8038
"Before scheduled trip start time",-13,9,22,8038
"Before scheduled trip start time",-23,-7,16,8038
"Before scheduled trip start time",-20,-10,10,8038
"Before scheduled trip start time",63,63,0,8038
"Before scheduled trip start time",27,58,31,8038
"Before scheduled trip start time",-13,20,33,8038
"Before scheduled trip start time",17,46,29,8038
"Before scheduled trip start time",17,45,28,8038
"Before scheduled trip start time",-20,9,29,8038
"Before scheduled trip start time",-17,18,35,8038
"Before scheduled trip start time",-29,233,262,8038
"Before scheduled trip start time",-21,-7,14,8038
"Before scheduled trip start time",-16,26,42,8038
"Before scheduled trip start time",-30,-9,21,8038
"Before scheduled trip start time",8,21,13,8038
"Before scheduled trip start time",16,27,11,8038
"Before scheduled trip start time",27,30,3,8038
"Before scheduled trip start time",27,29,2,8038
"Before scheduled trip start time",-17,13,30,8038
"Before scheduled trip start time",26,73,47,8038
"Before scheduled trip start time",-14,19,33,8038
"Before scheduled trip start time",22,25329,25307,8038
"Before scheduled trip start time",-20,-9,11,8038
"Before scheduled trip start time",17,30,13,8038
"Before scheduled trip start time",16,39,23,8038
"Before scheduled trip start time",19,59,40,8038
"Before scheduled trip start time",16,16,0,8038
"Before scheduled trip start time",-14,16,30,8038
"Before scheduled trip start time",41,25513,25472,8038
"Before scheduled trip start time",27,60,33,8038
"Before scheduled trip start time",26,197,171,8038
"Before scheduled trip start time",21,26,5,8038
"Before scheduled trip start time",21,38,17,8038
"Before scheduled trip start time",21,51,30,8038
"Before scheduled trip start time",-21,-3,18,8038
"Before scheduled trip start time",-16,15,31,8038
"Before scheduled trip start time",-15,21,36,8038
"Before scheduled trip start time",40,25493,25453,8038
"Before scheduled trip start time",19,125,106,8038
"Before scheduled trip start time",-13,4,17,8038
"Before scheduled trip start time",26,79,53,8038
"Before scheduled trip start time",-15,-13,2,8038
"Before scheduled trip start time",-26,-18,8,8038
"Before scheduled trip start time",-14,39,53,8038
"Before scheduled trip start time",-16,-7,9,8038
"Before scheduled trip start time",28,99,71,8038
"Before scheduled trip start time",29,49,20,8038
"Before scheduled trip start time",-16,13,29,8038
"Before scheduled trip start time",-22,12,34,8038
"Before scheduled trip start time",-21,-1,20,8038
"Before scheduled trip start time",-14,89,103,8038
"Before scheduled trip start time",-30,213,243,8038
"Before scheduled trip start time",-15,41,56,8038
"Before scheduled trip start time",22,27,5,8038
"Before scheduled trip start time",19,76,57,8038
"Before scheduled trip start time",22,83,61,8038
"Before scheduled trip start time",-19,0,19,8038
"Before scheduled trip start time",-14,-1,13,8038
"Before scheduled trip start time",-14,-11,3,8038
"Before scheduled trip start time",8,28,20,8038
"Before scheduled trip start time",-13,NA,NA,8038
"Before scheduled trip start time",-13,29,42,8038
"Before scheduled trip start time",27,54,27,8038
"Before scheduled trip start time",27,39,12,8038
"Before scheduled trip start time",21,73,52,8038
"Before scheduled trip start time",19,38,19,8038
"Before scheduled trip start time",27,71,44,8038
"Before scheduled trip start time",27,78,51,8038
"Before scheduled trip start time",18,38,20,8038
"Before scheduled trip start time",-15,NA,NA,8038
