"dt_pacific","time_of_day","median_vehicle_message_age"
2024-06-09,"AM Peak",219
2024-06-09,"Evening",7363
2024-06-09,"Midday",248
2024-06-09,"PM Peak",252
2024-06-10,"AM Peak",358
2024-06-10,"Evening",1649
2024-06-10,"Midday",652
2024-06-10,"PM Peak",509.5
2024-06-11,"AM Peak",415
2024-06-11,"Evening",1300
2024-06-11,"Midday",523
2024-06-11,"PM Peak",445
2024-06-12,"AM Peak",391
2024-06-12,"Evening",1465
2024-06-12,"Midday",510.5
2024-06-12,"PM Peak",359
2024-06-13,"AM Peak",376
2024-06-13,"Evening",272
2024-06-13,"Midday",516
2024-06-13,"PM Peak",425
2024-06-14,"AM Peak",182
2024-06-14,"Evening",278
2024-06-14,"Midday",279
2024-06-14,"PM Peak",236
2024-06-15,"AM Peak",156
2024-06-15,"Evening",142
2024-06-15,"Midday",218
2024-06-15,"PM Peak",189
