"hour_pacific","Max","Average"
00:00:00,656080,30720.2945736434
00:00:20,656100,30030.946969697
00:00:40,656120,31368.92
00:01:00,656140,28114.5602836879
00:01:20,656160,29367.2740740741
00:01:40,656180,33040.7416666667
00:02:00,656200,27714.2916666667
00:02:20,656220,26971.8986486487
00:02:40,656240,29355.2058823529
00:03:00,656260,26991.6802721088
00:03:20,656280,28341.4928571429
00:03:40,656300,28548.5827338129
00:04:00,656320,28110.2307692308
00:04:20,656340,30003.5970149254
00:04:40,656360,28120.3356643357
00:05:00,656380,28344.475177305
00:05:20,656400,28145.5563380282
00:05:40,656420,30734.2153846154
00:06:00,656440,32424.9435483871
00:06:20,656460,35278.3947368421
00:06:40,656480,31667.7401574803
00:07:00,656500,30739.8615384615
00:07:20,656520,31472.7637795276
00:07:40,656540,32765.5081967213
00:08:00,656560,33252.6280991735
00:08:20,656580,29590.3382352941
00:08:40,656600,32458.9274193548
00:09:00,656620,35081.0614035088
00:09:20,656640,34776.8869565217
00:09:40,656660,33614.0336134454
00:10:00,656680,32526.3333333333
00:10:20,656700,34492.3448275862
00:10:40,656720,35415.5840707965
00:11:00,656740,33011.2459016393
00:11:20,656760,35021.1304347826
00:11:40,656780,35334.5701754386
00:12:00,656800,33645.1260504202
00:12:20,656820,36400.6636363636
00:12:40,656840,32045.184
00:13:00,656860,31987.1666666667
00:13:20,656880,33309.6280991736
00:13:40,656900,35358.8421052632
00:14:00,656920,31254.5813953488
00:14:20,656940,33330.1074380165
00:14:40,656960,34178.4745762712
00:15:00,656980,33681.0420168067
00:15:20,657000,34553.6551724138
00:15:40,657020,37462.570093458
00:16:00,657040,37012.1559633027
00:16:20,657060,38426.619047619
00:16:40,657080,37364.4907407407
00:17:00,657100,38927.3689320388
00:17:20,657120,38189.9714285715
00:17:40,657140,35494.9026548673
00:18:00,657160,40922.9387755102
00:18:20,657180,36136.7387387387
00:18:40,657200,35434.1607142857
00:19:00,657220,32822.6991869919
00:19:20,657240,35111.5565217391
00:19:40,657260,37392.3055555556
00:20:00,657280,36160
00:20:20,657300,35842.9017857143
00:20:40,657320,36498.4818181818
