"dt_pacific","hour_pacific","Max","Average"
2024-06-09,00:00:00,460459,13805.6363636364
2024-06-09,00:00:20,460479,12344.6910569106
2024-06-09,00:00:40,460499,12448.5327868853
2024-06-09,00:01:00,460519,12760.512605042
2024-06-09,00:01:20,460539,12153.04
2024-06-09,00:01:40,460559,13565.1517857143
2024-06-09,00:02:00,460579,13215.8086956522
2024-06-09,00:02:20,460599,12457.262295082
2024-06-09,00:02:40,460619,12879.1101694915
2024-06-09,00:03:00,460639,13217.2782608696
2024-06-09,00:03:20,460659,12782.5966386555
2024-06-09,00:03:40,460679,12778.4033613445
2024-06-09,00:04:00,460699,14469.9904761905
2024-06-09,00:04:20,460719,14342.5471698113
2024-06-09,00:04:40,460739,14903.7254901961
2024-06-09,00:05:00,460759,13948.6972477064
2024-06-09,00:05:20,460779,13344.4561403509
2024-06-09,00:05:40,460799,14911.6568627451
2024-06-09,00:06:00,460819,13588.4375
2024-06-09,00:06:20,460839,14917.6470588235
2024-06-09,00:06:40,460859,14634.5865384615
2024-06-09,00:07:00,460879,14909.6176470588
2024-06-09,00:07:20,460899,14360.0566037736
2024-06-09,00:07:40,460919,16187.9893617021
2024-06-09,00:08:00,460939,14220.4018691589
2024-06-09,00:08:20,460959,16369.1290322581
2024-06-09,00:08:40,460979,15854.3020833333
2024-06-09,00:09:00,460999,15072.0594059406
2024-06-09,00:09:20,461019,14917.5980392157
2024-06-09,00:09:40,461039,15370.0202020202
2024-06-09,00:10:00,461059,16371.3440860215
2024-06-09,00:10:20,461079,14507.7904761905
2024-06-09,00:10:40,461099,14940.8333333333
2024-06-09,00:11:00,461119,16384.4731182796
2024-06-09,00:11:20,461139,15246.02
2024-06-09,00:11:40,461159,16030.0319148936
2024-06-09,00:12:00,461179,14519.3428571429
2024-06-09,00:12:20,461199,14387.4622641509
2024-06-09,00:12:40,461219,15772.3033707865
2024-06-09,00:13:00,461239,15705.7319587629
2024-06-09,00:13:20,461259,16386.8817204301
2024-06-09,00:13:40,461279,16567.1086956522
2024-06-09,00:14:00,461299,16049.0842105263
2024-06-09,00:14:20,461319,16758.010989011
2024-06-09,00:14:40,461339,16766.2307692308
2024-06-09,00:15:00,461359,15563.9897959184
2024-06-09,00:15:20,461379,15413.3939393939
2024-06-09,00:15:40,461399,14263.0373831776
2024-06-09,00:16:00,461419,15571.9081632653
2024-06-09,00:16:20,461439,15737.0515463918
2024-06-09,00:16:40,461459,16776.032967033
2024-06-09,00:17:00,461479,17349.6477272727
2024-06-09,00:17:20,461499,17159.5056179775
2024-06-09,00:17:40,461519,18400.2891566265
2024-06-09,00:18:00,461539,16431.1505376344
2024-06-09,00:18:20,461559,17366.0681818182
2024-06-09,00:18:40,461579,15280.77
2024-06-09,00:19:00,461599,15920.09375
2024-06-09,00:19:20,461619,15928.8958333333
2024-06-09,00:19:40,461639,16977.1444444444
2024-06-09,00:20:00,461659,17366.4886363636
2024-06-09,00:20:20,461679,15289.28
2024-06-09,00:20:40,461699,16986.9666666667
2024-06-09,00:21:00,461719,16093.2105263158
