"organization_name","gtfs_dataset_name"
"GMV Syncromatics Inc","PresidiGo VehiclePositions"
"Swiftly Inc.","Mendocino Vehicle Positions"
"Swiftly Inc.","San Joaquin Vehicle Positions"
"TripShot Inc.","Santa Maria Vehicle Positions"
"GMV Syncromatics Inc","Victor Valley Vehicle Position"
"Cubic","eTrans VehiclePositions"
"Swiftly Inc.","LA Metro Bus Vehicle Positions"
"GMV Syncromatics Inc","Visalia VehiclePositions"
"Avail Technologies Inc.","Foothill Vehicle Positions"
"TripSpark","B-Line Vehicle Positions"
"City of Montebello","Montebello Vehicle Positions"
"Cubic","Unitrans Vehicle Positions"
"GMV Syncromatics Inc","VCTC Vehicle Positions"
"TripShot Inc.","BruinBus Vehicle Positions"
"Mountain Area Regional Transit Authority","Mountain Transit GMV VehiclePositions"
"City of Los Angeles","LA DOT VehiclePositions"
"Cubic","Bear Vehicle Positions"
"Santa Barbara Metropolitan Transit District","SBMTD VehiclePositions"
"City of Santa Clarita","Santa Clarita VehiclePositions"
"Swiftly Inc.","Banning Pass Vehicle Positions"
"Swiftly Inc.","Eastern Sierra Vehicle Positions"
"Anaheim Transportation Network","Anaheim Resort VehiclePositions"
"City of Fresno","Fresno Vehicle Positions"
"City of Gardena","G Trans Vehicle Positions"
"Cubic","OmniTrans Vehicle Positions"
"Southern California Regional Rail Authority","Metrolink VehiclePositions"
"City of Burbank","Burbank VehiclePositions"
"California Integrated Travel Project","Santa Ynez Vehicle Positions"
"Clever Devices Ltd.","Santa Cruz Vehicle Positions"
"Connexionz Inc.","Kings Vehicle Positions"
"GMV Syncromatics Inc","Tahoe Transportation District GMV VehiclePositions"
"Swiftly Inc.","Redding Vehicle Positions"
"Antelope Valley Transit Authority","Antelope Valley Transit Authority Vehicle Positions"
"Golden Empire Transit District","GET VehiclePositions"
"TripShot Inc.","Emery Go-Round TripShot Vehicle Positions"
"Swiftly Inc.","LA Metro Rail Vehicle Positions"
"Swiftly Inc.","Beaumont Pass Vehicle Positions"
"Avail Technologies Inc.","Norwalk Vehicle Positions"
"Swiftly Inc.","Redwood Coast Vehicle Positions"
"Yolo County Transportation District","Yolobus Vehicle Positions"
"Swiftly Inc.","Madera County Connection Vehicle Positions"
"GMV Syncromatics Inc","Lawndale Beat Vehicle Positions"
"GMV Syncromatics Inc","Elk Grove VehiclePositions"
"Swiftly Inc.","Lake Vehicle Positions"
"San Diego Metropolitan Transit System","San Diego Vehicle Positions"
"Sacramento Regional Transit District","Sacramento Vehicle Positions"
"City of Redondo Beach","Beach Cities VehiclePositions"
"Swiftly Inc.","Nevada County Vehicle Positions"
"Swiftly Inc.","Turlock Vehicle Positions"
"San Luis Obispo Regional Transit Authority","SLORTA VehiclePositions"
"Passio Technologies","Irvine CONNECT Vehicle Positions"
"Swiftly Inc.","Torrance Swiftly Vehicle Positions"
"Stanislaus Regional Transit Authority","StanRTA Vehicle Positions"
"City of Culver City","Culver City VehiclePositions"
"City of Pasadena","Pasadena VehiclePositions"
"Long Beach Transit","Long Beach VehiclePositions"
"Monterey-Salinas Transit","Monterey Salinas VehiclePositions"
"Swiftly Inc.","OCTA VehiclePositions"
"TripShot Inc.","TCRTA Vehicle Positions"
"Avail Technologies Inc.","SunLine Vehicle Positions"
"Los Angeles County Metropolitan Transportation Authority","Arcadia VehiclePositions"
"City of Monterey Park","Spirit Bus Passio Vehicle Positions"
"Swiftly Inc.","Humboldt Vehicle Positions"
"City of Commerce","Commerce VehiclePositions"
"City of Santa Monica","Big Blue Bus VehiclePositions"
"Palo Verde Valley Transit Agency","Desert Roadrunner Vehicle Positions"
"Cubic","WeHo Vehicle Positions"
"Passio Technologies","Rosemead Passio Vehicle Positions"
"Swiftly Inc.","North County Vehicle Positions"
"Riverside Transit Agency","Riverside VehiclePositions"
