"organization_name","median_vehicle_message_age"
"TripShot Inc.",2.5
"City of Culver City",19
"Stanislaus Regional Transit Authority",30
"City of Gardena",34
"Clever Devices Ltd.",49
"Antelope Valley Transit Authority",56
"Mountain Area Regional Transit Authority",61
"Avail Technologies Inc.",70
"Riverside Transit Agency",71
"TripSpark",87
"Yolo County Transportation District",89
"Santa Barbara Metropolitan Transit District",91
"Connexionz Inc.",107.5
"Golden Empire Transit District",112
"Sacramento Regional Transit District",119
"Monterey-Salinas Transit",125
"Passio Technologies",128
"City of Montebello",131
"Los Angeles County Metropolitan Transportation Authority",133
"San Diego Metropolitan Transit System",137
"Long Beach Transit",139
"City of Pasadena",158
"City of Monterey Park",162
"City of Fresno",172.5
"San Luis Obispo Regional Transit Authority",284
"Cubic",352
"City of Santa Clarita",471
"California Integrated Travel Project",472
"City of Burbank",943
"City of Redondo Beach",2266.5
"City of Los Angeles",4120
"GMV Syncromatics Inc",9368
"Southern California Regional Rail Authority",25422
"Palo Verde Valley Transit Agency",66997
"Swiftly Inc.",230043
