Transit Provider,ITP_ID,NTD ID,Modes,Caltrans District,Service Area Density,Service Area Population,UPT 2019,Agency VOMS 2019,Fare Revenue 2019,City,County,URL
Access Services  ,1,90157,"DT,DR",07 - Los Angeles,Urban,"11,638,106","4,458,330","1,221","$10,180,984",El Monte,Los Angeles,http://accessla.org/home/
Agoura Hills Dial-A-Ride ,2,90246,DR,07 - Los Angeles,Rural,"20,330","8,231",3,"$18,713",Agoura Hills,Los Angeles,http://www.ci.agoura-hills.ca.us/our-city/visitors/alternative-transportation
AC Transit,4,90014,"MB,DR,DR,MB,CB",04 - Oakland,Urban,"1,425,275","54,067,171",780,"$72,983,748",Oakland,Alameda,http://www.actransit.org/
Alhambra Community Transit,6,90247,"MB,DR",07 - Los Angeles,Mix,"83,089","413,839",15,"$84,389",Alhambra,Los Angeles,https://www.cityofalhambra.org/resources/public-transportation
Alpine County Local Transportation Commission,9,9R02-91116,DR,10 - Stockton,Rural,,654,2,"$12,434",Markleeville,Alpine,http://www.alpinecountyca.gov/index.aspx?NID=159
Altamont Corridor Express,10,90182,CR,10 - Stockton,Urban,"4,094,704","1,506,183",28,"$10,929,851",Stockton,San Joaquin,http://www.acerail.com/
Amador Regional Transit System,11,9R02-91000,"MB,DR,CB",10 - Stockton,Rural,,"65,662",12,"$116,601",Sutter Creek,Amador,http://amadortransit.com/
Greyhound,12,,IB ,08 - San Bernardino,Mix,,0, ,$0,Intercity,San Bernardino,http://www.autobusesamericanos.us/
Amtrak,13,,IR,03 - Marysville,Urban,,0, ,$0,Los Angeles,Sacramento,http://www.amtrak.com/home
Anaheim Resort Transportation,14,90211,"MB,DR",12 - Irvine,Urban,"358,000","9,448,810",76,"$4,651,425",Anaheim,Orange,http://www.rideart.org/
Angel Island-Tiburon Ferry Company,15,,FB,04 - Oakland,Rural,,0, ,$0,Tiburon,Marin,https://angelislandferry.com/
Antelope Valley Transit Authority,16,90121,"MB,CB,DR",07 - Los Angeles,Urban,"349,050","2,352,468",89,"$4,826,576",Lancaster,Los Angeles,http://www.avta.com/
Arcadia Transit,17,90044,"DR,MB",07 - Los Angeles,Urban,"56,364","77,743",14,"$12,613",Arcadia,Los Angeles,https://www.arcadiaca.gov/transit
Arcata and Mad River Transit System,18,9R02-91018,MB,01 - Eureka,Rural,,"165,536",3,"$210,373",Arcata,Humboldt,https://hta.org/agencies/arcata-and-mad-river/
Artesia Express Dial-A-Ride,20,90300,DT,07 - Los Angeles,Rural,"16,736","8,309",5,$0,Artesia,Los Angeles,http://www.cityofartesia.us/index.aspx?nid=189
Arvin Transit,21,9R02-91027,MB,06 - Fresno,Rural,,"76,843",6,"$62,252",Arvin,Kern,https://www.arvin.org/government/transportation/
Atascadero Dial-A-Ride,22,90194,"DR,MB",05 - San Luis Obispo,Rural,"29,134","12,864",3,"$36,283",Atascadero,San Luis Obispo,https://atascadero.org/index.php?option=com_content&view=article&id=633&Itemid=1536
Auburn Transit,23,9R02-91032,MB,03 - Marysville,Rural,,"37,363",5,"$21,830",Auburn,Placer,https://www.auburn.ca.gov/192/Transit-Services
Avalon Transit,24,90249,"MB,DR",07 - Los Angeles,Rural,"3,801","44,209",4,"$87,999",Avalon,Los Angeles,http://www.cityofavalon.com/content/3310/5078/default.aspx
Azusa Transit,26,90250,DR,07 - Los Angeles,Mix,"46,361","37,223",6,"$14,870",Azusa,Los Angeles,https://www.ci.azusa.ca.us/329/Azusa-Transit
Bakersfield Airport Valet Express,27,,CB,06 - Fresno,Mix,,0, ,$0,Bakersfield,Kern,http://www.airportvaletexpress.com/
Balboa Island Ferry,28,,FB,12 - Irvine,Rural,,0, ,$0,Balboa Island,Orange,http://www.balboaislandferry.com/
Baldwin Park Transit,29,90251,"MB,DR",07 - Los Angeles,Mix,"76,056","124,084",8,"$66,227",Baldwin Park,Los Angeles,https://www.baldwinpark.com/public-transit
Banning Pass Transit,30,,MB,08 - San Bernardino,Rural,,0, ,$0,Banning,Riverside,http://banning.ca.us/351/Bus-Schedules
Coronado Ferry,32,,FB,11 - San Diego,Urban,,0, ,$0,San Diego,San Diego,https://www.flagshipsd.com/cruises/coronado-ferry
Bear Transit,33,,MB,04 - Oakland,Mix,,0, ,$0,Berkeley,Alameda,https://pt.berkeley.edu/transportation-options/campus-shuttles
Beaumont Pass Transit,34,,MB,08 - San Bernardino,Rural,,0, ,$0,Beaumont,Riverside,https://beaumontca.gov/index.aspx?NID=160
La Campana,35,90252,"DT,MB,DR",07 - Los Angeles,Urban,"35,731","45,894",8,"$19,838",Bell,Los Angeles,http://www.cityofbell.org/?NavID=72
Bell Gardens,36,90253,"MB,DR",07 - Los Angeles,Rural,"42,889","163,420",6,"$55,412",Bell Gardens,Los Angeles,https://www.bellgardens.org/government/city-departments/public-works/transportation
Bellflower Bus,37,90254,"MB,DR",07 - Los Angeles,Mix,"78,106","74,184",4,"$25,293",Bellflower,Los Angeles,https://www.bellflower.org/resources/transportation/bus.asp
Berkeley Lab Bus System,38,,MB,04 - Oakland,Mix,,0, ,$0,Berkeley,Alameda,https://commute.lbl.gov/service/shuttle-buses/
Beverly Hills,39,90255,DR,07 - Los Angeles,Mix,"34,833","9,750",4,$0,Beverly Hills,Los Angeles,http://www.beverlyhills.org/living/transportation/
Bishop Paiute Tribe,40,99268,MB,09 - Bishop,Rural,,0, ,$0,Bishop,Inyo,http://www.bishoppaiutetribe.com/
