GEOID,NAME,ttl_jobs,ttl_population
06001400100,"Census Tract 4001, Alameda County, California",106528,3120
06001400200,"Census Tract 4002, Alameda County, California",99821,2007
06001400300,"Census Tract 4003, Alameda County, California",78089,5051
06001400400,"Census Tract 4004, Alameda County, California",73977,4007
06001400500,"Census Tract 4005, Alameda County, California",54533,4124
06001400600,"Census Tract 4006, Alameda County, California",57656,1745
06001400700,"Census Tract 4007, Alameda County, California",47138,5128
06001400800,"Census Tract 4008, Alameda County, California",53136,4069
06001400900,"Census Tract 4009, Alameda County, California",45645,2471
06001401000,"Census Tract 4010, Alameda County, California",44040,6133
06001401100,"Census Tract 4011, Alameda County, California",54134,4287
06001401200,"Census Tract 4012, Alameda County, California",62868,2619
06001401300,"Census Tract 4013, Alameda County, California",49632,3921
06001401400,"Census Tract 4014, Alameda County, California",34357,4732
06001401500,"Census Tract 4015, Alameda County, California",42346,2839
06001401600,"Census Tract 4016, Alameda County, California",44122,2289
06001401700,"Census Tract 4017, Alameda County, California",56444,3018
06001401800,"Census Tract 4018, Alameda County, California",40992,1801
06001402200,"Census Tract 4022, Alameda County, California",46583,2477
06001402400,"Census Tract 4024, Alameda County, California",42007,2866
06001402500,"Census Tract 4025, Alameda County, California",29417,1781
06001402600,"Census Tract 4026, Alameda County, California",38750,1243
06001402700,"Census Tract 4027, Alameda County, California",46810,1890
06001402800,"Census Tract 4028, Alameda County, California",65355,4480
06001402900,"Census Tract 4029, Alameda County, California",41588,1406
06001403000,"Census Tract 4030, Alameda County, California",31697,2905
06001403100,"Census Tract 4031, Alameda County, California",67266,2101
06001403300,"Census Tract 4033, Alameda County, California",55134,4178
06001403400,"Census Tract 4034, Alameda County, California",61563,4340
06001403501,"Census Tract 4035.01, Alameda County, California",51729,4492
06001403502,"Census Tract 4035.02, Alameda County, California",63813,2044
06001403600,"Census Tract 4036, Alameda County, California",50364,5570
06001403701,"Census Tract 4037.01, Alameda County, California",62649,2968
06001403702,"Census Tract 4037.02, Alameda County, California",72850,1930
06001403800,"Census Tract 4038, Alameda County, California",74167,3351
06001403900,"Census Tract 4039, Alameda County, California",63106,4051
06001404000,"Census Tract 4040, Alameda County, California",62112,2895
06001404101,"Census Tract 4041.01, Alameda County, California",76235,3017
06001404102,"Census Tract 4041.02, Alameda County, California",80231,2653
06001404200,"Census Tract 4042, Alameda County, California",120833,3877
06001404300,"Census Tract 4043, Alameda County, California",117614,3443
