GEOID,NAME,ttl_jobs,ttl_population
6001400100,"Census Tract 4001, Alameda County, California",NA,3120
6001400200,"Census Tract 4002, Alameda County, California",NA,2007
6001400300,"Census Tract 4003, Alameda County, California",NA,5051
6001400400,"Census Tract 4004, Alameda County, California",NA,4007
6001400500,"Census Tract 4005, Alameda County, California",NA,4124
6001400600,"Census Tract 4006, Alameda County, California",NA,1745
6001400700,"Census Tract 4007, Alameda County, California",NA,5128
6001400800,"Census Tract 4008, Alameda County, California",NA,4069
6001400900,"Census Tract 4009, Alameda County, California",NA,2471
6001401000,"Census Tract 4010, Alameda County, California",NA,6133
6001401100,"Census Tract 4011, Alameda County, California",NA,4287
6001401200,"Census Tract 4012, Alameda County, California",NA,2619
6001401300,"Census Tract 4013, Alameda County, California",NA,3921
6001401400,"Census Tract 4014, Alameda County, California",NA,4732
6001401500,"Census Tract 4015, Alameda County, California",NA,2839
6001401600,"Census Tract 4016, Alameda County, California",NA,2289
6001401700,"Census Tract 4017, Alameda County, California",NA,3018
6001401800,"Census Tract 4018, Alameda County, California",NA,1801
6001402200,"Census Tract 4022, Alameda County, California",NA,2477
6001402400,"Census Tract 4024, Alameda County, California",NA,2866
6001402500,"Census Tract 4025, Alameda County, California",NA,1781
6001402600,"Census Tract 4026, Alameda County, California",NA,1243
6001402700,"Census Tract 4027, Alameda County, California",NA,1890
6001402800,"Census Tract 4028, Alameda County, California",NA,4480
6001402900,"Census Tract 4029, Alameda County, California",NA,1406
6001403000,"Census Tract 4030, Alameda County, California",NA,2905
6001403100,"Census Tract 4031, Alameda County, California",NA,2101
6001403300,"Census Tract 4033, Alameda County, California",NA,4178
6001403400,"Census Tract 4034, Alameda County, California",NA,4340
6001403501,"Census Tract 4035.01, Alameda County, California",NA,4492
6001403502,"Census Tract 4035.02, Alameda County, California",NA,2044
6001403600,"Census Tract 4036, Alameda County, California",NA,5570
6001403701,"Census Tract 4037.01, Alameda County, California",NA,2968
6001403702,"Census Tract 4037.02, Alameda County, California",NA,1930
6001403800,"Census Tract 4038, Alameda County, California",NA,3351
6001403900,"Census Tract 4039, Alameda County, California",NA,4051
6001404000,"Census Tract 4040, Alameda County, California",NA,2895
6001404101,"Census Tract 4041.01, Alameda County, California",NA,3017
6001404102,"Census Tract 4041.02, Alameda County, California",NA,2653
6001404200,"Census Tract 4042, Alameda County, California",NA,3877
6001404300,"Census Tract 4043, Alameda County, California",NA,3443
6001404400,"Census Tract 4044, Alameda County, California",NA,5628
6001404501,"Census Tract 4045.01, Alameda County, California",NA,1809
6001404502,"Census Tract 4045.02, Alameda County, California",NA,5891
6001404600,"Census Tract 4046, Alameda County, California",NA,4625
6001404700,"Census Tract 4047, Alameda County, California",NA,2137
6001404800,"Census Tract 4048, Alameda County, California",NA,2647
6001404900,"Census Tract 4049, Alameda County, California",NA,4197
6001405000,"Census Tract 4050, Alameda County, California",NA,3394
6001405100,"Census Tract 4051, Alameda County, California",NA,4285
6001405200,"Census Tract 4052, Alameda County, California",NA,5183
6001405301,"Census Tract 4053.01, Alameda County, California",NA,2954
6001405302,"Census Tract 4053.02, Alameda County, California",NA,2373
6001405401,"Census Tract 4054.01, Alameda County, California",NA,3648
6001405402,"Census Tract 4054.02, Alameda County, California",NA,3357
6001405500,"Census Tract 4055, Alameda County, California",NA,3880
6001405600,"Census Tract 4056, Alameda County, California",NA,3269
6001405700,"Census Tract 4057, Alameda County, California",NA,3531
6001405800,"Census Tract 4058, Alameda County, California",NA,4370
