Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,Service Type (from Services),Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),route_id,Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category,Reference Static Feed
Santa Maria Area Transit – Santa Maria Schedule,Santa Maria Area Transit,Santa Maria Schedule,GTFS Schedule,primary,,SMAT,fixed-route,City of Santa Maria,City of Santa Maria,"City of Santa Maria,TripShot Inc.","City of Santa Maria,TripShot Inc.",GTFS Schedule,,Provider to Publish,,,,,,,,https://smrt.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820,1 checked out of 1,Core,
Tahoe Truckee Area Regional Transportation – Tahoe Schedule,Tahoe Truckee Area Regional Transportation,Tahoe Schedule,GTFS Schedule,primary,16,,fixed-route,Tahoe Transportation District,Tahoe Transportation District,"Tahoe Transportation District,Trillium Inc.,Town of Truckee",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/laketahoe-ca-us/laketahoe-ca-us.zip,1 checked out of 1,Core,
North Lake Tahoe Express – Tahoe Schedule,North Lake Tahoe Express,Tahoe Schedule,GTFS Schedule,primary,904,,"reservations,fixed-route",North Lake Tahoe Express,My Ride To Work,"Tahoe Transportation District,Trillium Inc.,Town of Truckee",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/laketahoe-ca-us/laketahoe-ca-us.zip,1 checked out of 1,Other Public Transit,
Metrolink – Metrolink Schedule,Metrolink,Metrolink Schedule,GTFS Schedule,primary,,,fixed-route,Southern California Regional Rail Authority,Southern California Regional Rail Authority,Southern California Regional Rail Authority,,GTFS Schedule,NA,Needed,,,,,"Will ""circle back"" once they sort out their RT issues.",,,https://www.metrolinktrains.com/globalassets/about/gtfs/gtfs.zip,1 checked out of 1,Core,
DASH – LA DOT Schedule,DASH,LA DOT Schedule,GTFS Schedule,primary,,,fixed-route,City of Los Angeles,City of Los Angeles,"City of Los Angeles,Optibus,Trapeze Group",City of Los Angeles,GTFS Schedule,NA,Provider to Publish,,,,,"Jacob joined a peer working group. Their vendor, Optibus, is part of the conversation, too. Ruth provided Jacob with the fare data in GTFS format.",*,,https://ladotbus.com/gtfs,1 checked out of 1,Core,
Commuter Express – LA DOT Schedule,Commuter Express,LA DOT Schedule,GTFS Schedule,primary,,,fixed-route,City of Los Angeles,City of Los Angeles,"City of Los Angeles,Optibus,Trapeze Group",City of Los Angeles,GTFS Schedule,NA,Provider to Publish,,,,,"Jacob joined a peer working group. Their vendor, Optibus, is part of the conversation, too. Ruth provided Jacob with the fare data in GTFS format.","1458,1524,26,27,28,29,30,31,4278,4290,4291,856,858,867,868,869,870,871",,https://ladotbus.com/gtfs,1 checked out of 1,Core,
Free South City Shuttle – Bay Area 511 Schedule,Free South City Shuttle,Bay Area 511 Schedule,GTFS Schedule,primary,SS,,fixed-route,City of South San Francisco,City of South San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Other Public Transit,
Tideline Water Taxi – Bay Area 511 Schedule,Tideline Water Taxi,Bay Area 511 Schedule,GTFS Schedule,primary,TD,,fixed-route,Tideline,Tideline,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Other Transit,
WestCAT Local – Bay Area 511 Schedule,WestCAT Local,Bay Area 511 Schedule,GTFS Schedule,primary,WC,,fixed-route,Western Contra Costa Transit Authority,Western Contra Costa Transit Authority,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,*,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Rio Vista Delta Breeze – Bay Area 511 Schedule,Rio Vista Delta Breeze,Bay Area 511 Schedule,GTFS Schedule,primary,RV,,deviated fixed-route,City of Rio Vista,City of Rio Vista,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Emery Go-Round – Bay Area 511 Schedule,Emery Go-Round,Bay Area 511 Schedule,GTFS Schedule,primary,EM,,fixed-route,Emeryville Transportation Management Agency,Emeryville Transportation Management Agency,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Other Transit,
Sonoma-Marin Area Rail Transit – Bay Area 511 Schedule,Sonoma-Marin Area Rail Transit,Bay Area 511 Schedule,GTFS Schedule,primary,SA,,fixed-route,Sonoma-Marin Area Rail Transit District,Sonoma-Marin Area Rail Transit District,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
Dumbarton Express – Bay Area 511 Schedule,Dumbarton Express,Bay Area 511 Schedule,GTFS Schedule,primary,DE,,fixed-route,Alameda-Contra Costa Transit District,MV Transportation,Metropolitan Transportation Commission,Metropolitan Transportation Commission,GTFS Schedule,NA,Vendor published,,,,,MTC,,,http://api.511.org/transit/datafeeds?api_key={{ MTC_511_API_KEY}}&operator_id=RG,1 checked out of 1,Core,
