"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US06001400100","Census Tract 4001, Alameda County, California","3120","208"
"1400000US06001400200","Census Tract 4002, Alameda County, California","2007","120"
"1400000US06001400300","Census Tract 4003, Alameda County, California","5051","309"
"1400000US06001400400","Census Tract 4004, Alameda County, California","4007","344"
"1400000US06001400500","Census Tract 4005, Alameda County, California","4124","357"
"1400000US06001400600","Census Tract 4006, Alameda County, California","1745","133"
"1400000US06001400700","Census Tract 4007, Alameda County, California","5128","447"
"1400000US06001400800","Census Tract 4008, Alameda County, California","4069","442"
"1400000US06001400900","Census Tract 4009, Alameda County, California","2471","285"
"1400000US06001401000","Census Tract 4010, Alameda County, California","6133","501"
"1400000US06001401100","Census Tract 4011, Alameda County, California","4287","354"
"1400000US06001401200","Census Tract 4012, Alameda County, California","2619","182"
"1400000US06001401300","Census Tract 4013, Alameda County, California","3921","263"
"1400000US06001401400","Census Tract 4014, Alameda County, California","4732","504"
"1400000US06001401500","Census Tract 4015, Alameda County, California","2839","368"
"1400000US06001401600","Census Tract 4016, Alameda County, California","2289","217"
"1400000US06001401700","Census Tract 4017, Alameda County, California","3018","339"
"1400000US06001401800","Census Tract 4018, Alameda County, California","1801","265"
"1400000US06001402200","Census Tract 4022, Alameda County, California","2477","210"
"1400000US06001402400","Census Tract 4024, Alameda County, California","2866","375"
"1400000US06001402500","Census Tract 4025, Alameda County, California","1781","222"
"1400000US06001402600","Census Tract 4026, Alameda County, California","1243","117"
"1400000US06001402700","Census Tract 4027, Alameda County, California","1890","228"
"1400000US06001402800","Census Tract 4028, Alameda County, California","4480","435"
"1400000US06001402900","Census Tract 4029, Alameda County, California","1406","126"
"1400000US06001403000","Census Tract 4030, Alameda County, California","2905","216"
"1400000US06001403100","Census Tract 4031, Alameda County, California","2101","256"
"1400000US06001403300","Census Tract 4033, Alameda County, California","4178","440"
"1400000US06001403400","Census Tract 4034, Alameda County, California","4340","340"
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","4492","388"
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","2044","236"
"1400000US06001403600","Census Tract 4036, Alameda County, California","5570","505"
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","2968","235"
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","1930","235"
"1400000US06001403800","Census Tract 4038, Alameda County, California","3351","270"
"1400000US06001403900","Census Tract 4039, Alameda County, California","4051","287"
"1400000US06001404000","Census Tract 4040, Alameda County, California","2895","218"
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","3017","208"
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","2653","173"
"1400000US06001404200","Census Tract 4042, Alameda County, California","3877","274"
"1400000US06001404300","Census Tract 4043, Alameda County, California","3443","216"
"1400000US06001404400","Census Tract 4044, Alameda County, California","5628","313"
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","1809","128"
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","5891","298"
"1400000US06001404600","Census Tract 4046, Alameda County, California","4625","295"
"1400000US06001404700","Census Tract 4047, Alameda County, California","2137","138"
"1400000US06001404800","Census Tract 4048, Alameda County, California","2647","203"
"1400000US06001404900","Census Tract 4049, Alameda County, California","4197","235"
"1400000US06001405000","Census Tract 4050, Alameda County, California","3394","189"
"1400000US06001405100","Census Tract 4051, Alameda County, California","4285","226"
"1400000US06001405200","Census Tract 4052, Alameda County, California","5183","297"
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","2954","195"
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","2373","247"
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","3648","310"
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","3357","355"
"1400000US06001405500","Census Tract 4055, Alameda County, California","3880","347"
"1400000US06001405600","Census Tract 4056, Alameda County, California","3269","276"
"1400000US06001405700","Census Tract 4057, Alameda County, California","3531","326"
"1400000US06001405800","Census Tract 4058, Alameda County, California","4370","481"
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","4426","555"
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","2942","281"
"1400000US06001406000","Census Tract 4060, Alameda County, California","3796","372"
"1400000US06001406100","Census Tract 4061, Alameda County, California","4733","594"
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","4995","504"
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","4817","338"
"1400000US06001406300","Census Tract 4063, Alameda County, California","4383","424"
"1400000US06001406400","Census Tract 4064, Alameda County, California","2545","305"
"1400000US06001406500","Census Tract 4065, Alameda County, California","6586","520"
"1400000US06001406601","Census Tract 4066.01, Alameda County, California","4955","541"
"1400000US06001406602","Census Tract 4066.02, Alameda County, California","2698","310"
"1400000US06001406700","Census Tract 4067, Alameda County, California","5159","463"
"1400000US06001406800","Census Tract 4068, Alameda County, California","3611","273"
"1400000US06001406900","Census Tract 4069, Alameda County, California","3608","259"
"1400000US06001407000","Census Tract 4070, Alameda County, California","5869","643"
"1400000US06001407101","Census Tract 4071.01, Alameda County, California","3821","456"
"1400000US06001407102","Census Tract 4071.02, Alameda County, California","4387","381"
"1400000US06001407200","Census Tract 4072, Alameda County, California","6985","705"
"1400000US06001407300","Census Tract 4073, Alameda County, California","2420","253"
"1400000US06001407400","Census Tract 4074, Alameda County, California","4531","627"
"1400000US06001407500","Census Tract 4075, Alameda County, California","4299","559"
"1400000US06001407600","Census Tract 4076, Alameda County, California","6327","817"
"1400000US06001407700","Census Tract 4077, Alameda County, California","4122","362"
"1400000US06001407800","Census Tract 4078, Alameda County, California","2728","213"
"1400000US06001407900","Census Tract 4079, Alameda County, California","2873","273"
"1400000US06001408000","Census Tract 4080, Alameda County, California","2700","164"
"1400000US06001408100","Census Tract 4081, Alameda County, California","6320","502"
"1400000US06001408200","Census Tract 4082, Alameda County, California","4570","417"
"1400000US06001408300","Census Tract 4083, Alameda County, California","5047","399"
"1400000US06001408400","Census Tract 4084, Alameda County, California","3201","369"
