,calitp_itp_id,total_sq_mi,total_pop,total_jobs,any_accessible_stops_trips,any_rt
0,0,73,708851,961261,False,False
1,1,910,1405196,791317,False,False
2,2,106,491448,701575,False,False
3,3,1039,3786698,2180775,False,False
4,4,380,2063058,1360009,True,True
5,6,85,791572,672597,False,False
6,7,12,109197,56849,False,False
7,8,759,617850,118019,True,False
8,10,50,197054,196827,False,True
9,11,150,59834,158723,False,False
10,13,708,1868888,2283596,False,False
11,14,22,175363,188699,False,False
12,15,11,92796,449832,False,False
13,16,262,722563,865119,False,False
14,17,11,68410,30182,False,False
15,18,295,102138,11199,False,False
16,21,44,73643,46486,False,False
17,23,10,17253,2867,False,False
18,24,5,3439,1943,False,False
19,29,14,92645,34744,False,False
20,30,32,34718,2817,False,True
21,33,5,57196,39885,False,False
22,34,49,69533,54914,False,False
23,35,5,96793,27016,False,False
24,36,5,61337,24246,False,False
25,37,9,110548,37092,False,False
26,41,11,92796,449832,False,False
27,42,295,102138,11199,False,False
28,45,13,96932,268883,False,True
29,48,187,164519,28627,False,False
30,49,27,32059,4006,False,False
31,54,17,55364,11843,False,False
32,56,90,444839,844423,True,True
33,57,22,120478,72855,False,False
34,61,206,560393,165697,False,True
35,62,224,224693,105556,False,False
36,70,383,327229,83035,False,False
37,71,23,105887,48419,False,False
38,75,20,213124,409154,False,True
39,76,38,196866,170112,False,False
40,77,16,179343,52971,False,False
41,79,28,114930,44691,False,False
42,81,37,73221,181626,False,False
43,82,104,110991,11569,False,False
44,86,2,43524,24999,False,False
45,87,37,338204,366359,False,False
46,91,19,44936,8406,False,False
47,93,18,44577,9850,False,False
48,95,15,151521,82083,False,False
49,97,11,33643,28106,False,False
50,98,18,91493,93913,False,True
51,99,623,23242,7864,False,True
52,101,91,109190,163354,False,False
53,102,14,138583,73746,False,False
54,103,10,24915,21028,False,False
55,106,5,42146,42568,False,True
56,108,295,102138,11199,False,False
57,110,72,183285,165447,False,True
58,111,28,81939,25444,False,False
59,112,232,1352700,871656,False,False
60,116,126,541832,195229,False,False
61,118,48,471729,230118,False,False
62,120,30,234085,178617,False,False
63,121,12,71482,32477,False,False
64,122,66,64956,26469,False,False
65,123,136,353447,80143,False,False
66,126,134,468603,95988,False,True
67,127,87,490413,770076,False,True
68,129,18,31339,12225,False,False
69,135,295,102138,11199,False,True
70,137,7,125621,35429,False,False
71,142,453,2880554,1038335,False,False
72,146,591,278578,124025,False,False
73,148,102,160267,113794,False,True
74,152,10,75071,26767,False,False
75,154,13,29488,9670,False,False
76,159,273,71074,4471,False,True
77,162,137,47811,7083,False,False
78,164,6,71745,39740,False,False
79,167,106,223986,50485,False,True
80,168,20,68319,19912,False,False
81,169,78,69638,30915,False,False
82,170,105,939348,422654,False,True
83,171,136,980624,432332,False,False
84,172,136,980624,432332,False,False
85,173,136,980624,432332,False,False
86,174,136,980624,432332,False,False
87,176,136,980624,432332,False,False
88,177,136,980624,432332,False,False
89,178,136,980624,432332,False,False
90,179,136,980624,432332,False,False
91,181,136,980624,432332,False,False
92,182,861,7364224,3498614,False,True
93,183,318,3145177,1991530,False,True
94,187,19,66620,6346,False,False
95,188,130,42280,6199,False,True
96,190,623,23242,7864,False,False
97,192,21,65829,6848,True,False
