key,year,ntd_id,number_of_state_counties,tam_tier,personal_vehicles,density,uza_name,tribal_area_name,service_area_sq_miles,total_voms,city,fta_recipient_id,region,state_admin_funds_expended,zip_code_ext,zip_code,ueid,address_line_2,number_of_counties_with_service,reporter_acronym,original_due_date,sq_miles,address_line_1,p_o__box,fy_end_date,reported_by_ntd_id,population,reporting_module,service_area_pop,subrecipient_type,state,volunteer_drivers,primary_uza,doing_business_as,reporter_type,legacy_ntd_id,voms_do,url,reported_by_name,voms_pt,organization_type,agency_name,_valid_from,_valid_to,_is_current
c034f4c7b17ee83f3b5c9dd7b5781dcd,2021,0R03-00364,,Tier II,,,,,,16.0,Centralia,1724.0,10.0,,4136.0,98531.0,P5G3D4TC6G15,,,,1651276800000,,212 E Locust St,,1640908800000,0R03,,Rural,,Rural General Public Transit,WA,,,,Rural Reporter,0R03-025,16.0,http://www.twintransit.org,Washington State Department of Transportation,,Independent Public Agency or Authority of Transit Service,Twin Transit,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
87a3090502ee89a059cfb674fb1fcf31,2021,11239,,Tier II,,890.0,"Barnstable Town, MA",,394.0,4.0,Hyannis,,1.0,,4711.0,2601.0,EJGTGWLS73H6,,,,1635638400000,277.0,22 Channel Point Rd,,1614470400000,,246695.0,Urban,210049.0,,MA,,152.0,,Full Reporter,,4.0,https://hylinecruises.com/,,,Private-For-Profit Corporation,"Hyannis Harbor Tours, Inc. ",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
2b746ba05a038d866ee06125ae81c229,2021,21,,Tier II,,2379.0,"Bellingham, WA",,776.0,94.0,Bellingham,5092.0,10.0,,8056.0,98226.0,FFA5NLAKYDU1,,,WTA,1651276800000,48.0,4111 Bakerview Spur,,1640908800000,,114473.0,Urban,225928.0,,WA,,275.0,,Full Reporter,21,94.0,http://www.ridewta.com/,,,Independent Public Agency or Authority of Transit Service,Whatcom Transportation Authority,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
9f767d1bc8805640ce10a01580f36013,2021,2R01-22954,,Tier II,,,,,,,Cherry Hill,,2.0,,2638.0,8002.0,,,,,1635638400000,,820 Mercer Street,,1625011200000,2R01,,Asset,,Asset Subrecipient,NJ,,,,Reduced Asset Reporter,,,https://www.cherryhill-nj.com,NJ Transit,,"City, County or Local Government Unit or Department of Transportation",Township of Cherry Hill,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
43f57c159fcf47fc8bfefe5388f61111,2021,2R01-22967,,Tier II,,,,,,,Sayreville,,2.0,,1149.0,8872.0,,,,,1635638400000,,167 Main Street,,1625011200000,2R01,,Asset,,Asset Subrecipient,NJ,,,,Reduced Asset Reporter,,,http://www.sayreville.com,NJ Transit,,"City, County or Local Government Unit or Department of Transportation","Borough of Sayreville, Inc.",2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
438840c013c87e1c6d180dd0ba5f32b0,2021,2R02-20931,,Tier II,,,,,,8.0,Catskill,,2.0,,1363.0,12414.0,R8SFBJD9L4P9,,,,1651276800000,,411 Main St,,1640908800000,2R02,,Rural,,Rural General Public Transit,NY,,,,Rural Reporter,2R02-029,,http://www.greenegovernment.com/,New York Department of Transportation,8.0,"City, County or Local Government Unit or Department of Transportation",Greene County,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
6fb98d87eadfc50db24b8b6489361df6,2021,30010,,Tier II,,1919.0,"Allentown, PA-NJ",,324.0,117.0,Allentown,1419.0,3.0,,3130.0,18103.0,JSBPUB31WRK6,,,LANTA,1635638400000,346.0,1060 Lehigh St,,1625011200000,,664651.0,Urban,533100.0,,PA,,61.0,,Full Reporter,3010,65.0,http://www.lantabus.com/,,52.0,Independent Public Agency or Authority of Transit Service,Lehigh and Northampton Transportation Authority,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
003410ab2a0e3b69a3c55f6c05211b1a,2021,30041,,Tier II,,1591.0,"Cumberland, MD-WV-PA",,131.0,15.0,Cumberland,1401.0,3.0,,2803.0,21502.0,L787HTLLFJV3,,,ACT,1635638400000,33.0,"701 Kelly Rd, Ste 205",,1625011200000,,51899.0,Urban,68780.0,,MD,,484.0,Allegany County Transit,Reduced Reporter,3041,15.0,http://www.alleganygov.org/315/Transit,,,"City, County or Local Government Unit or Department of Transportation",Board of Commissioners of Allegany County Maryland,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
62bea76fcbb8a7544f377cbae7f1983b,2021,30201,,Tier II,,3073.0,"Baltimore, MD",,81.0,22.0,Baltimore,1401.0,3.0,,3459.0,21202.0,CN6MMSGHNJ39,5th Floor,,,1635638400000,717.0,100 N Holliday St Rm 250,,1625011200000,,2203663.0,Urban,621849.0,,MD,,19.0,,Full Reporter,,,transportation.baltimorecity.gov/,,22.0,"City, County or Local Government Unit or Department of Transportation",City of Baltimore,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
25d5f9dcc92c531b13c575e98c0b89d0,2021,3R04-31034,,Tier II,,,,,,15.0,Tionesta,1429.0,3.0,,9724.0,16353.0,N9AMEJCLYAL3,,,,1651276800000,,526 Elm St Unit 3,,1640908800000,3R04,,Rural,,Rural General Public Transit,PA,,,,Rural Reporter,,15.0,http://www.co.forest.pa.us/departments/transportation.php,Pennsylvania Department of Transportation,,"City, County or Local Government Unit or Department of Transportation",Forest County Transportation,2023-02-08 17:22:59.824755 UTC,2098-12-31 23:59:59.999999 UTC,true
