,Name,calitp_itp_id,Reporting Category,Caltrans District,GTFS Static Status,rt_status,Missing Static,Services Needing Alerts,Services Needing TripUpdates or VehiclePositions,calitp_url_number,min_timestamp,max_timestamp
0,Ventura County Transportation Commission,380,Core,07 - Los Angeles,Static OK,RT OK,,Valley Express Dial-A-Ride,Valley Express Dial-A-Ride,0,2022-02-03 20:07:26,2022-02-10 15:59:49
1,City of Santa Monica,300,Core,07 - Los Angeles,Static OK,RT OK,,"Mobility on Demand Everyday, Santa Monica College Intercampus Shuttles","Mobility on Demand Everyday, Santa Monica College Intercampus Shuttles",0,2022-02-06 15:55:20,2022-02-10 15:59:35
2,Los Angeles County Metropolitan Transportation Authority,182,Core,07 - Los Angeles,Static OK,RT OK,,LA Metro Micro,LA Metro Micro,1,2022-02-06 15:58:17,2022-02-10 15:59:45
3,City of Pasadena,243,Core,07 - Los Angeles,Static OK,RT OK,,Pasadena Dial-A-Ride,Pasadena Dial-A-Ride,0,2022-02-06 15:57:19,2022-02-10 15:59:25
4,City of Santa Clarita,295,Core,07 - Los Angeles,Static OK,RT OK,,"Go! Santa Clarita, Santa Clarita Summer Trolly, Santa Clarita Dial-A-Ride","Go! Santa Clarita, Santa Clarita Summer Trolly, Santa Clarita Dial-A-Ride",0,2022-02-06 15:59:20,2022-02-09 17:34:57
5,Long Beach Transit,170,Core,07 - Los Angeles,Static Incomplete,RT Incomplete,"AquaLink, UCLA/Westwood Commuter Express","Galaxy Express, AquaLink, UCLA/Westwood Commuter Express, Long Beach Dial-A-Lift","Galaxy Express, AquaLink, UCLA/Westwood Commuter Express, Long Beach Dial-A-Lift",0,2022-02-06 15:54:38,2022-02-10 15:59:16
6,City of Burbank,45,Core,07 - Los Angeles,Static OK,RT OK,,Burbank Bus Senior and Disabled,Burbank Bus Senior and Disabled,0,2015-01-04 23:08:07,2022-02-10 15:59:52
7,City of Commerce,75,Core,07 - Los Angeles,Static OK,RT OK,,Commerce Dial-A-Ride,Commerce Dial-A-Ride,0,2022-02-06 14:46:27,2022-02-10 15:59:49
8,Alameda-Contra Costa Transit District,4,Core,04 - Oakland,Static OK,RT OK,,East Bay Paratransit,East Bay Paratransit,1,2022-02-06 15:59:47,2022-02-10 15:59:34
9,Solano County Transit,310,Core,04 - Oakland,Static OK,RT OK,,SolTrans ADA Paratransit,SolTrans ADA Paratransit,1,2022-02-06 16:00:00,2022-02-10 15:59:30
10,Sonoma County,314,Core,04 - Oakland,Static OK,RT OK,,Sonoma County Paratransit,Sonoma County Paratransit,1,2022-02-06 16:00:06,2022-02-10 15:59:45
11,City of Petaluma,247,Core,04 - Oakland,Static OK,RT OK,,Petaluma Paratransit,Petaluma Paratransit,1,2022-02-06 16:00:05,2022-02-10 15:59:49
12,Sonoma-Marin Area Rail Transit District,315,Core,04 - Oakland,Static OK,RT OK,,,,0,2022-02-03 18:29:36,2022-02-10 15:59:49
13,City of Santa Rosa,301,Core,04 - Oakland,Static OK,RT OK,,"Santa Rosa Call Ahead Service, Santa Rosa Paratransit","Santa Rosa Call Ahead Service, Santa Rosa Paratransit",0,2022-02-06 16:00:06,2022-02-10 15:59:51
14,San Mateo County Transit District,290,Core,04 - Oakland,Static Incomplete,RT Incomplete,"Bayshore Brisbane Senior Shuttle, SamTrans Shuttles, Bayhill San Bruno Shuttle","Redi-Wheels, RediCoast, Bayshore Brisbane Senior Shuttle, SamTrans Shuttles, SamCoast, Bayhill San Bruno Shuttle","Redi-Wheels, RediCoast, Bayshore Brisbane Senior Shuttle, SamTrans Shuttles, SamCoast, Bayhill San Bruno Shuttle",1,2022-02-06 16:00:01,2022-02-10 15:59:05
15,"Livermore / Amador
  Valley Transit Authority",167,Core,04 - Oakland,Static Incomplete,RT Incomplete,Wheels School,"Tri-Valley Wheels Paratransit, Wheels School","Tri-Valley Wheels Paratransit, Wheels School",1,2022-02-06 16:00:07,2022-02-10 15:59:37
16,Santa Clara Valley Transportation Authority,294,Core,04 - Oakland,Static OK,RT OK,,VTA ACCESS,VTA ACCESS,1,2022-02-06 16:00:07,2022-02-10 15:59:42
17,Eastern Contra Costa Transit Authority,336,Core,04 - Oakland,Static OK,RT OK,,"Go Tri-Valley, Tri Delta Transit Paratransit","Go Tri-Valley, Tri Delta Transit Paratransit",0,2022-02-06 15:59:30,2022-02-10 15:59:30
18,Marin County Transit District,194,Core,04 - Oakland,Static Incomplete,RT OK,Muir Woods Shuttle,"Marin Access Paratransit, Muir Woods Shuttle, Marin Transit Connect, Novato Dial-A-Ride, Dillon Beach/Tomales Dial-A-Ride, Point Reyes Dial-A-Ride, Marin Catch-A-Ride","Marin Access Paratransit, Muir Woods Shuttle, Marin Transit Connect, Novato Dial-A-Ride, Dillon Beach/Tomales Dial-A-Ride, Point Reyes Dial-A-Ride, Marin Catch-A-Ride",0,2022-02-06 07:19:40,2022-02-10 15:59:50
19,Peninsula Corridor Joint Powers Board,246,Core,04 - Oakland,Static Incomplete,RT Incomplete,"Caltrain Shuttles, Caltrain Millbrae Express","Caltrain Shuttles, Caltrain Millbrae Express","Caltrain Shuttles, Caltrain Millbrae Express",1,2022-02-06 16:00:08,2022-02-10 15:59:51
20,Napa Valley Transportation Authority,218,Core,04 - Oakland,Static OK,RT Incomplete,,"Calistoga Shuttle, Taxi Scrip, Vine Go, American Canyon Transit, City of Napa On-Demand","Calistoga Shuttle, Taxi Scrip, Vine Go, American Canyon Transit, City of Napa On-Demand",1,2022-02-06 16:00:12,2022-02-10 15:59:39
21,City and County of San Francisco,282,Core,04 - Oakland,Static OK,RT OK,,SF Access Van,SF Access Van,1,2022-02-06 16:00:08,2022-02-10 15:59:46
22,City of Union City,350,Core,04 - Oakland,Static OK,RT OK,,"Union City Paratransit, Union City Flea","Union City Paratransit, Union City Flea",0,2022-02-06 16:00:09,2022-02-10 15:59:49
23,"Golden Gate Bridge, Highway and Transportation District",127,Core,04 - Oakland,Static Incomplete,RT Incomplete,Golden Gate Oracle Park Ferry ,"Golden Gate Ferry, Golden Gate Transit Paratransit, Golden Gate Oracle Park Ferry , Golden Gate Chase Center Ferry","Golden Gate Ferry, Golden Gate Transit Paratransit, Golden Gate Oracle Park Ferry , Golden Gate Chase Center Ferry",1,2022-02-06 15:59:55,2022-02-10 15:59:28
