Name,ITP ID,Reporting Category,Caltrans District,GTFS Static Status,GTFS Realtime Status,Missing Static,Services Needing Alerts,Services Needing TripUpdates or VehiclePositions,Immediate GTFS Goals
Stanislaus Regional Transit Authority,484,Core,,Static Incomplete,RT Incomplete,"Stanislaus Regional Transit, StaRT Commuter, Stanislaus Shuttles","Stanislaus Regional Transit, StaRT Commuter, StaRT ADA Paratransit , Medivan, Stanislaus Dial-A-Ride, Stanislaus Shuttles, eTrans Dial-A-Ride, Modesto Area Dial-A-Ride","Stanislaus Regional Transit, StaRT Commuter, StaRT ADA Paratransit , Medivan, Stanislaus Dial-A-Ride, Stanislaus Shuttles, eTrans Dial-A-Ride, Modesto Area Dial-A-Ride","0 - Does not have GTFS Schedule,0 - Does not have GTFS Schedule,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,0 - Does not have GTFS Schedule,2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
Ventura County Transportation Commission,380,Core,07 - Los Angeles,Static OK,RT OK,,Valley Express Dial-A-Ride,Valley Express Dial-A-Ride,"3 - GTFS data has zero validation errors,3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
Gold Coast Transit,123,Core,07 - Los Angeles,Static OK,RT OK,,"Gold Coast Access, Gold Coast Late Night Safe Rides","Gold Coast Access, Gold Coast Late Night Safe Rides","4 - GTFS data has zero validation warnings,2 - GTFS data has active service,4 - GTFS data has zero validation warnings"
Los Angeles World Airports,165,Other Public Transit,07 - Los Angeles,Static OK,RT Incomplete,,LAX Fly Away,LAX Fly Away,0 - Does not have GTFS Schedule
City of Glendale,120,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Glendale Beeline, Glendale Dial-A-Ride","Glendale Beeline, Glendale Dial-A-Ride","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Santa Monica,300,Core,07 - Los Angeles,Static OK,RT OK,,"Mobility on Demand Everyday, Santa Monica College Intercampus Shuttles","Mobility on Demand Everyday, Santa Monica College Intercampus Shuttles","2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Los Angeles,183,Core,07 - Los Angeles,Static OK,RT OK,Cityride Connector,"LAnow, LA Now, Cityride Dial-A-Ride, Cityride Taxi, Cityride Connector","LAnow, LA Now, Cityride Dial-A-Ride, Cityride Taxi, Cityride Connector","2 - GTFS data has active service,2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,0 - Does not have GTFS Schedule"
Los Angeles County Metropolitan Transportation Authority,182,Core,07 - Los Angeles,Static OK,RT OK,,LA Metro Micro,LA Metro Micro,"3 - GTFS data has zero validation errors,3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Norwalk,228,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Norwalk Transit System, Norwalk Dial-A-Ride, Norwalk TaxiCard","Norwalk Transit System, Norwalk Dial-A-Ride, Norwalk TaxiCard","2 - GTFS data has active service,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Thousand Oaks,337,Core,07 - Los Angeles,Static OK,RT OK,,ECTA InterCity Dial-A-Ride,ECTA InterCity Dial-A-Ride,"3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,3 - GTFS data has zero validation errors"
Foothill Transit,112,Core,07 - Los Angeles,Static OK,RT OK,,,,2 - GTFS data has active service
City of Gardena,118,Core,07 - Los Angeles,Static OK,RT Incomplete,,"GTrans, GTrans Special Transit","GTrans, GTrans Special Transit","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Bell Gardens,36,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Bell Gardens Trolly, Bell Gardens Dial-A-Ride","Bell Gardens Trolly, Bell Gardens Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Torrance,339,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Torrance Transit, Torrance Senior Taxi, Torrance Dial-A-Taxi","Torrance Transit, Torrance Senior Taxi, Torrance Dial-A-Taxi","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Bellflower,37,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Bellflower Bus, Bellflower Dial-A-Ride","Bellflower Bus, Bellflower Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Compton,77,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Compton Renaissance Transit Service, Compton Dial-A-Ride","Compton Renaissance Transit Service, Compton Dial-A-Ride","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of West Covina,366,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Go West Shuttle, Go West Dial-A-Ride Service","Go West Shuttle, Go West Dial-A-Ride Service","4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Pasadena,243,Core,07 - Los Angeles,Static OK,RT OK,,Pasadena Dial-A-Ride,Pasadena Dial-A-Ride,"4 - GTFS data has zero validation warnings,4 - GTFS data has zero validation warnings"
City of Camarillo,54,Core,07 - Los Angeles,Static OK,RT OK,,Camarillo Dial-A-Ride,Camarillo Dial-A-Ride,"1 - Has URL for GTFS downloading,3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
City of Santa Clarita,295,Core,07 - Los Angeles,Static OK,RT OK,,"Go! Santa Clarita, Santa Clarita Summer Trolly, Santa Clarita Dial-A-Ride","Go! Santa Clarita, Santa Clarita Summer Trolly, Santa Clarita Dial-A-Ride","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings,0 - Does not have GTFS Schedule,4 - GTFS data has zero validation warnings"
City of Alhambra,6,Core,07 - Los Angeles,Static OK,RT Incomplete,,"Alhambra Community Transit, Alhambra Senior Ride","Alhambra Community Transit, Alhambra Senior Ride","3 - GTFS data has zero validation errors,4 - GTFS data has zero validation warnings"
