corridor,submission_round,avg_pct_chng_access,pct_change_access_Jobs,pct_change_access_weighted_Jobs,avg_change_access_Jobs,weighted_avg_change_access_Jobs,pct_change_access_POIs,pct_change_access_weighted_POIs,avg_change_access_POIs,weighted_avg_change_access_POIs,daily_riders,pct_li_sub50k
sr123,2,0.001396854,0.001457342,0.00127105,75.01514702,338.0982153,0.001653556,0.001522658,0.953931148,4.389841798,14789,0.65
sr2_am,2,0.030496,0.022260994,0.030466854,9945.510557,14013.83444,0.022477725,0.03052529,110.6238004,154.8159136,,0.83
sr2_mid,2,0.030496,0.022260994,0.030466854,9945.510557,14013.83444,0.022477725,0.03052529,110.6238004,154.8159136,,0.83
sr2_early_am,2,0.030496,0.022260994,0.030466854,9945.510557,14013.83444,0.022477725,0.03052529,110.6238004,154.8159136,,0.83
sr2_eve,2,0.030496,0.022260994,0.030466854,9945.510557,14013.83444,0.022477725,0.03052529,110.6238004,154.8159136,,0.83
sr2_pm,2,0.030496,0.022260994,0.030466854,9945.510557,14013.83444,0.022477725,0.03052529,110.6238004,154.8159136,,0.83
i805,2,0.015326791,0.015210866,0.017178236,216.299637,1308.461745,0.012526946,0.013475345,2.518450235,14.14598922,4233,0.79
us101_lombard,1,0.00034473,0.000307902,0.000307892,16.56913242,94.3156895,0.000420298,0.000381568,0.253582926,1.270068442,8200,0.7
sr123_san_pablo,1,0.003878864,0.003989343,0.003270277,209.573414,905.891038,0.005166037,0.004487452,3.029337365,13.41544125,14789,0.65
sr2_santa_monica_bl,1,0.002237793,0.00182548,0.002456963,248.1532105,821.6420913,0.001649118,0.002018623,2.655682748,8.101282435,22669,0.83
sr39_beach,1,0.007265885,0.007390481,0.006536538,774.5794109,1727.936813,0.009999724,0.007995231,12.80180637,26.3288712,5075,0.89
us101_broadway,1,0.033166748,0.051001475,0.033613084,8.485261435,162.3039726,0.048258153,0.032720413,0.165564324,3.151216185,600,0.8
sr1_19th_a,1,0.003183928,0.00245806,0.002351556,119.8818552,733.3044427,0.004556669,0.0040163,2.486016676,13.6240963,12100,0.7
sr1_19th_b,1,0.003183928,0.00245806,0.002351556,119.8818552,733.3044427,0.004556669,0.0040163,2.486016676,13.6240963,12100,0.7
sr1_lincoln,1,0.002109283,0.00229398,0.00203785,264.3731269,692.6102773,0.002476638,0.002180717,3.399918129,8.939928552,6200,0.73
