objectid,ID,ST_NAME,SPAN_OPS,HRS_BEGIN,HRS_END,REDLANE,TAXI,HOURS,STATUS,DAYTYPE_WD,DAYTYPE_WE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,FROM_ST,TO_ST,CORRIDOR,DIRECTION,LAYOUT,DAY_TYPE,IMPLEMENT,MUNI_ROUTE,BUSORTRAIN,MTAB_DATE,MTAB_MOTION,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district
961,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.447314725 37.782396637, -122.447618 37.781513, -122.447531194 37.781074506, -122.446484041 37.775806585, -122.4453582 37.770215169)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Golden Gate Park, Haight Ashbury, Lone Mountain/USF","1, 2, 5"
1289,,TETL,,,,,,,Implemented TETL Corridor,,,EKNOPF,2021-03-25T13:22:10.000000000-07:00,EKNOPF,2021-03-25T13:24:27.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.493365 37.779824, -122.492245506 37.779751942, -122.484745478 37.780097575, -122.483679558 37.780145914)",03/25/2021 01:24:27 PM,01/18/2024 03:36:28 PM,Outer Richmond,1
735,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.45919198 37.785686686, -122.446805 37.787266, -122.435498775 37.788701936, -122.435686489 37.789634253, -122.396577273 37.794607376, -122.396784779 37.795471115, -122.397987956 37.795317941)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Chinatown, Financial District/South Beach, Inner Richmond, Nob Hill, Pacific Heights, Presidio Heights","1, 2, 3"
977,,TETL,,,,,,,Future TETL corridor,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.474612 37.806274, -122.472652 37.804427, -122.471523 37.803731, -122.470091277 37.803145285, -122.468366 37.802645, -122.467101 37.802388, -122.464829 37.801927, -122.462834 37.801549, -122.462108 37.801484, -122.461429 37.801471, -122.460777 37.801538, -122.460233 37.801674, -122.459367 37.801934, -122.458874 37.802165, -122.457683 37.802898, -122.457179 37.80313, -122.456651 37.803293, -122.455439 37.803504, -122.453043 37.803871, -122.452512 37.803946, -122.451865 37.803955, -122.451363 37.80388, -122.450912 37.803767, -122.450583 37.803604, -122.450369 37.803491, -122.450392 37.803365, -122.450275 37.803217, -122.450111 37.802967, -122.450011 37.802655, -122.449918 37.802468, -122.449323 37.801834, -122.449045 37.801633, -122.447985 37.800898, -122.447294 37.800419, -122.447143 37.80039, -122.446211 37.799724, -122.445978 37.799586, -122.444724 37.798807, -122.444331 37.798795, -122.44266 37.799005, -122.44099 37.799217, -122.439349 37.79943, -122.437707 37.799639, -122.436059 37.799848, -122.434417 37.800056, -122.432773 37.800265, -122.431128 37.800474, -122.429483 37.800683, -122.427838 37.800891, -122.426193 37.8011, -122.424551 37.801308, -122.424551156 37.801308792)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Marina, Presidio","2, 3"
650,,Van Ness Ave,24 Hours,0,2400,Non-red,no,24 hours everyday,Future TETL corridor,weekday,weekend,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,Chestnut,150 ft N of Bay Street,,Both,,All Days,2018-12-31T16:00:00.000000000-08:00,,,,16-032,"LINESTRING (-122.424728542 37.802269613, -122.425208241 37.804562941)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Marina, Russian Hill","2, 3"
1293,,,,,,,,,Existing permanent transit lanes,,,EKNOPF,2021-03-25T13:28:50.000000000-07:00,EKNOPF,2021-03-25T13:33:33.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.409086245 37.808107137, -122.407308918 37.807425841, -122.405167403 37.806355084, -122.403430397 37.805260532, -122.401883747 37.803999417)",03/25/2021 01:33:33 PM,01/18/2024 03:36:28 PM,"Financial District/South Beach, North Beach",3
641,,Jefferson Street,24 Hours,0,2400,Non-red,no,24 hours everyday,Existing permanent transit lanes,weekday,weekend,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:52:34.000000000-07:00,Powell,Taylor,,Westbound,,All Days,1996-12-31T16:00:00.000000000-08:00,,Train,,697-97,"LINESTRING (-122.412520915 37.808633307, -122.415802076 37.808233831)",03/25/2021 10:52:34 AM,01/18/2024 03:36:28 PM,North Beach,3
667,0,Lincoln,24 Hours,0,2400,red lane,no,24 hours everyday,Future TETL corridor,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,20th Ave,19th Ave,,Eastbound,,All Days,,,,,14-110,"LINESTRING (-122.477309715 37.765446884, -122.478329237 37.765399651)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,"Golden Gate Park, Sunset/Parkside",4
712,,16th St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Vermont,Potrero,,Westbound,,All Days,2017-01-31T16:00:00.000000000-08:00,,,,16-013,"LINESTRING (-122.404625228 37.765981571, -122.407573757 37.76579959)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Mission, Mission Bay","6, 9"
1296,,,,,,,,,Existing permanent transit lanes,,,EKNOPF,2021-03-25T13:31:08.000000000-07:00,EKNOPF,2021-03-25T13:33:39.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.391598923 37.774300571, -122.389748892 37.774389801, -122.387999988 37.755258935, -122.387214766 37.746585799)",03/25/2021 01:33:39 PM,01/18/2024 03:36:28 PM,"Bayview Hunters Point, Mission Bay, Potrero Hill","6, 10"
