objectid,CNN,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,SIG_NUM,TYPE,IC_MAKE,MODEL,CABINET_SI,SYSTEM_NUM,MASTER,BBS,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,INTERCONNE,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,LAMP_ASSGN,LAMP_SORT,SORT_ME,APS,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
12937,22245000,GENNESSEE,MONTEREY,,,7,,9393500,SIGNAL,MCCAIN,2070-TS2-1,MSF,32,,,,SOME PHASES,,GPS,,,,,,NONE,,0,,,,,,,1972,,,0,,0,0,55,,,,POINT (-122.451146667 37.731536847),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,West of Twin Peaks,7,95,95,9,8,41
13744,26700000,CHESTNUT,FRANKLIN,,,2,,9273500,SIGNAL,MCCAIN,2070-TS2-1,MSF,13,,,,ALL,,GPS,,,,,Franklin Upgrade,FULL DONE,06/16,2016,NONE,NONE,DONE,NONE,SALES TAX,,1953,,,0,,0,0,29,,,,POINT (-122.426377344 37.802071872),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Marina,2,17,17,4,6,13
13578,26005000,CASTRO,DUBOCE,,,8,,9262500,SIGNAL,MCCAIN,2070-TS2-1,G,19,,,,ALL,,GPS,,,,,CT 31,MOD DONE,,0,,DONE,,,,,1973,,,0,,0,0,13,,,,POINT (-122.435794213 37.769058453),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Haight Ashbury,8,112,112,7,5,3
13526,26433000,STANYAN,WALLER,,,5.8,,9534000,SIGNAL,MCCAIN,2070-TS2-1,G,17,,,,NONE,,GPS,,,,,,NONE,,0,,,,,,,1956,,,0,,0,0,72,,,,POINT (-122.453352288 37.768246025),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Golden Gate Park,5,25,25,7,11,12
13295,24867000,GREENWICH,SANSOME,,,3,,9419500,SIGNAL,MCCAIN,2070-TS2-1,MSF65-ATC,ISOLATED,,,,NONE,,GPS,,,,,,NONE,,0,,,,,,,1982,,,0,,0,0,22,,,,POINT (-122.403159607 37.80309838),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Financial District/South Beach,3,77,77,6,3,8
14090,23782000,04TH ST,16TH ST,OPTICOM,,6,,9026500,SIGNAL,,2070-TS2-TYPE-1,2070-MSF-TS2-TYPE-1,68,,,VIDEO,ALL,YES,GPS,PROXIM,"TSP,FIRE PREEMPT",,,MISSION BAY,NEW DONE,,2010,DONE,NONE,NONE,NONE,,,2007,,,0,,0,0,76,,,PENDING,POINT (-122.39079717 37.766802442),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Mission Bay,6,34,34,1,10,4
12864,33718000,19TH AVE,WINSTON,,,7,,9113000,SIGNAL,MCCAIN,2070-TS2-1,MSF,61,MASTER-GPS,2003 CANDIDATE,,ALL,,GPS,,,,19th Ave PH 3,CALTRANS,FULL PENDING,,0,NONE,DONE,PENDING,NONE,STATE/CITY,,1951,1(a),,50,X,50,0,56,,,APS_4WIRE_19thAV (6),POINT (-122.474900344 37.7269907),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Lakeshore,7,41,41,10,8,16
13251,26042000,FULTON,STEINER,,,5,,9378000,SIGNAL,MCCAIN,2070-TS2-1,G,71,,,,PENDING,,GPS,,,,Western Addition Phase 1,,FULL PENDING,,0,NONE,NONE,PENDING,NONE,,,1975,,,0,,0,0,30,,,PENDING,POINT (-122.433218738 37.777490367),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Western Addition,5,23,23,4,11,39
14197,25009000,CLAY,JOICE,,,3,,9278300,BEACON - RRFB,JSF,AB-9400,,BEACON,,,,n.a.,YES,,,,,,,BEACON DONE,,0,NONE,NONE,NONE,DONE,,,2014,,,0,,0,0,,,,,POINT (-122.408720356 37.793956347),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Chinatown,3,104,104,6,3,6
13803,25916000,FELL,GOUGH,OPTICOM,,5,,9339000,SIGNAL,ECONOLITE,2070-TS2-TYPE-1,MSF,16B,,,,ALL,,GPS,FIBER,FIRE PREEMPT,,,FELL/OAK,FULL DONE,07/00,0,NONE,NONE,DONE,NONE,SALES TAX,,1948,,,0,,0,0,35,,,,POINT (-122.422787634 37.775949863),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Hayes Valley,5,22,22,4,11,9
